ID,stag,event,gender,age,industry,profession,traffic,coach,head_gender,greywage,way,extraversion,independ,selfcontrol,anxiety,novator
1,7.030800821,1,m,35,Banks,HR,rabrecNErab,no,f,white,bus,6.2,4.1,5.7,7.1,8.3
2,22.9650924,1,m,33,Banks,HR,empjs,no,m,white,bus,6.2,4.1,5.7,7.1,8.3
3,15.93429158,1,f,35,PowerGeneration,HR,rabrecNErab,no,m,white,bus,6.2,6.2,2.6,4.8,8.3
4,15.93429158,1,f,35,PowerGeneration,HR,rabrecNErab,no,m,white,bus,5.4,7.6,4.9,2.5,6.7
5,8.410677618,1,m,32,Retail,Commercial,youjs,yes,f,white,bus,3,4.1,8,7.1,3.7
6,8.969199179,1,f,42,manufacture,HR,empjs,yes,m,white,bus,6.2,6.2,4.1,5.6,6.7
7,8.969199179,1,f,42,manufacture,HR,empjs,yes,m,white,bus,6.2,6.2,4.1,5.6,6.7
8,120.4435318,1,f,28,Retail,HR,referal,no,m,white,bus,3.8,5.5,8,4,4.4
9,8.607802875,1,f,29,Banks,HR,empjs,no,f,white,bus,8.6,6.9,2.6,4,7.5
10,4.435318275,1,f,30,Consult,Marketing,youjs,yes,m,white,bus,5.4,5.5,3.3,7.9,8.3
11,67.35112936,1,f,40,manufacture,HR,rabrecNErab,no,m,white,car,8.6,4.1,1.8,7.1,6.7
12,20.92813142,1,m,23,Banks,HR,referal,yes,m,white,bus,3,6.9,4.9,4.8,7.5
13,20.92813142,1,f,22,Consult,HR,rabrecNErab,my head,f,white,foot,5.4,8.4,4.9,3.3,6
14,8.936344969,1,f,24,State,etc,advert,yes,f,white,foot,7,6.2,4.1,7.1,9
15,33.57700205,1,f,25,etc,HR,KA,my head,f,white,foot,9.4,1.2,4.1,5.6,6.7
16,16.39425051,1,f,28,Building,HR,youjs,no,m,white,car,8.6,5.5,4.9,4.8,5.2
17,15.34291581,1,f,30,Banks,HR,rabrecNErab,no,m,white,bus,5.4,5.5,3.3,4.8,6.7
18,26.4476386,1,f,27,IT,Sales,referal,yes,m,white,bus,5.4,6.9,2.6,5.6,8.3
19,14.71868583,1,f,36,Banks,HR,referal,yes,f,grey,bus,5.4,6.9,3.3,3.3,7.5
20,45.37166324,1,f,29,etc,HR,referal,no,m,white,bus,7.8,6.2,6.4,7.9,6
21,45.37166324,1,f,29,etc,HR,referal,no,m,white,bus,3.8,3.4,5.7,8.7,7.5
22,36.96098563,1,f,48,State,BusinessDevelopment,empjs,no,f,white,bus,4.6,6.2,4.9,5.6,6.7
23,22.47227926,1,f,29,Banks,Finan?,KA,no,f,white,car,7.8,4.8,5.7,7.1,6
24,59.20328542,1,f,25,Banks,HR,recNErab,yes,f,white,bus,5.4,4.8,7.2,5.6,5.2
