day_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,team_location,기온(°C),강수량(mm),습도(%),,,,지점,지점명,일시,기온(°C),강수량(mm),습도(%)
4.1,한화,13,0,0,10,1,2,패,서울,18.9,0,20,,,,108,서울,4.1,18.9,,20
4.1,LG,9,1,2,11,0,0,승,서울,18.9,,,,,,108,서울,4.2,17.5,,32
4.1,KIA,8,1,0,10,1,0,패,창원,,,,,,,108,서울,4.3,10.4,0,77
4.1,NC,9,2,0,9,1,1,승,창원,,,,,,,108,서울,4.4,16.3,,22
4.1,kt,11,2,2,7,0,0,승,인천,,,,,,,108,서울,4.5,14.1,,30
4.1,SK,10,1,0,7,1,1,패,인천,,,,,,,108,서울,4.6,21.4,,17
4.1,롯데,11,0,1,6,2,1,승,서울,,,,,,,108,서울,4.7,17.5,,54
4.1,키움,6,0,0,6,0,1,패,서울,,,,,,,108,서울,4.8,11.7,,74
4.1,두산,8,2,2,3,1,0,승,대구,,,,,,,108,서울,4.9,13,,81
4.1,삼성,8,0,1,6,2,2,패,대구,,,,,,,108,서울,4.10,14.8,,70
4.2,롯데,8,0,2,9,0,1,패,서울,,,,,,,108,서울,4.11,18.3,,20
4.2,키움,9,0,1,6,1,0,승,서울,,,,,,,108,서울,4.12,17.3,,34
4.2,한화,13,0,0,9,0,2,패,서울,,,,,,,108,서울,4.13,20.6,,56
4.2,LG,12,1,1,9,0,1,승,서울,,,,,,,108,서울,4.14,16.8,,54
4.2,KIA,8,1,1,8,0,0,승,창원,,,,,,,108,서울,4.15,18.6,,27
4.2,NC,7,1,1,5,1,0,패,창원,,,,,,,108,서울,4.16,16.8,0.5,59
4.2,kt,8,0,0,3,2,1,패,인천,,,,,,,108,서울,4.17,12.3,,40
4.2,SK,10,1,2,6,1,2,승,인천,,,,,,,108,서울,4.18,10.8,1.5,87
4.2,두산,12,1,1,6,1,1,패,대구,,,,,,,108,서울,4.19,15.5,,47
4.2,삼성,16,2,1,7,1,0,승,대구,,,,,,,108,서울,4.20,16,0,50
4.3,kt,7,1,0,9,0,0,승,인천,,,,,,,108,서울,4.21,16.5,,78
4.3,SK,8,0,1,4,0,1,패,인천,,,,,,,108,서울,4.22,12.3,,90
4.3,롯데,12,0,0,5,1,0,패,서울,,,,,,,108,서울,4.23,16.7,,17
4.3,키움,11,0,3,7,0,1,승,서울,,,,,,,108,서울,4.24,20.7,,28
4.5,LG,7,0,1,9,0,1,패,광주,,,,,,,108,서울,4.25,21.9,,22
4.5,KIA,6,1,0,10,2,0,승,광주,,,,,,,108,서울,4.26,27.1,,27
4.5,NC,5,0,0,9,1,0,패,서울,,,,,,,108,서울,4.27,19.4,,28
4.5,두산,6,0,2,5,0,0,승,서울,,,,,,,108,서울,4.28,20.7,,32
4.5,SK,4,0,1,12,0,2,패,부산,,,,,,,108,서울,4.29,18.9,,42
4.5,롯데,5,0,0,7,0,1,승,부산,,,,,,,108,서울,4.30,18.8,,35
4.5,삼성,10,0,0,6,1,0,패,수원,,,,,,,108,서울,5.1,22.9,,29
4.5,kt,11,1,2,6,1,3,승,수원,,,,,,,108,서울,5.2,22.2,0,67
4.5,키움,7,1,2,11,1,1,패,대전,,,,,,,108,서울,5.3,9.9,,75
4.5,한화,13,0,1,1,1,2,승,대전,,,,,,,108,서울,5.4,19.1,,39
4.6,NC,2,0,0,12,1,3,패,서울,,,,,,,108,서울,5.5,25.2,,27
4.6,두산,5,1,0,8,0,0,승,서울,,,,,,,108,서울,5.6,14.9,0,95
4.6,SK,1,0,0,2,1,1,패,부산,,,,,,,108,서울,5.7,21.1,,39
4.6,롯데,14,3,1,2,0,1,승,부산,,,,,,,108,서울,5.8,22.9,,27
4.6,삼성,14,0,2,3,1,2,승,수원,,,,,,,108,서울,5.9,20.9,,51
4.6,kt,7,3,0,6,0,2,패,수원,,,,,,,108,서울,5.10,14.8,,81
4.6,키움,6,0,0,12,0,0,승,대전,,,,,,,108,서울,5.11,20.8,,43
4.6,한화,11,2,1,5,1,1,패,대전,,,,,,,108,서울,5.12,22,,51
4.7,LG,11,2,2,9,0,0,승,광주,,,,,,,108,서울,5.13,25.1,,30
4.7,KIA,9,0,1,6,1,0,패,광주,,,,,,,108,서울,5.14,24.4,,34
4.7,NC,15,0,0,4,0,0,승,서울,,,,,,,108,서울,5.15,17.6,8.5,94
4.7,두산,10,0,0,9,1,0,패,서울,,,,,,,108,서울,5.16,19.7,,33
4.7,SK,12,3,2,5,0,0,승,부산,,,,,,,108,서울,5.17,26.1,,30
4.7,롯데,5,1,0,8,0,0,패,부산,,,,,,,108,서울,5.18,28.8,,18
4.7,삼성,9,1,3,4,0,1,승,수원,,,,,,,108,서울,5.19,29.4,,21
4.7,kt,4,0,0,9,0,1,패,수원,,,,,,,108,서울,5.20,27.6,,39
4.7,키움,7,2,1,4,1,0,승,대전,,,,,,,108,서울,5.21,28.6,,16
4.7,한화,12,2,0,10,0,1,패,대전,,,,,,,108,서울,5.22,28.5,,31
4.8,한화,5,1,0,9,1,1,패,창원,,,,,,,108,서울,5.23,25.5,,34
4.8,NC,9,1,3,6,2,0,승,창원,,,,,,,108,서울,5.24,18.7,,68
4.8,KIA,3,0,1,7,2,4,패,수원,,,,,,,108,서울,5.25,22.5,,61
4.8,kt,8,0,1,3,3,1,승,수원,,,,,,,108,서울,5.26,20.5,,68
4.8,LG,4,1,0,4,1,3,패,인천,,,,,,,108,서울,5.27,23.9,,52
4.8,SK,8,0,0,4,0,1,승,인천,,,,,,,108,서울,5.28,25.5,,43
4.8,삼성,10,3,0,8,1,0,승,부산,,,,,,,108,서울,5.29,25.3,,44
4.8,롯데,10,1,1,9,2,2,패,부산,,,,,,,108,서울,5.30,25.8,,43
4.8,키움,9,1,2,12,1,2,패,서울,,,,,,,108,서울,5.31,25.2,,52
4.8,두산,8,1,2,7,0,0,승,서울,,,,,,,108,서울,6.1,28.9,,27
4.9,삼성,11,1,1,9,1,0,패,부산,,,,,,,108,서울,6.2,27.6,,29
4.9,롯데,15,1,1,6,2,1,승,부산,,,,,,,108,서울,6.3,24.3,,33
4.9,한화,7,0,0,8,3,0,패,창원,,,,,,,108,서울,6.4,23.8,,55
4.9,NC,13,2,0,4,0,0,승,창원,,,,,,,108,서울,6.5,29.4,,39
4.9,KIA,9,0,3,9,0,0,승,수원,,,,,,,108,서울,6.6,23.8,,57
4.9,kt,11,0,2,7,1,3,패,수원,,,,,,,108,서울,6.7,24.7,,59
4.9,LG,8,1,0,5,3,0,패,인천,,,,,,,108,서울,6.8,25.3,,56
4.9,SK,5,3,0,7,1,1,승,인천,,,,,,,108,서울,6.9,28.5,,50
4.9,키움,16,0,2,9,1,1,무,서울,,,,,,,108,서울,6.10,26.6,,55
4.9,두산,13,2,0,11,2,0,무,서울,,,,,,,108,서울,6.11,24.9,,76
4.1,한화,6,0,0,12,0,1,승,창원,,,,,,,108,서울,6.12,25.9,,66
4.1,NC,2,0,2,9,0,0,패,창원,,,,,,,108,서울,6.13,27.6,,60
4.1,KIA,14,1,0,6,2,3,패,수원,,,,,,,108,서울,6.14,24.6,,57
4.1,kt,11,2,1,10,1,0,승,수원,,,,,,,108,서울,6.15,21.1,0,89
4.1,삼성,6,0,1,9,1,1,패,부산,,,,,,,108,서울,6.16,23.1,,62
4.1,롯데,11,1,2,6,1,0,승,부산,,,,,,,108,서울,6.17,27.4,,51
4.1,키움,8,0,0,10,0,0,승,서울,,,,,,,108,서울,6.18,26.9,,51
4.1,두산,10,0,0,4,0,0,패,서울,,,,,,,108,서울,6.19,26.9,,58
4.1,LG,10,2,1,6,0,1,패,인천,,,,,,,108,서울,6.20,28.8,,54
4.1,SK,9,2,0,5,1,1,승,인천,,,,,,,108,서울,6.21,27.8,,54
4.12,KIA,10,4,0,9,0,2,승,인천,,,,,,,108,서울,6.22,23.7,0.5,89
4.12,SK,7,2,3,11,0,0,패,인천,,,,,,,108,서울,6.23,26.5,,68
4.12,kt,7,2,1,6,0,1,패,서울,,,,,,,108,서울,6.24,25.1,,69
