day_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text
9.1목,KIA 타이거즈,17,4,0,5,0,0,승
9.1목,삼성 라이온즈,14,3,0,5,2,3,패
9.1목,kt wiz,2,0,0,6,0,0,패
9.1목,두산 베어스,7,0,0,5,2,0,승
9.1목,LG 트윈스,8,0,0,12,0,0,승
9.1목,한화 이글스,3,0,0,9,1,1,패
9.1목,NC 다이노스,9,0,1,6,3,1,승
9.1목,롯데 자이언츠,8,0,0,8,0,0,패
9.1목,SK 와이번스,8,1,0,5,2,2,패
9.1목,키움 히어로즈,9,0,0,8,2,0,승
9.2금,kt wiz,9,1,1,9,0,1,패
9.2금,두산 베어스,10,0,0,8,0,1,승
9.2금,LG 트윈스,11,1,0,12,1,4,패
9.2금,한화 이글스,8,2,0,2,0,1,승
9.2금,SK 와이번스,17,1,0,8,1,0,패
9.2금,키움 히어로즈,16,2,2,5,0,0,승
9.3토,한화 이글스,22,1,0,11,1,0,승
9.3토,키움 히어로즈,17,2,1,11,1,2,패
9.3토,LG 트윈스,8,0,0,5,2,0,패
9.3토,kt wiz,9,1,0,3,0,1,승
9.3토,롯데 자이언츠,8,1,1,13,0,0,승
9.3토,KIA 타이거즈,8,1,0,5,2,0,패
9.3토,SK 와이번스,11,2,1,10,0,1,승
9.3토,NC 다이노스,14,1,0,10,3,1,패
9.3토,삼성 라이온즈,11,0,0,6,0,0,승
9.3토,두산 베어스,7,3,0,4,1,0,패
9.4일,한화 이글스,10,1,0,10,0,0,패
9.4일,키움 히어로즈,15,1,2,6,2,0,승
9.4일,LG 트윈스,12,1,1,1,3,2,패
9.4일,kt wiz,11,1,0,5,0,0,승
9.4일,롯데 자이언츠,4,1,3,6,0,0,패
9.4일,KIA 타이거즈,8,2,1,4,1,0,승
9.4일,삼성 라이온즈,10,2,0,7,1,0,패
9.4일,두산 베어스,7,4,1,9,2,1,승
9.4일,SK 와이번스,13,3,1,6,0,0,승
9.4일,NC 다이노스,7,0,0,10,1,0,패
9.6화,한화 이글스,15,1,0,9,0,0,패
9.6화,NC 다이노스,12,1,0,5,2,0,승
9.6화,KIA 타이거즈,6,0,0,7,1,0,패
9.6화,SK 와이번스,7,0,0,5,2,1,승
9.6화,kt wiz,14,1,0,9,3,3,패
9.6화,삼성 라이온즈,18,2,0,5,1,0,승
9.6화,두산 베어스,12,1,1,11,3,1,패
9.6화,롯데 자이언츠,10,2,1,8,1,1,승
9.6화,키움 히어로즈,8,0,1,6,1,1,패
9.6화,LG 트윈스,8,0,1,5,2,0,승
9.7수,한화 이글스,5,0,0,7,0,0,패
9.7수,NC 다이노스,9,1,0,9,2,0,승
9.7수,KIA 타이거즈,6,1,0,6,1,1,패
9.7수,SK 와이번스,17,0,4,7,0,0,승
9.7수,kt wiz,18,5,0,6,1,2,승
9.7수,삼성 라이온즈,15,0,1,8,1,1,패
9.7수,두산 베어스,14,1,0,6,0,0,승
9.7수,롯데 자이언츠,6,2,0,10,1,0,패
9.7수,키움 히어로즈,5,0,0,9,2,0,패
9.7수,LG 트윈스,16,1,1,6,0,0,승
9.8목,kt wiz,11,2,0,3,1,0,패
9.8목,한화 이글스,7,0,0,9,0,0,승
9.8목,NC 다이노스,11,1,3,9,2,1,패
9.8목,KIA 타이거즈,10,3,1,5,2,1,승
9.8목,두산 베어스,9,1,1,9,0,0,승
9.8목,LG 트윈스,6,0,0,9,0,1,패
9.8목,삼성 라이온즈,7,1,2,4,0,0,패
9.8목,롯데 자이언츠,13,1,3,7,1,1,승
9.8목,키움 히어로즈,6,0,1,10,1,0,패
9.8목,SK 와이번스,17,3,1,6,0,0,승
9.9금,kt wiz,6,0,0,5,0,1,패
9.9금,한화 이글스,10,1,0,8,0,1,승
9.9금,NC 다이노스,11,2,0,9,0,1,승
9.9금,KIA 타이거즈,14,2,1,3,3,0,패
9.9금,두산 베어스,11,1,1,6,0,0,패
9.9금,LG 트윈스,14,3,0,5,2,0,승
9.9금,삼성 라이온즈,9,0,1,6,0,1,승
9.9금,롯데 자이언츠,9,0,0,5,0,1,패
9.9금,키움 히어로즈,6,0,1,4,0,0,패
9.9금,SK 와이번스,8,0,2,5,0,1,승
9.10토,KIA 타이거즈,8,0,0,8,1,0,패
9.10토,kt wiz,12,2,0,8,1,0,승
9.10토,롯데 자이언츠,8,0,1,4,1,1,패
9.10토,LG 트윈스,11,0,0,7,2,0,승
9.10토,NC 다이노스,4,1,0,8,0,0,패
9.10토,삼성 라이온즈,8,1,0,8,1,0,승
9.10토,두산 베어스,6,0,0,7,0,0,패
9.10토,키움 히어로즈,13,1,0,3,0,1,승
9.10토,SK 와이번스,6,0,0,6,2,2,패
9.10토,한화 이글스,16,2,0,4,0,1,승
9.11일,롯데 자이언츠,10,2,0,7,2,0,패
9.11일,LG 트윈스,17,0,2,7,0,0,승
9.11일,NC 다이노스,7,0,1,7,1,1,패
9.11일,삼성 라이온즈,5,0,3,10,0,0,승
9.11일,두산 베어스,9,1,1,6,1,0,승
9.11일,키움 히어로즈,11,0,0,8,2,0,패
9.11일,SK 와이번스,12,2,0,8,1,0,패
9.11일,한화 이글스,10,2,1,10,0,3,승
9.11일,KIA 타이거즈,7,0,0,4,1,2,승
9.11일,kt wiz,7,0,0,7,2,1,패
9.13화,한화 이글스,10,0,0,13,1,2,승
9.13화,삼성 라이온즈,12,1,1,7,2,2,패
9.13화,LG 트윈스,10,1,1,7,1,0,승
9.13화,NC 다이노스,5,1,1,11,1,3,패
9.13화,롯데 자이언츠,15,0,1,8,0,0,승
9.13화,kt wiz,9,1,2,10,0,0,패
9.13화,SK 와이번스,9,0,0,6,0,2,패
9.13화,두산 베어스,8,1,0,10,1,0,승
9.13화,키움 히어로즈,7,1,3,8,1,0,패
9.13화,KIA 타이거즈,11,1,0,7,0,0,승
9.14수,한화 이글스,9,1,0,2,2,1,패
9.14수,삼성 라이온즈,13,4,0,2,1,2,승
9.14수,LG 트윈스,8,1,0,9,0,0,패
9.14수,NC 다이노스,14,1,0,6,1,0,승
9.14수,롯데 자이언츠,14,2,0,7,2,0,승
9.14수,kt wiz,15,1,1,4,1,1,패
9.14수,SK 와이번스,6,0,0,7,1,1,패
9.14수,두산 베어스,7,0,0,7,1,1,승
9.14수,키움 히어로즈,9,3,0,7,1,0,승
9.14수,KIA 타이거즈,5,1,0,9,0,1,패
9.15목,KIA 타이거즈,9,1,2,6,1,0,패
9.15목,LG 트윈스,5,1,1,3,0,0,승
9.15목,kt wiz,9,0,0,5,1,0,패
9.15목,키움 히어로즈,17,1,0,3,1,0,승
9.15목,롯데 자이언츠,14,0,0,4,3,0,패
9.15목,한화 이글스,10,0,0,4,0,2,승
9.15목,두산 베어스,9,1,2,6,1,0,승
9.15목,NC 다이노스,8,0,1,7,2,2,패
9.15목,삼성 라이온즈,14,2,1,7,1,1,승
9.15목,SK 와이번스,11,0,0,5,1,0,패
9.16금,KIA 타이거즈,6,1,0,4,0,0,패
9.16금,LG 트윈스,8,0,0,3,0,0,승
9.16금,kt wiz,6,0,0,7,2,0,패
9.16금,키움 히어로즈,10,1,1,9,0,0,승
9.16금,롯데 자이언츠,17,2,1,2,1,2,승
9.16금,한화 이글스,11,0,0,8,0,1,패
9.16금,두산 베어스,12,3,0,5,1,0,승
9.16금,NC 다이노스,10,2,1,8,1,0,패
9.16금,삼성 라이온즈,15,2,0,4,1,0,승
9.16금,SK 와이번스,14,4,0,6,0,0,패
9.17토,NC 다이노스,9,1,0,7,1,0,승
9.17토,SK 와이번스,11,0,0,7,2,3,패
9.17토,두산 베어스,16,1,1,2,1,0,승
9.17토,kt wiz,15,0,1,0,4,2,패
9.17토,삼성 라이온즈,9,0,0,1,1,1,패
9.17토,LG 트윈스,9,1,0,6,0,0,승
9.18일,KIA 타이거즈,7,0,0,10,0,2,승
9.18일,한화 이글스,7,0,1,10,2,0,패
9.18일,NC 다이노스,19,1,1,5,2,2,승
9.18일,SK 와이번스,14,3,0,7,2,2,패
9.18일,두산 베어스,14,5,0,7,0,1,승
9.18일,kt wiz,8,0,0,7,0,0,패
9.18일,삼성 라이온즈,5,0,0,5,0,0,패
9.18일,LG 트윈스,9,2,1,4,0,0,승
9.18일,키움 히어로즈,12,2,0,10,1,0,패
9.18일,롯데 자이언츠,18,3,0,3,1,0,승
9.19월,KIA 타이거즈,8,0,0,7,0,3,승
9.19월,한화 이글스,10,1,0,10,0,2,패
9.19월,키움 히어로즈,13,1,1,5,1,0,승
9.19월,롯데 자이언츠,5,0,0,5,1,3,패
9.20화,LG 트윈스,19,1,0,6,1,0,승
9.20화,한화 이글스,9,2,0,6,2,0,패
9.20화,NC 다이노스,7,1,0,8,4,0,패
9.20화,kt wiz,9,2,1,4,1,1,승
9.20화,삼성 라이온즈,10,0,0,8,0,1,패
9.20화,두산 베어스,8,0,0,6,0,2,승
9.20화,키움 히어로즈,8,2,1,5,0,0,패
9.20화,KIA 타이거즈,7,2,1,7,0,1,승
9.21수,롯데 자이언츠,14,3,0,4,1,0,승
9.21수,삼성 라이온즈,11,1,0,6,1,0,패
9.21수,NC 다이노스,6,0,0,7,0,0,무
9.21수,LG 트윈스,7,0,0,17,0,0,무
9.21수,키움 히어로즈,7,0,3,4,0,1,패
9.21수,KIA 타이거즈,9,1,0,4,0,0,승
9.22목,kt wiz,11,1,1,10,0,1,패
9.22목,두산 베어스,12,1,1,4,2,1,승
