day_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,location,temp,rain,humidity
5.1일,kt wiz,9,0,0,3,3,1,패,서울,22.9,0,29
5.1일,LG 트윈스,7,1,3,5,0,0,승,서울,22.9,0,29
5.1일,NC 다이노스,10,3,0,8,1,1,승,부산,19.8,0,69
5.1일,롯데 자이언츠,5,0,0,6,0,1,패,부산,19.8,0,69
5.1일,SK 와이번스,5,0,0,4,1,1,패,서울,22.9,0,29
5.1일,키움 히어로즈,14,1,1,5,0,0,승,서울,22.9,0,29
5.1일,삼성 라이온즈,11,0,2,7,1,0,패,대전,25.5,0,31
5.1일,한화 이글스,8,1,1,8,1,0,승,대전,25.5,0,31
5.1일,두산 베어스,9,1,0,2,1,1,승,광주,23,0,47
5.1일,KIA 타이거즈,7,1,0,3,1,2,패,광주,23,0,47
5.3화,한화 이글스,5,1,2,6,1,0,승,인천,10.2,0,96
5.3화,SK 와이번스,8,0,0,9,0,0,패,인천,10.2,0,96
5.3화,롯데 자이언츠,5,1,1,8,2,1,패,광주,13.9,0,67
5.3화,KIA 타이거즈,7,1,0,6,0,0,승,광주,13.9,0,67
5.3화,키움 히어로즈,11,1,0,10,0,0,승,대구,15.2,0,63
5.3화,삼성 라이온즈,8,0,0,3,3,1,패,대구,15.2,0,63
5.4수,한화 이글스,7,1,0,6,1,0,패,인천,17.3,0,46
5.4수,SK 와이번스,10,1,1,2,0,0,승,인천,17.3,0,46
5.4수,롯데 자이언츠,11,1,1,4,3,0,패,광주,20.8,0,44
5.4수,KIA 타이거즈,7,1,0,11,1,1,승,광주,20.8,0,44
5.4수,NC 다이노스,13,1,0,4,2,0,승,수원,17.7,0,39
5.4수,kt wiz,9,0,0,9,0,1,패,수원,17.7,0,39
5.4수,두산 베어스,21,4,0,5,0,1,승,서울,19.1,0,39
5.4수,LG 트윈스,4,0,1,5,1,1,패,서울,19.1,0,39
5.4수,키움 히어로즈,10,1,1,5,1,0,승,대구,22.6,0,20
5.4수,삼성 라이온즈,10,0,2,5,2,2,패,대구,22.6,0,20
5.5목,한화 이글스,13,3,1,7,1,5,패,인천,21.7,0,38
5.5목,SK 와이번스,21,5,1,5,0,1,승,인천,21.7,0,38
5.5목,롯데 자이언츠,3,0,0,6,1,1,패,광주,21,0,43
5.5목,KIA 타이거즈,18,2,0,5,2,2,승,광주,21,0,43
5.5목,NC 다이노스,16,2,1,5,0,0,승,수원,24.5,0,31
5.5목,kt wiz,7,0,2,8,2,2,패,수원,24.5,0,31
5.5목,두산 베어스,19,0,0,4,3,1,패,서울,25.2,0,27
5.5목,LG 트윈스,10,1,0,10,0,1,승,서울,25.2,0,27
5.5목,키움 히어로즈,4,1,0,5,0,1,패,대구,24.1,0,32
5.5목,삼성 라이온즈,7,0,1,6,0,0,승,대구,24.1,0,32
5.6금,한화 이글스,10,0,0,9,0,1,패,수원,14.3,0,100
5.6금,kt wiz,15,3,1,6,3,1,승,수원,14.3,0,100
5.6금,KIA 타이거즈,13,2,0,5,1,0,패,서울,14.9,0,95
5.6금,키움 히어로즈,20,3,3,7,0,0,승,서울,14.9,0,95
5.6금,LG 트윈스,5,0,0,5,2,0,패,창원,17.5,0,94
5.6금,NC 다이노스,15,2,0,5,2,2,승,창원,17.5,0,94
5.6금,롯데 자이언츠,12,1,0,9,1,0,승,서울,14.9,0,95
5.6금,두산 베어스,5,0,0,7,1,0,패,서울,14.9,0,95
5.6금,SK 와이번스,10,1,0,6,1,1,패,대구,22.6,0,72
5.6금,삼성 라이온즈,8,1,1,2,0,0,승,대구,22.6,0,72
5.7토,한화 이글스,12,2,3,6,2,1,패,수원,18.6,0,43
5.7토,kt wiz,20,0,2,9,0,0,승,수원,18.6,0,43
5.7토,KIA 타이거즈,6,1,1,5,0,2,패,서울,21.1,0,39
5.7토,키움 히어로즈,8,0,3,7,1,0,승,서울,21.1,0,39
5.7토,LG 트윈스,6,0,0,8,0,1,패,창원,21.4,0,53
5.7토,NC 다이노스,8,3,0,12,0,0,승,창원,21.4,0,53
5.7토,롯데 자이언츠,9,1,1,10,1,0,승,서울,21.1,0,39
5.7토,두산 베어스,6,0,0,7,1,0,패,서울,21.1,0,39
5.7토,SK 와이번스,7,0,1,7,0,2,승,대구,23.7,0,25
5.7토,삼성 라이온즈,8,0,1,4,1,0,패,대구,23.7,0,25
5.8일,한화 이글스,4,1,0,9,1,1,패,수원,22.1,0,37
5.8일,kt wiz,13,1,0,4,1,0,승,수원,22.1,0,37
5.8일,LG 트윈스,9,1,0,6,1,0,패,창원,20.1,0,32
5.8일,NC 다이노스,12,0,1,3,2,2,승,창원,20.1,0,32
5.8일,롯데 자이언츠,21,2,3,6,2,2,승,서울,22.9,0,27
5.8일,두산 베어스,18,3,0,7,0,1,패,서울,22.9,0,27
5.8일,SK 와이번스,15,1,1,8,1,3,패,대구,22.1,0,37
5.8일,삼성 라이온즈,12,1,0,10,0,0,승,대구,22.1,0,37
5.8일,KIA 타이거즈,11,0,0,9,0,1,패,서울,22.9,0,27
5.8일,키움 히어로즈,10,2,0,6,0,2,승,서울,22.9,0,27
5.10화,두산 베어스,13,5,1,6,2,2,승,인천,15.2,0,98
5.10화,SK 와이번스,13,1,0,11,1,2,패,인천,15.2,0,98
5.10화,삼성 라이온즈,17,1,3,3,0,0,승,서울,14.8,0,81
5.10화,LG 트윈스,9,0,0,4,1,1,패,서울,14.8,0,81
5.11수,kt wiz,9,1,0,9,3,2,패,광주,21.8,0,59
5.11수,KIA 타이거즈,14,1,3,6,0,1,승,광주,21.8,0,59
5.11수,NC 다이노스,9,0,0,8,1,1,패,대전,21.7,0,60
5.11수,한화 이글스,13,0,0,7,1,3,승,대전,21.7,0,60
5.11수,두산 베어스,12,3,1,6,2,0,승,인천,17.6,0,69
5.11수,SK 와이번스,9,0,0,7,1,1,패,인천,17.6,0,69
5.11수,삼성 라이온즈,11,0,0,6,0,1,패,서울,20.8,0,43
5.11수,LG 트윈스,22,2,1,6,0,0,승,서울,20.8,0,43
5.11수,키움 히어로즈,17,4,0,13,1,0,승,부산,16.3,0,75
5.11수,롯데 자이언츠,9,0,0,9,2,0,패,부산,16.3,0,75
5.12목,kt wiz,8,2,0,5,0,1,패,광주,24,0,48
5.12목,KIA 타이거즈,16,2,0,10,2,0,승,광주,24,0,48
5.12목,NC 다이노스,12,1,1,10,0,0,승,대전,24,0,45
5.12목,한화 이글스,6,0,0,10,0,0,패,대전,24,0,45
5.12목,두산 베어스,10,0,1,7,2,1,패,인천,18.5,0,86
5.12목,SK 와이번스,10,3,0,8,1,0,승,인천,18.5,0,86
5.12목,삼성 라이온즈,9,0,1,6,0,0,승,서울,22,0,51
5.12목,LG 트윈스,10,0,0,7,1,1,패,서울,22,0,51
5.12목,키움 히어로즈,3,0,0,12,1,0,패,부산,20.5,0,44
5.12목,롯데 자이언츠,9,2,1,4,0,1,승,부산,20.5,0,44
5.13금,한화 이글스,6,0,0,6,0,1,패,광주,22.1,0,53
5.13금,KIA 타이거즈,6,0,0,2,0,0,승,광주,22.1,0,53
5.13금,kt wiz,10,2,0,7,1,0,승,창원,19,0,64
5.13금,NC 다이노스,9,2,0,11,1,0,패,창원,19,0,64
5.13금,롯데 자이언츠,14,3,2,6,3,1,승,대구,18.9,0,58
5.13금,삼성 라이온즈,13,1,0,8,0,1,패,대구,18.9,0,58
5.13금,두산 베어스,15,1,1,8,0,0,승,서울,25.1,0,30
5.13금,키움 히어로즈,10,0,1,8,1,2,패,서울,25.1,0,30
5.13금,SK 와이번스,3,0,0,7,0,1,패,서울,25.1,0,30
5.13금,LG 트윈스,8,0,0,7,0,0,승,서울,25.1,0,30
5.14토,한화 이글스,5,0,0,6,2,1,패,광주,23,0,45
5.14토,KIA 타이거즈,12,1,1,3,0,1,승,광주,23,0,45
5.14토,kt wiz,9,4,0,7,0,0,승,창원,19.8,0,62
5.14토,NC 다이노스,10,0,3,11,1,0,패,창원,19.8,0,62
5.14토,롯데 자이언츠,9,0,1,6,0,1,패,대구,20.6,0,57
5.14토,삼성 라이온즈,15,1,1,5,1,1,승,대구,20.6,0,57
5.14토,두산 베어스,18,2,0,6,1,0,승,서울,24.4,0,34
5.14토,키움 히어로즈,5,1,0,8,0,0,패,서울,24.4,0,34
5.14토,SK 와이번스,5,1,0,4,0,2,패,서울,24.4,0,34
5.14토,LG 트윈스,16,1,1,3,1,2,승,서울,24.4,0,34
5.15일,한화 이글스,18,0,3,7,2,0,패,광주,23.2,0,79
5.15일,KIA 타이거즈,9,2,1,7,0,0,승,광주,23.2,0,79
5.15일,kt wiz,7,0,2,12,1,1,무,창원,21.6,0,89
5.15일,NC 다이노스,7,0,4,10,0,1,무,창원,21.6,0,89
5.15일,두산 베어스,11,1,1,3,2,0,승,서울,17.6,8.5,94
5.15일,키움 히어로즈,8,1,0,4,2,3,패,서울,17.6,8.5,94
5.15일,롯데 자이언츠,11,1,0,11,0,1,승,대구,23.6,0,69
5.15일,삼성 라이온즈,9,1,1,6,1,0,패,대구,23.6,0,69
5.17화,한화 이글스,9,2,1,11,1,0,패,대구,26.2,0,28
5.17화,삼성 라이온즈,10,0,0,7,1,2,승,대구,26.2,0,28
5.17화,KIA 타이거즈,11,0,2,10,1,0,패,서울,26.1,0,30
5.17화,두산 베어스,9,1,1,1,1,1,승,서울,26.1,0,30
5.17화,LG 트윈스,9,3,1,10,1,0,승,수원,24.6,0,28
5.17화,kt wiz,13,0,1,5,1,0,패,수원,24.6,0,28
5.17화,롯데 자이언츠,11,0,0,8,1,3,패,인천,21.9,0,47
5.17화,SK 와이번스,9,0,0,5,0,2,승,인천,21.9,0,47
5.17화,NC 다이노스,9,2,0,4,0,1,패,서울,26.1,0,30
5.17화,키움 히어로즈,10,1,1,8,1,0,승,서울,26.1,0,30
5.18수,한화 이글스,6,0,0,5,0,0,패,대구,28.6,0,29
5.18수,삼성 라이온즈,13,2,0,5,0,1,승,대구,28.6,0,29
5.18수,KIA 타이거즈,9,2,0,4,3,2,패,서울,28.8,0,18
5.18수,두산 베어스,18,2,0,5,0,2,승,서울,28.8,0,18
5.18수,LG 트윈스,9,2,2,7,0,0,승,수원,26.5,0,38
5.18수,kt wiz,5,0,0,8,1,0,패,수원,26.5,0,38
5.18수,롯데 자이언츠,7,0,1,8,0,1,패,인천,25.7,0,40
5.18수,SK 와이번스,7,1,0,7,1,1,승,인천,25.7,0,40
5.18수,NC 다이노스,14,1,0,5,2,2,패,서울,28.8,0,18
5.18수,키움 히어로즈,16,1,0,5,1,1,승,서울,28.8,0,18
5.19목,한화 이글스,10,4,1,5,0,1,승,대구,26.5,0,23
5.19목,삼성 라이온즈,13,2,1,4,0,0,패,대구,26.5,0,23
5.19목,KIA 타이거즈,11,0,2,7,2,1,패,서울,29.4,0,21
5.19목,두산 베어스,10,1,2,6,0,0,승,서울,29.4,0,21
5.19목,LG 트윈스,8,0,0,10,0,0,승,수원,29,0,27
5.19목,kt wiz,3,0,1,7,2,1,패,수원,29,0,27
5.19목,롯데 자이언츠,9,0,0,8,1,0,승,인천,26.7,0,35
5.19목,SK 와이번스,8,3,0,8,1,2,패,인천,26.7,0,35
5.19목,NC 다이노스,11,2,0,7,0,0,승,서울,29.4,0,21
5.19목,키움 히어로즈,8,0,1,10,3,0,패,서울,29.4,0,21
5.20금,kt wiz,8,0,2,10,1,1,패,대전,28.1,0,23
5.20금,한화 이글스,12,2,1,6,1,0,승,대전,28.1,0,23
5.20금,두산 베어스,17,6,0,6,1,1,승,부산,22.3,0,59
5.20금,롯데 자이언츠,11,3,2,9,1,2,패,부산,22.3,0,59
5.20금,SK 와이번스,8,0,1,6,0,0,패,광주,27.4,0,39
5.20금,KIA 타이거즈,9,2,1,5,2,0,승,광주,27.4,0,39
5.20금,삼성 라이온즈,18,1,0,5,3,0,승,창원,22.2,0,58
5.20금,NC 다이노스,8,0,2,6,1,0,패,창원,22.2,0,58
