day_text,team_text,score_text
4.1토,한화 이글스,6점
4.1토,두산 베어스,5점
4.1토,KIA 타이거즈,9점
4.1토,삼성 라이온즈,7점
4.1토,LG 트윈스,8점
4.1토,키움 히어로즈,3점
4.1토,kt wiz,2점
4.1토,SK 와이번스,0점
4.1토,롯데 자이언츠,3점
4.1토,NC 다이노스,0점
4.2일,한화 이글스,4점
4.2일,두산 베어스,5점
4.2일,KIA 타이거즈,3점
4.2일,삼성 라이온즈,16점
4.2일,kt wiz,8점
4.2일,SK 와이번스,1점
4.2일,LG 트윈스,9점
4.2일,키움 히어로즈,2점
4.2일,롯데 자이언츠,12점
4.2일,NC 다이노스,4점
4.4화,NC 다이노스,0점
4.4화,한화 이글스,6점
4.4화,SK 와이번스,1점
4.4화,KIA 타이거즈,6점
4.4화,삼성 라이온즈,0점
4.4화,LG 트윈스,11점
4.4화,키움 히어로즈,2점
4.4화,롯데 자이언츠,5점
4.4화,두산 베어스,2점
4.4화,kt wiz,0점
4.6목,NC 다이노스,5점
4.6목,한화 이글스,2점
4.6목,두산 베어스,1점
4.6목,kt wiz,5점
4.6목,SK 와이번스,4점
4.6목,KIA 타이거즈,6점
4.6목,삼성 라이온즈,0점
4.6목,LG 트윈스,4점
4.6목,키움 히어로즈,3점
4.6목,롯데 자이언츠,12점
4.7금,한화 이글스,2점
4.7금,KIA 타이거즈,4점
4.7금,LG 트윈스,6점
4.7금,롯데 자이언츠,4점
4.7금,NC 다이노스,5점
4.7금,SK 와이번스,3점
4.7금,삼성 라이온즈,2점
4.7금,kt wiz,3점
4.7금,키움 히어로즈,7점
4.7금,두산 베어스,3점
4.8토,한화 이글스,4점
4.8토,KIA 타이거즈,3점
4.8토,LG 트윈스,6점
4.8토,롯데 자이언츠,8점
4.8토,NC 다이노스,2점
4.8토,SK 와이번스,9점
4.8토,삼성 라이온즈,0점
4.8토,kt wiz,1점
4.8토,키움 히어로즈,13점
4.8토,두산 베어스,10점
4.9일,한화 이글스,2점
4.9일,KIA 타이거즈,3점
4.9일,LG 트윈스,1점
4.9일,롯데 자이언츠,7점
4.9일,NC 다이노스,5점
4.9일,SK 와이번스,8점
4.9일,삼성 라이온즈,0점
4.9일,kt wiz,3점
4.9일,키움 히어로즈,13점
4.9일,두산 베어스,2점
4.11화,한화 이글스,11점
4.11화,삼성 라이온즈,8점
4.11화,KIA 타이거즈,4점
4.11화,두산 베어스,16점
4.11화,kt wiz,2점
4.11화,키움 히어로즈,12점
4.11화,LG 트윈스,3점
4.11화,NC 다이노스,4점
4.11화,롯데 자이언츠,6점
4.11화,SK 와이번스,4점
4.12수,한화 이글스,5점
4.12수,삼성 라이온즈,3점
4.12수,KIA 타이거즈,8점
4.12수,두산 베어스,4점
4.12수,kt wiz,3점
4.12수,키움 히어로즈,5점
4.12수,LG 트윈스,0점
4.12수,NC 다이노스,5점
4.12수,롯데 자이언츠,1점
4.12수,SK 와이번스,2점
4.13목,한화 이글스,1점
4.13목,삼성 라이온즈,5점
4.13목,KIA 타이거즈,4점
4.13목,두산 베어스,3점
4.13목,kt wiz,7점
4.13목,키움 히어로즈,6점
4.13목,LG 트윈스,1점
4.13목,NC 다이노스,3점
4.13목,롯데 자이언츠,10점
4.13목,SK 와이번스,11점
4.14금,kt wiz,2점
4.14금,LG 트윈스,5점
4.14금,두산 베어스,10점
4.14금,NC 다이노스,6점
4.14금,SK 와이번스,6점
4.14금,한화 이글스,2점
4.14금,삼성 라이온즈,6점
4.14금,롯데 자이언츠,9점
4.14금,키움 히어로즈,2점
4.14금,KIA 타이거즈,3점
4.15토,kt wiz,1점
4.15토,LG 트윈스,0점
4.15토,두산 베어스,11점
4.15토,NC 다이노스,2점
4.15토,SK 와이번스,12점
4.15토,한화 이글스,4점
4.15토,삼성 라이온즈,4점
4.15토,롯데 자이언츠,6점
4.15토,키움 히어로즈,2점
4.15토,KIA 타이거즈,5점
4.16일,kt wiz,5점
4.16일,LG 트윈스,12점
4.16일,두산 베어스,0점
4.16일,NC 다이노스,4점
4.16일,SK 와이번스,10점
4.16일,한화 이글스,1점
4.16일,삼성 라이온즈,3점
4.16일,롯데 자이언츠,0점
4.16일,키움 히어로즈,6점
4.16일,KIA 타이거즈,7점
4.18화,KIA 타이거즈,5점
4.18화,kt wiz,0점
4.18화,LG 트윈스,2점
4.18화,한화 이글스,3점
4.18화,NC 다이노스,8점
4.18화,롯데 자이언츠,3점
4.18화,삼성 라이온즈,3점
4.18화,두산 베어스,3점
4.18화,키움 히어로즈,4점
4.18화,SK 와이번스,7점
4.19수,KIA 타이거즈,1점
4.19수,kt wiz,3점
4.19수,LG 트윈스,0점
4.19수,한화 이글스,3점
4.19수,NC 다이노스,8점
4.19수,롯데 자이언츠,2점
4.19수,삼성 라이온즈,1점
4.19수,두산 베어스,2점
4.19수,키움 히어로즈,3점
4.19수,SK 와이번스,5점
4.20목,KIA 타이거즈,9점
4.20목,kt wiz,2점
4.20목,LG 트윈스,4점
4.20목,한화 이글스,3점
4.20목,NC 다이노스,5점
4.20목,롯데 자이언츠,4점
4.20목,삼성 라이온즈,2점
4.20목,두산 베어스,4점
4.20목,키움 히어로즈,5점
4.20목,SK 와이번스,3점
4.21금,한화 이글스,7점
4.21금,kt wiz,2점
4.21금,KIA 타이거즈,2점
4.21금,LG 트윈스,6점
4.21금,롯데 자이언츠,1점
4.21금,키움 히어로즈,4점
4.21금,NC 다이노스,4점
4.21금,삼성 라이온즈,4점
4.21금,두산 베어스,4점
4.21금,SK 와이번스,9점
4.22토,한화 이글스,9점
4.22토,kt wiz,11점
4.22토,KIA 타이거즈,5점
4.22토,LG 트윈스,4점
4.22토,롯데 자이언츠,3점
4.22토,키움 히어로즈,2점
4.22토,NC 다이노스,14점
4.22토,삼성 라이온즈,6점
4.22토,두산 베어스,4점
4.22토,SK 와이번스,8점
4.23일,한화 이글스,14점
4.23일,kt wiz,1점
4.23일,KIA 타이거즈,1점
4.23일,LG 트윈스,7점
4.23일,롯데 자이언츠,5점
4.23일,키움 히어로즈,6점
4.23일,NC 다이노스,6점
4.23일,삼성 라이온즈,3점
4.23일,두산 베어스,8점
4.23일,SK 와이번스,4점
4.25화,한화 이글스,2점
4.25화,롯데 자이언츠,4점
4.25화,kt wiz,1점
4.25화,NC 다이노스,2점
4.25화,두산 베어스,9점
4.25화,키움 히어로즈,13점
4.25화,SK 와이번스,8점
4.25화,LG 트윈스,3점
4.25화,삼성 라이온즈,3점
4.25화,KIA 타이거즈,11점
4.26수,한화 이글스,2점
4.26수,롯데 자이언츠,8점
4.26수,kt wiz,4점
4.26수,NC 다이노스,11점
4.26수,두산 베어스,4점
4.26수,키움 히어로즈,3점
4.26수,SK 와이번스,0점
4.26수,LG 트윈스,9점
4.26수,삼성 라이온즈,0점
4.26수,KIA 타이거즈,7점
4.27목,한화 이글스,6점
4.27목,롯데 자이언츠,1점
4.27목,kt wiz,0점
4.27목,NC 다이노스,3점
4.27목,두산 베어스,3점
4.27목,키움 히어로즈,7점
4.27목,SK 와이번스,2점
4.27목,LG 트윈스,4점
4.27목,삼성 라이온즈,9점
4.27목,KIA 타이거즈,16점
4.28금,LG 트윈스,2점
4.28금,kt wiz,1점
4.28금,롯데 자이언츠,0점
4.28금,두산 베어스,2점
4.28금,NC 다이노스,3점
4.28금,KIA 타이거즈,9점
4.28금,SK 와이번스,7점
4.28금,삼성 라이온즈,5점
4.28금,키움 히어로즈,13점
4.28금,한화 이글스,2점
4.29토,LG 트윈스,0점
4.29토,kt wiz,6점
4.29토,롯데 자이언츠,3점
4.29토,두산 베어스,5점
4.29토,NC 다이노스,8점
4.29토,KIA 타이거즈,6점
4.29토,SK 와이번스,5점
4.29토,삼성 라이온즈,12점
4.29토,키움 히어로즈,7점
4.29토,한화 이글스,3점
4.30일,LG 트윈스,7점
4.30일,kt wiz,5점
4.30일,롯데 자이언츠,6점
4.30일,두산 베어스,0점
4.30일,NC 다이노스,12점
4.30일,KIA 타이거즈,1점
4.30일,SK 와이번스,13점
4.30일,삼성 라이온즈,2점
4.30일,키움 히어로즈,5점
4.30일,한화 이글스,4점
