day_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,location,temp,rain,humidity,score_text
8.5,KIA 타이거즈,10,2,1,5,2,0,1,대전,34.9,0,61,7
8.5,한화 이글스,9,0,1,4,3,0,0,대전,34.9,0,61,1
8.5,두산 베어스,6,1,1,8,1,0,1,서울,34.1,0,57,2
8.5,LG 트윈스,5,0,1,4,0,1,0,서울,34.1,0,57,1
8.5,SK 와이번스,11,0,0,5,0,1,0,수원,33.5,0,62,3
8.5,kt wiz,8,1,3,6,1,0,1,수원,33.5,0,62,4
8.5,삼성 라이온즈,13,1,2,6,1,1,1,창원,34.3,0,57,9
8.5,NC 다이노스,7,1,0,11,1,0,0,창원,34.3,0,57,3
8.5,키움 히어로즈,11,3,1,10,0,0,0,부산,32.3,0,62,4
8.5,롯데 자이언츠,9,2,0,4,0,1,1,부산,32.3,0,62,5
8.6,두산 베어스,14,2,0,7,0,0,1,서울,32.2,0,62,10
8.6,LG 트윈스,7,1,0,8,1,0,0,서울,32.2,0,62,3
8.6,SK 와이번스,9,0,0,11,1,2,0,수원,30.7,0,72,3
8.6,kt wiz,9,1,2,9,1,0,1,수원,30.7,0,72,6
8.6,삼성 라이온즈,7,1,0,3,1,1,0,창원,35.3,0,54,1
8.6,NC 다이노스,9,2,2,7,1,0,1,창원,35.3,0,54,4
8.6,키움 히어로즈,8,1,0,6,1,1,0,부산,32.8,0,56,4
8.6,롯데 자이언츠,13,1,0,7,0,0,1,부산,32.8,0,56,6
8.8,한화 이글스,6,0,0,9,0,0,0,서울,30.8,0,45,1
8.8,두산 베어스,11,1,0,4,0,0,1,서울,30.8,0,45,8
8.8,kt wiz,12,2,0,8,1,0,0,부산,30.8,0,67,4
8.8,롯데 자이언츠,10,0,3,5,2,0,1,부산,30.8,0,67,5
8.8,LG 트윈스,12,3,2,11,0,1,1,대구,32.5,0,44,10
8.8,삼성 라이온즈,13,2,0,8,2,0,0,대구,32.5,0,44,8
8.8,NC 다이노스,5,0,0,4,2,0,0,인천,27.7,0,77,0
8.8,SK 와이번스,8,2,2,8,1,0,1,인천,27.7,0,77,4
8.8,키움 히어로즈,12,1,2,7,2,0,1,광주,30.3,0,76,5
8.8,KIA 타이거즈,13,0,0,1,2,0,0,광주,30.3,0,76,3
8.9,한화 이글스,21,1,0,4,1,1,1,서울,30.2,0,56,12
8.9,두산 베어스,9,1,0,6,3,0,0,서울,30.2,0,56,6
8.9,kt wiz,10,1,4,3,2,2,0,부산,27.4,0,90,6
8.9,롯데 자이언츠,15,0,4,10,1,2,1,부산,27.4,0,90,7
8.9,LG 트윈스,11,0,1,11,2,0,0,대구,27.2,0,85,4
8.9,삼성 라이온즈,11,0,1,3,1,0,1,대구,27.2,0,85,7
8.9,NC 다이노스,14,1,2,4,1,0,1,인천,29,0,64,10
8.9,SK 와이번스,9,2,0,9,1,2,0,인천,29,0,64,5
8.9,키움 히어로즈,4,0,1,5,1,1,0,광주,28.4,0,91,1
8.9,KIA 타이거즈,11,1,0,5,0,0,1,광주,28.4,0,91,10
8.1,롯데 자이언츠,6,2,0,9,2,1,0,창원,30.4,0,77,2
8.1,NC 다이노스,5,1,1,8,0,0,1,창원,30.4,0,77,3
8.1,두산 베어스,12,1,0,4,1,0,1,서울,25.4,0,90,7
8.1,키움 히어로즈,8,0,1,6,1,0,0,서울,25.4,0,90,4
8.1,SK 와이번스,9,0,0,8,0,0,1,서울,25.4,0,90,2
8.1,LG 트윈스,10,0,0,7,3,0,0,서울,25.4,0,90,1
8.11,KIA 타이거즈,13,1,0,8,1,0,0,수원,25.2,0,96,8
8.11,kt wiz,13,3,0,8,0,1,1,수원,25.2,0,96,9
8.11,롯데 자이언츠,9,1,2,14,0,0,1,창원,28,0,80,5
8.11,NC 다이노스,14,1,2,7,2,0,0,창원,28,0,80,3
8.11,두산 베어스,8,0,0,7,2,0,0,서울,29.3,0,68,3
8.11,키움 히어로즈,10,2,2,8,1,0,1,서울,29.3,0,68,6
8.11,SK 와이번스,7,1,0,9,0,1,0,서울,29.3,0,68,2
8.11,LG 트윈스,9,0,0,11,1,0,1,서울,29.3,0,68,6
8.11,삼성 라이온즈,7,1,0,8,0,0,0,대전,27.7,0,79,3
8.11,한화 이글스,11,2,1,4,2,0,1,대전,27.7,0,79,8
8.12,한화 이글스,10,2,1,7,1,0,1,서울,31.4,0,48,6
8.12,키움 히어로즈,7,0,0,6,2,2,0,서울,31.4,0,48,1
8.12,kt wiz,8,1,0,4,3,2,0,인천,29.5,0,65,3
8.12,SK 와이번스,13,1,0,3,0,0,1,인천,29.5,0,65,8
8.12,LG 트윈스,16,2,1,4,1,1,0,광주,28.7,0,78,10
8.12,KIA 타이거즈,17,0,0,6,0,1,1,광주,28.7,0,78,11
8.12,롯데 자이언츠,15,2,0,7,2,0,0,대구,26.6,0,71,7
8.12,삼성 라이온즈,13,1,1,9,0,1,1,대구,26.6,0,71,13
8.12,NC 다이노스,7,0,0,8,0,0,0,서울,31.4,0,48,0
8.12,두산 베어스,7,0,0,5,1,0,1,서울,31.4,0,48,3
8.13,한화 이글스,8,1,0,9,0,1,0,서울,28.4,0,54,1
8.13,키움 히어로즈,15,1,0,5,1,0,1,서울,28.4,0,54,9
8.13,kt wiz,19,4,1,7,1,0,1,인천,27.5,0,62,11
8.13,SK 와이번스,8,1,0,12,0,1,0,인천,27.5,0,62,3
8.13,롯데 자이언츠,11,0,0,4,1,0,1,대구,24.7,0,78,9
8.13,삼성 라이온즈,18,1,2,7,0,1,0,대구,24.7,0,78,7
8.13,NC 다이노스,5,0,1,8,2,1,0,서울,28.4,0,54,1
8.13,두산 베어스,7,0,0,7,2,1,1,서울,28.4,0,54,2
8.15,NC 다이노스,6,1,0,8,0,0,0,광주,27,0,98,2
8.15,KIA 타이거즈,9,1,1,2,0,0,1,광주,27,0,98,4
8.15,두산 베어스,8,1,1,6,0,1,0,부산,26.3,0,81,6
8.15,롯데 자이언츠,11,0,0,6,0,0,1,부산,26.3,0,81,8
