day_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,location,temp,rain,humidity
4.9,두산 베어스,3,1,0,5,0,1,0,서울,17.3,0,40
4.11,두산 베어스,21,0,5,3,0,0,1,서울,18.7,0,37
4.12,두산 베어스,7,0,0,11,2,3,0,서울,12.4,0,15
4.13,두산 베어스,12,1,0,4,0,1,0,서울,15.9,0,53
4.14,두산 베어스,13,2,0,5,0,2,1,창원,17.2,0,68
4.15,두산 베어스,14,3,0,6,0,0,1,창원,20.2,0,67
4.16,두산 베어스,6,0,1,7,2,1,0,창원,20.6,0,52
4.19,두산 베어스,9,1,1,6,2,0,1,서울,16,0,28
4.2,두산 베어스,8,0,0,9,0,1,1,서울,15.3,0,40
4.21,두산 베어스,10,1,0,7,0,2,0,인천,12.5,0,72
4.22,두산 베어스,10,0,1,3,1,1,0,인천,16.1,0,42
4.23,두산 베어스,14,4,0,11,0,1,1,인천,15.9,0,32
4.25,두산 베어스,14,0,1,4,0,1,0,서울,17.8,0,53
4.26,두산 베어스,9,0,1,7,1,1,1,서울,17.8,0,25
4.27,두산 베어스,8,2,0,8,1,0,0,서울,16.6,0,25
4.28,두산 베어스,5,1,0,3,1,0,1,서울,16.9,0,49
4.29,두산 베어스,8,0,2,7,2,3,1,서울,21.7,0,19
4.3,두산 베어스,5,0,0,8,0,1,0,서울,22.5,0,53
5.2,두산 베어스,10,1,0,9,0,1,0,대구,22.4,0,30
5.3,두산 베어스,14,3,0,11,1,0,1,대구,27.3,0,18
5.4,두산 베어스,13,4,0,6,1,0,1,대구,25.2,0,43
5.5,두산 베어스,9,0,1,7,2,0,0,서울,22.5,0,54
5.6,두산 베어스,7,2,1,7,0,0,0,서울,16.8,0,41
5.7,두산 베어스,8,1,0,8,0,0,0,서울,20.7,0,19
5.1,두산 베어스,15,0,0,6,0,0,1,서울,18.9,0,59
5.11,두산 베어스,10,1,3,5,0,0,1,서울,24.6,0,49
5.13,두산 베어스,14,2,2,7,1,0,1,부산,20.7,0,59
5.14,두산 베어스,17,2,0,5,1,1,1,부산,21.7,0,53
5.16,두산 베어스,10,0,0,11,3,0,0,서울,21.2,0,47
5.17,두산 베어스,7,0,0,4,0,1,0,서울,24.1,0,34
5.18,두산 베어스,7,1,2,6,0,0,1,서울,24.8,0,32
5.19,두산 베어스,14,2,1,6,1,1,1,광주,26.7,0,32
5.2,두산 베어스,15,1,1,3,3,0,1,광주,24.9,0,36
5.21,두산 베어스,10,2,0,6,4,1,1,광주,26.1,0,38
5.24,두산 베어스,6,1,0,6,0,0,1,서울,27,0,39
5.25,두산 베어스,11,2,0,8,0,2,1,서울,22.2,0,29
5.26,두산 베어스,7,1,1,8,2,0,0,서울,21.6,0,36
5.27,두산 베어스,14,1,1,5,2,1,1,서울,23.7,0,29
5.28,두산 베어스,12,1,2,3,0,0,1,서울,25.1,0,55
5.3,두산 베어스,9,0,0,5,2,3,0,대전,28.8,0,40
5.31,두산 베어스,5,0,0,7,1,1,0,대전,22.9,0,81
6.1,두산 베어스,13,3,1,4,2,1,1,대전,25.2,0,55
6.2,두산 베어스,16,1,0,5,3,0,1,서울,23.5,0,32
6.3,두산 베어스,10,2,0,5,0,0,0,서울,23.4,0,34
6.4,두산 베어스,16,2,0,6,2,0,1,서울,25.6,0,21
6.6,두산 베어스,9,3,1,10,1,2,0,서울,17.4,1,80
6.7,두산 베어스,13,2,2,8,0,1,1,서울,18.7,0,81
6.8,두산 베어스,6,1,0,4,1,0,1,서울,23.1,0,51
6.9,두산 베어스,7,0,0,7,0,0,1,부산,24.2,0,56
6.1,두산 베어스,9,4,0,5,2,3,0,부산,20.4,0,44
6.11,두산 베어스,9,1,0,8,0,2,0,부산,20.8,0,57
6.13,두산 베어스,10,2,0,6,0,0,1,서울,22.8,0,61
6.14,두산 베어스,7,0,0,7,1,0,0,서울,25.2,0,46
6.15,두산 베어스,11,1,1,10,0,3,0,서울,27.4,0,45
6.16,두산 베어스,11,1,0,7,1,0,0,서울,29.1,0,49
6.17,두산 베어스,17,2,1,4,1,0,1,서울,26.9,0,42
6.18,두산 베어스,16,2,0,6,0,4,1,서울,28,0,33
6.21,두산 베어스,15,1,0,8,0,0,0,광주,25.4,0,68
6.22,두산 베어스,11,1,0,9,0,0,0,광주,29,0,57
6.23,두산 베어스,12,3,0,7,0,0,1,서울,29.2,0,44
6.24,두산 베어스,9,0,0,5,2,0,0,서울,24.7,0,64
6.25,두산 베어스,8,0,1,4,2,2,0,서울,25.5,0,71
6.27,두산 베어스,10,1,2,10,1,1,0,서울,27.3,0,65
6.28,두산 베어스,8,0,1,10,0,0,0,서울,28.8,0,54
6.29,두산 베어스,11,3,0,0,2,0,1,서울,29.6,0,49
6.3,두산 베어스,13,2,0,12,0,1,0,대전,29.7,0,64
7.1,두산 베어스,11,1,0,4,4,1,0,대전,24.8,0.1,96
7.4,두산 베어스,12,3,0,7,0,0,1,서울,29.2,0,64
7.5,두산 베어스,8,0,1,6,1,1,1,서울,31.4,0,55
7.7,두산 베어스,13,4,0,11,0,1,1,창원,27.2,0,94
7.9,두산 베어스,13,2,0,6,1,0,0,창원,28.9,0,83
7.11,두산 베어스,7,1,0,9,0,2,0,서울,29.2,0,71
7.12,두산 베어스,11,1,1,6,2,0,1,서울,29.6,0,62
7.13,두산 베어스,14,1,0,5,1,0,1,서울,31.1,0,59
7.18,두산 베어스,10,1,0,3,2,0,1,인천,28.1,0,78
7.19,두산 베어스,10,1,0,10,1,0,0,인천,28.3,0,74
7.2,두산 베어스,11,2,0,8,0,0,1,인천,29.6,0,74
7.21,두산 베어스,11,3,0,5,0,1,1,서울,31.8,0,69
7.22,두산 베어스,18,3,0,3,2,2,1,서울,31.2,0,66
7.23,두산 베어스,12,2,0,4,1,0,1,서울,28,0,82
7.25,두산 베어스,15,3,1,6,0,0,1,수원,32.1,0,65
7.26,두산 베어스,13,0,2,6,0,0,1,수원,30.9,0,53
7.27,두산 베어스,8,1,1,5,2,0,1,수원,28.6,0,66
7.29,두산 베어스,6,0,0,9,0,0,0,서울,29.7,0,63
7.3,두산 베어스,10,1,1,4,0,0,1,서울,30.3,0,54
8.1,두산 베어스,19,3,0,6,0,0,1,대구,31.4,0,63
8.2,두산 베어스,11,1,0,8,0,1,1,대구,30.2,0,63
8.3,두산 베어스,17,1,0,6,1,0,1,대구,29.1,0,66
8.4,두산 베어스,16,2,0,6,2,2,1,서울,34.3,0,50
8.5,두산 베어스,6,1,1,8,1,0,1,서울,34.1,0,57
8.6,두산 베어스,14,2,0,7,0,0,1,서울,32.2,0,62
8.8,두산 베어스,11,1,0,4,0,0,1,서울,30.8,0,45
8.9,두산 베어스,9,1,0,6,3,0,0,서울,30.2,0,56
8.1,두산 베어스,12,1,0,4,1,0,1,서울,25.4,0,90
8.11,두산 베어스,8,0,0,7,2,0,0,서울,29.3,0,68
8.12,두산 베어스,7,0,0,5,1,0,1,서울,31.4,0,48
8.13,두산 베어스,7,0,0,7,2,1,1,서울,28.4,0,54
8.15,두산 베어스,8,1,1,6,0,1,0,부산,26.3,0,81
8.16,두산 베어스,8,0,0,4,2,1,0,부산,26.2,0,87
8.17,두산 베어스,8,0,0,6,2,0,1,서울,27.3,0,70
8.18,두산 베어스,7,1,0,3,1,0,1,서울,29.3,0,62
8.19,두산 베어스,15,4,0,1,2,0,1,수원,27.5,0,79
8.2,두산 베어스,5,1,1,6,0,1,0,수원,24.6,3.2,98
8.22,두산 베어스,15,2,0,5,2,1,1,인천,28.5,0,70
8.23,두산 베어스,10,1,0,4,1,0,1,인천,27.4,0,94
8.24,두산 베어스,10,2,0,8,0,0,1,서울,26.9,0,79
8.25,두산 베어스,10,2,1,10,0,1,1,서울,28.6,0,35
8.26,두산 베어스,7,0,0,4,1,1,1,서울,28,0,39
8.29,두산 베어스,10,1,0,5,0,0,1,서울,22.5,0,34
8.3,두산 베어스,7,0,1,8,0,0,0,서울,23.3,0,61
8.31,두산 베어스,11,0,0,6,1,1,0,광주,25.9,0,57
9.1,두산 베어스,8,0,0,9,1,2,0,광주,28.1,0,41
9.2,두산 베어스,4,1,1,14,1,0,0,서울,27.6,0,54
9.3,두산 베어스,10,0,0,5,0,1,1,서울,26.6,0,59
