day_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,location,temp,rain,humidity
4.7,두산 베어스,6,0,1,6,0,1,0,서울,10.2,0,23
4.8,두산 베어스,22,0,1,4,1,1,1,서울,13.7,0,50
4.11,두산 베어스,11,1,0,3,1,0,1,대전,16.4,0,64
4.12,두산 베어스,6,0,1,8,0,0,0,대전,13.9,0,29
4.13,두산 베어스,9,0,2,2,1,0,1,부산,11.1,0.2,71
4.15,두산 베어스,8,0,0,3,2,1,0,부산,16.6,0,58
4.17,두산 베어스,11,1,0,8,0,0,1,서울,18.3,0,25
4.18,두산 베어스,14,1,0,1,1,1,1,서울,19.6,0,23
4.19,두산 베어스,9,0,1,2,0,0,1,서울,19.2,0,28
4.2,두산 베어스,9,0,1,7,1,0,0,서울,22.3,0,32
4.24,두산 베어스,7,0,1,3,3,0,1,인천,20.9,0,65
4.26,두산 베어스,8,1,0,3,2,0,1,인천,11.8,0,56
4.27,두산 베어스,9,1,1,1,2,0,1,서울,19.2,0,16
4.28,두산 베어스,13,2,1,7,0,2,0,서울,18.4,0,51
4.29,두산 베어스,9,0,0,2,0,0,1,서울,23.6,0,47
5.2,두산 베어스,8,0,2,6,0,1,1,대구,18,0,89
5.3,두산 베어스,6,0,0,2,1,0,0,대구,18.6,0.3,82
5.4,두산 베어스,8,0,2,5,2,0,1,서울,23,0,32
5.5,두산 베어스,10,0,1,3,2,3,0,서울,22.7,0,15
5.6,두산 베어스,11,0,0,2,2,2,0,서울,21.4,0,18
5.8,두산 베어스,5,0,0,5,4,0,0,서울,26.6,0,19
5.9,두산 베어스,9,1,1,3,3,0,0,서울,25,0,38
5.1,두산 베어스,15,1,2,5,1,1,1,서울,24.4,0,35
5.11,두산 베어스,1,0,0,5,0,0,0,광주,19.9,0,67
5.12,두산 베어스,10,2,1,3,0,0,1,광주,21.4,0,48
5.13,두산 베어스,10,0,1,5,1,1,1,광주,18.6,0,54
5.15,두산 베어스,8,0,0,4,0,1,1,서울,18.3,0,54
5.16,두산 베어스,7,0,5,8,1,1,0,서울,18.2,0,63
5.17,두산 베어스,7,0,1,8,1,2,0,서울,19.9,0,34
5.18,두산 베어스,5,0,1,4,0,0,0,서울,22,0,31
5.19,두산 베어스,5,0,2,5,1,0,0,서울,23.6,0,21
5.2,두산 베어스,8,0,0,9,1,1,0,서울,25.3,0,35
5.22,두산 베어스,9,1,1,6,0,0,1,인천,24.1,0,41
5.23,두산 베어스,12,0,2,6,0,0,1,인천,22.3,0,36
5.24,두산 베어스,11,2,1,3,1,0,1,인천,19.1,0,61
5.25,두산 베어스,11,1,0,5,1,2,0,서울,23.9,0,36
5.26,두산 베어스,3,0,0,3,0,0,0,서울,22.8,0,40
5.27,두산 베어스,5,0,0,6,1,2,0,서울,21.1,0,57
5.29,두산 베어스,11,0,2,2,0,0,1,서울,23.9,0,32
5.3,두산 베어스,10,0,0,6,4,0,1,서울,22.5,0,37
5.31,두산 베어스,6,0,0,6,1,1,0,서울,23.6,0,44
6.1,두산 베어스,6,2,0,4,0,0,1,대구,23.4,0,52
6.2,두산 베어스,11,1,1,6,1,1,0,대구,23.7,0,48
6.3,두산 베어스,9,0,1,5,1,0,1,대구,28.6,0,30
6.5,두산 베어스,8,0,0,5,1,1,0,서울,24.2,0,57
6.6,두산 베어스,11,0,1,4,1,0,1,서울,25.2,0,49
6.7,두산 베어스,5,0,0,4,1,0,0,서울,26.3,0,51
6.9,두산 베어스,7,0,0,3,1,1,0,서울,27.3,0,47
6.1,두산 베어스,12,0,0,1,2,0,0,서울,25.8,0,52
6.12,두산 베어스,6,3,0,5,2,0,0,부산,24.2,0,65
6.13,두산 베어스,10,0,3,5,0,0,1,부산,22.3,0,64
6.14,두산 베어스,11,3,0,8,0,2,1,부산,23.2,0,60
6.15,두산 베어스,9,0,1,6,1,0,1,서울,25,0,51
6.16,두산 베어스,14,0,1,6,1,3,0,서울,24.5,0,60
6.17,두산 베어스,10,1,0,7,2,0,1,서울,27.5,0,31
6.19,두산 베어스,10,0,5,4,1,1,1,서울,27.2,0,37
6.2,두산 베어스,4,0,3,6,0,1,0,서울,28.6,0,36
6.21,두산 베어스,8,0,3,2,0,0,1,서울,30.3,0,39
6.22,두산 베어스,5,0,1,7,0,1,0,대전,29.7,0,44
6.23,두산 베어스,5,0,3,6,0,1,0,대전,28.4,0,60
6.24,두산 베어스,13,4,1,6,1,0,1,대전,27.1,0,60
6.26,두산 베어스,7,1,1,3,1,1,0,서울,27.3,0,37
6.27,두산 베어스,7,0,1,3,1,1,0,서울,28,0,41
6.28,두산 베어스,10,0,2,4,1,1,1,서울,27.4,0,46
6.29,두산 베어스,10,0,3,5,1,0,1,서울,27.4,0,57
6.3,두산 베어스,6,0,2,4,0,0,1,서울,21.3,0,82
7.1일,두산 베어스,12,0,1,3,1,0,1,서울,24.9,0,67
7.3화,두산 베어스,11,0,0,8,0,0,1,광주,24.5,0,83
7.4수,두산 베어스,4,0,0,3,1,1,0,광주,25.2,0,81
7.7토,두산 베어스,12,0,1,5,0,1,1,서울,29.2,0,47
7.8일,두산 베어스,9,1,0,5,1,0,1,서울,28.7,0,55
7.10화,두산 베어스,6,0,1,7,0,1,1,서울,28,0,49
7.11수,두산 베어스,9,0,1,3,2,2,0,서울,24.2,0,80
7.12목,두산 베어스,15,0,3,4,3,0,1,서울,27.3,0,62
7.13금,두산 베어스,3,0,0,4,1,1,0,인천,26.6,0,88
7.14토,두산 베어스,17,0,1,3,2,0,0,인천,24.6,0,84
7.17화,두산 베어스,10,1,0,8,0,1,1,광주,26,0,87
7.18수,두산 베어스,4,0,0,6,0,0,0,광주,27.7,0,78
7.19목,두산 베어스,4,0,0,5,2,0,0,광주,28.7,0,72
7.24화,두산 베어스,14,2,2,5,0,2,1,서울,29.5,0,66
7.25수,두산 베어스,8,0,1,2,0,0,1,서울,30.4,0,56
7.26목,두산 베어스,6,0,0,6,1,0,0,서울,30.6,0,55
7.27금,두산 베어스,10,0,1,2,1,1,1,서울,30.1,0,59
7.28토,두산 베어스,8,0,1,2,1,0,1,서울,31.4,0,55
7.29일,두산 베어스,9,0,0,6,1,1,0,서울,31.7,0,57
7.31화,두산 베어스,5,0,0,5,0,0,1,대구,36.3,0,31
8.1,두산 베어스,13,0,1,7,0,0,1,대구,31.4,0,0
8.2,두산 베어스,7,0,1,7,0,0,1,대구,32.5,0,0
8.3,두산 베어스,8,0,2,7,1,0,1,서울,34.4,0,0
8.4,두산 베어스,9,0,0,5,1,0,0,서울,35.5,0,0
8.5,두산 베어스,9,2,0,3,2,2,0,서울,34.7,0,0
8.7,두산 베어스,13,2,1,6,2,0,1,대전,33.5,0,0
8.8,두산 베어스,4,1,0,4,0,0,1,대전,31.7,0,0
8.9,두산 베어스,12,1,2,4,3,1,1,대전,29.4,0,0
8.1,두산 베어스,8,0,0,5,1,1,0,서울,28.3,0,0
8.11,두산 베어스,9,0,1,2,1,0,1,서울,30.1,0,0
8.16,두산 베어스,4,1,0,6,1,2,0,서울,28.5,0,0
8.17,두산 베어스,5,0,1,4,1,0,0,서울,29.3,0,0
8.18,두산 베어스,7,0,0,5,0,1,0,서울,27.6,0,0
8.19,두산 베어스,7,0,1,6,3,1,0,서울,28.5,0,0
8.22,두산 베어스,6,0,2,7,0,0,0,서울,23.2,0,0
8.23,두산 베어스,5,2,0,3,1,1,1,서울,24.4,0,0
8.24,두산 베어스,8,0,0,5,1,1,1,부산,23.4,0,0
8.25,두산 베어스,6,0,0,8,1,1,0,부산,29.3,0,0
8.26,두산 베어스,2,1,0,10,0,1,0,부산,29.7,0,0
8.29,두산 베어스,5,0,0,3,0,2,0,서울,27.8,0,0
9.2일,두산 베어스,13,1,0,7,1,0,1,인천,25.9,0,80
9.5수,두산 베어스,5,1,3,12,0,0,0,대전,24.5,0,63
9.6목,두산 베어스,10,1,1,3,0,0,1,서울,25.1,0,36
9.7금,두산 베어스,14,0,0,8,1,2,0,서울,25.2,0,45
9.8토,두산 베어스,9,1,1,13,2,0,1,대구,26.9,0,60
9.11화,두산 베어스,8,1,0,5,0,0,1,부산,22.8,0,65
9.12수,두산 베어스,11,1,2,6,2,2,1,서울,22,0,74
9.13목,두산 베어스,9,0,2,6,1,1,0,서울,19.1,0.5,89
9.15토,두산 베어스,6,0,1,6,2,0,0,서울,23.9,0,53
9.16일,두산 베어스,11,1,1,2,1,1,1,서울,21.6,0,58
9.19수,두산 베어스,11,0,2,9,2,0,1,광주,22.5,0,55
9.22토,두산 베어스,7,0,0,4,0,0,0,서울,23.6,0,36
9.23일,두산 베어스,7,0,0,5,3,1,0,서울,24.6,0,38
9.24월,두산 베어스,6,1,0,5,0,0,1,서울,25.3,0,26
9.25화,두산 베어스,7,0,1,7,1,0,0,서울,25.5,0,34
9.26수,두산 베어스,10,0,1,2,1,0,1,서울,23.4,0,52
9.28금,두산 베어스,20,0,3,4,4,0,1,대전,19.2,0.1,79
9.29토,두산 베어스,11,0,1,2,1,0,0,서울,17.4,0,52
9.30일,두산 베어스,14,0,0,9,2,1,1,서울,18.5,0,53
10.1월,두산 베어스,4,0,1,6,0,1,0,서울,20.9,0,58
10.2화,두산 베어스,9,1,0,2,1,3,1,서울,22.2,0,53
10.3수,두산 베어스,4,1,1,3,1,0,0,대구,20.2,0,50
10.5금,두산 베어스,8,1,0,6,1,0,1,서울,20.8,0,48
10.6토,두산 베어스,5,0,0,10,0,0,0,서울,21.3,0,53
10.8월,두산 베어스,10,0,0,5,1,1,0,서울,20.6,0,42
10.9화,두산 베어스,7,0,1,4,1,1,0,서울,19.4,0,53
10.12금,두산 베어스,7,1,0,7,0,1,0,부산,18.5,0,60
4.2화,두산 베어스,13,0,1,4,1,1,1,인천,7.7,0,81
4.3수,두산 베어스,3,0,1,7,1,1,0,인천,8.3,0,73
4.4목,두산 베어스,7,2,0,4,1,0,0,인천,15.7,0,44
4.5금,두산 베어스,6,1,1,5,1,2,0,서울,17.6,0,33
4.7일,두산 베어스,12,0,3,5,2,2,1,서울,8.1,0,44
4.9화,두산 베어스,17,4,1,6,1,0,1,서울,7.2,0,50
4.10수,두산 베어스,9,1,3,9,2,2,0,서울,7,0,36
4.11목,두산 베어스,13,1,1,6,2,0,1,서울,7.5,0,33
4.13토,두산 베어스,6,0,2,3,0,1,1,부산,14,0,49
4.14일,두산 베어스,8,2,5,5,0,1,1,부산,17.6,0,54
4.19금,두산 베어스,15,0,2,3,0,0,1,대전,16.3,0,27
4.21일,두산 베어스,6,0,2,1,2,1,0,대전,13.9,0,28
4.24수,두산 베어스,8,0,1,6,1,0,0,서울,14.7,0,52
4.25목,두산 베어스,8,0,6,6,1,3,1,서울,10,0,74
4.26금,두산 베어스,10,1,6,9,0,1,1,서울,14.2,0,45
4.27토,두산 베어스,10,4,0,13,0,0,1,서울,13.8,0,43
4.28일,두산 베어스,9,0,3,8,4,0,1,서울,19.4,0,55
4.30화,두산 베어스,11,0,2,6,1,1,0,광주,17.8,0,25
5.1수,두산 베어스,8,0,1,2,1,0,0,서울,15.3,1,56
5.2목,두산 베어스,9,0,4,4,1,1,1,서울,15.2,0,52
5.3금,두산 베어스,6,1,0,4,2,1,0,서울,14.4,0,55
5.4토,두산 베어스,8,0,1,3,0,1,1,서울,18.4,0,33
5.5일,두산 베어스,8,0,2,6,0,1,1,서울,18,0,27
5.7화,두산 베어스,9,0,1,5,3,0,0,인천,19.3,0,47
5.8수,두산 베어스,14,1,0,5,2,0,0,인천,20.4,0,47
5.9목,두산 베어스,20,1,1,8,1,1,1,인천,17.6,0,73
5.10금,두산 베어스,5,0,2,2,1,1,1,서울,13.9,0,83
5.11토,두산 베어스,9,1,0,8,0,0,1,서울,23.9,0,25
5.12일,두산 베어스,9,1,0,3,2,1,0,서울,21.5,0,58
5.14화,두산 베어스,12,0,0,9,0,1,0,서울,23,0,44
5.15수,두산 베어스,8,0,1,7,0,0,0,서울,21.9,0,48
5.16목,두산 베어스,13,0,1,5,1,0,1,서울,27.5,0,24
5.17금,두산 베어스,11,0,1,4,3,0,0,대전,24.4,0,40
5.18토,두산 베어스,9,0,0,6,0,0,0,대전,22.8,0,53
5.19일,두산 베어스,21,2,2,6,0,0,1,대전,18.5,0,89
5.21화,두산 베어스,14,1,3,9,0,2,0,서울,23.2,0,15
5.22수,두산 베어스,8,0,0,6,2,1,0,서울,24.1,0,50
5.23목,두산 베어스,8,0,3,5,0,0,1,서울,26,0,47
5.28화,두산 베어스,6,1,1,9,1,0,0,부산,18.8,0,91
5.29수,두산 베어스,3,0,1,5,0,0,0,부산,21.2,0,73
5.30목,두산 베어스,11,1,0,7,0,1,0,부산,22.1,0,49
5.31금,두산 베어스,7,1,2,9,0,3,0,서울,24.8,0,40
6.1토,두산 베어스,11,1,3,2,2,0,1,서울,25.8,0,32
6.2일,두산 베어스,13,2,3,4,0,0,1,서울,27.4,0,46
6.4화,두산 베어스,17,1,2,5,2,1,1,서울,27,0,45
6.5수,두산 베어스,11,0,3,4,2,0,0,서울,27.5,0,47
6.6목,두산 베어스,11,0,1,5,2,0,0,서울,28.7,0,36
6.7금,두산 베어스,10,0,1,4,0,0,0,대구,27.5,0,40
6.8토,두산 베어스,6,1,0,4,1,1,0,대구,25.8,0,50
6.9일,두산 베어스,5,1,0,9,0,1,0,대구,24.9,0,52
6.11화,두산 베어스,12,0,0,8,1,0,0,서울,24.1,0.3,67
6.12수,두산 베어스,5,0,0,2,0,0,1,서울,22.2,0,75
6.13목,두산 베어스,7,0,1,3,1,0,1,서울,25.4,0,63
6.19수,두산 베어스,11,1,1,7,0,0,0,서울,29.3,0,50
6.20목,두산 베어스,12,0,0,8,1,1,0,서울,28.6,0,49
6.21금,두산 베어스,10,3,0,2,0,0,1,서울,29.6,0,49
6.22토,두산 베어스,10,1,1,6,0,0,1,서울,25.7,0,66
6.23일,두산 베어스,13,1,4,1,0,0,1,서울,25,0,52
6.27목,두산 베어스,9,0,3,5,0,0,1,광주,27,0,64
6.28금,두산 베어스,10,2,0,8,2,2,1,창원,24.6,0,72
6.29토,두산 베어스,7,0,1,6,0,0,1,창원,25.8,0,61
6.30일,두산 베어스,9,1,0,7,0,0,0,창원,24.7,0,75
7.5금,두산 베어스,15,2,0,4,1,1,1,서울,29.1,0,60
7.6토,두산 베어스,9,1,2,4,1,0,1,서울,29.2,0,57
7.7일,두산 베어스,8,0,0,4,0,0,0,서울,25,0,82
7.9화,두산 베어스,10,0,6,9,0,0,1,대전,29.7,0,75
7.10수,두산 베어스,9,0,4,4,0,0,1,대전,31.2,0,74
7.11목,두산 베어스,2,0,2,4,2,0,0,대전,29.7,0,73
7.13토,두산 베어스,17,1,1,5,1,2,1,서울,25.5,0,84
7.16화,두산 베어스,6,0,1,4,1,0,1,서울,27.6,0,65
7.17수,두산 베어스,7,0,1,4,0,0,1,서울,24.7,0,87
7.23화,두산 베어스,9,3,1,6,3,1,0,서울,26.2,0,88
7.24수,두산 베어스,10,0,0,5,0,1,0,서울,26.6,0,58
7.25목,두산 베어스,15,1,1,5,2,1,1,서울,29.4,0,51
7.26금,두산 베어스,19,1,1,3,1,0,1,서울,29.6,0,57
7.27토,두산 베어스,14,1,0,4,2,0,0,서울,27.4,0,63
7.28일,두산 베어스,8,0,0,4,2,0,1,서울,26.2,0,88
7.30화,두산 베어스,5,0,3,5,1,1,0,부산,27.3,0,73
7.31수,두산 베어스,10,2,1,7,1,1,1,부산,29.3,0,67
8.1목,두산 베어스,14,2,2,8,1,0,1,부산,27.4,0,73
8.2금,두산 베어스,12,0,1,5,0,0,1,인천,29.1,0,87
8.3토,두산 베어스,11,4,2,9,0,0,0,인천,29.4,0,87
8.4일,두산 베어스,12,1,3,7,0,1,1,인천,28.3,0,97
8.6화,두산 베어스,6,1,1,6,0,0,1,서울,27.3,0,68
8.7수,두산 베어스,15,1,0,8,0,0,1,서울,31.9,0,65
8.10토,두산 베어스,13,0,3,7,1,1,0,서울,29.1,0,72
8.11일,두산 베어스,8,1,0,2,0,0,0,서울,32.2,0,55
8.13화,두산 베어스,8,0,0,0,0,0,1,서울,32,0,52
8.14수,두산 베어스,13,1,0,4,0,1,1,서울,30.7,0,60
8.15목,두산 베어스,9,1,3,6,0,0,1,광주,32.9,0,50
8.16금,두산 베어스,14,0,5,7,0,0,1,광주,32.5,0,52
8.17토,두산 베어스,8,0,1,6,0,1,1,서울,29.8,0,64
8.18일,두산 베어스,3,0,0,7,1,0,0,서울,29.1,0,66
8.20화,두산 베어스,14,1,0,2,2,0,0,서울,30.8,0,49
8.21수,두산 베어스,6,0,1,10,2,0,0,서울,32.1,0,43
8.22목,두산 베어스,6,0,2,7,1,0,0,대구,29.6,0,84
8.23금,두산 베어스,16,1,0,5,2,0,1,대구,26.6,0,89
8.24토,두산 베어스,4,2,0,8,0,1,0,서울,30.2,0,30
8.25일,두산 베어스,4,0,0,6,2,0,0,서울,30.7,0,29
8.29목,두산 베어스,12,0,1,7,0,0,1,창원,30,0,65
8.30금,두산 베어스,13,1,0,4,1,1,1,창원,26.7,0,78
9.1일,두산 베어스,7,1,0,5,1,0,1,서울,26.9,0,35
9.3화,두산 베어스,13,2,2,4,0,0,1,대전,23.5,0,59
9.4수,두산 베어스,14,1,0,6,0,1,1,대전,24.7,0,54
9.5목,두산 베어스,11,2,2,5,1,0,1,서울,22.8,0,53
9.6금,두산 베어스,8,0,3,7,1,1,1,서울,20.9,0,58
9.7토,두산 베어스,6,0,2,6,2,1,0,서울,25.8,0,44
9.8일,두산 베어스,10,1,0,7,0,0,0,서울,26.1,0,42
