day_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,location,temp,rain,humidity,,,,,,한화이글스,,,
4.7,한화 이글스,11,0,2,6,2,2,0,부산,10.7,0,41,,,행 레이블,평균 : H_text,평균 : HR_text,평균 : S_text,평균 : ST_text,평균 : DU_text,평균 : ER_text
4.8,한화 이글스,8,0,0,5,0,1,0,부산,10.7,0,41,,,5-15,8.253731343,0.671641791,0.552238806,7.507462687,1.044776119,0.895522388
4.11,한화 이글스,7,0,0,9,1,0,0,대전,16.4,0,64,,,15-25,8.988864143,0.750556793,0.614699332,7.416481069,0.79064588,0.739420935
4.12,한화 이글스,17,0,1,8,3,1,1,대전,13.9,0,29,,,25-35,9.590339893,0.844364937,0.610017889,6.980322004,0.871198569,0.66726297
4.13,한화 이글스,2,0,0,10,0,1,0,인천,9.5,0,69,,,35-45,10,0.8,0.4,7,0.8,0.4
4.14,한화 이글스,5,0,1,6,1,0,0,인천,11,0,77,,,총합계,9.259259259,0.794444444,0.607407407,7.194444444,0.848148148,0.710185185
4.15,한화 이글스,9,1,1,8,2,0,0,인천,13.8,0,52,,,,,,,,,
4.17,한화 이글스,11,1,2,6,2,1,1,대전,20.4,0,18,,,,,,,,,
4.18,한화 이글스,6,0,1,5,0,2,0,대전,22.3,0,23,,,,,,,,,
4.19,한화 이글스,8,1,0,3,1,0,0,대전,17.6,0,34,,,,,,,,,
4.2,한화 이글스,9,1,1,5,1,1,0,대전,19.5,0,45,,,,,,,,,
4.22,한화 이글스,10,2,1,6,3,0,0,대전,10.6,0,78,,,,,,,,,
4.24,한화 이글스,18,1,0,8,0,2,1,광주,23.6,0,46,,,,,,,,,
4.26,한화 이글스,13,0,0,3,1,0,1,광주,16.1,0,28,,,,,,,,,
4.27,한화 이글스,9,0,1,5,2,2,0,대전,21.8,0,22,,,,,,,,,
4.28,한화 이글스,6,0,0,9,0,0,0,대전,24.7,0,20,,,,,,,,,
4.29,한화 이글스,12,2,0,2,0,0,1,대전,20.2,0,42,,,,,,,,,
5.1,한화 이글스,9,0,0,3,2,0,0,서울,26.6,0,31,,,,,,,,,
5.2,한화 이글스,8,1,1,4,4,3,0,서울,25.5,0,43,,,,,,,,,
5.3,한화 이글스,6,0,0,3,1,0,1,서울,23.3,0,39,,,,,,,,,
5.4,한화 이글스,11,0,1,7,0,0,1,대구,28,0,24,,,,,,,,,
