day_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,game_location,기온(°C),강수량(mm),습도(%),,,,지점명,일시,기온(°C),강수량(mm),습도(%)
7.1,KIA 타이거즈,9,0,3,8,1,0,승,대전,,,,,,,서울,4.1,7,,28
7.1,한화 이글스,7,0,0,6,2,2,패,대전,,,,,,,서울,4.2,8.2,2.5,90
7.1,LG 트윈스,9,1,0,6,0,1,승,인천,,,,,,,서울,4.3,5.5,,31
7.1,SK 와이번스,12,2,0,2,2,0,패,인천,,,,,,,서울,4.4,9.1,,58
7.1,롯데 자이언츠,9,0,0,2,1,1,패,서울,,,,,,,서울,4.5,8.4,,21
7.1,두산 베어스,12,0,1,3,1,0,승,서울,,,,,,,서울,4.6,6.8,,27
7.1,키움 히어로즈,7,0,0,7,1,2,패,대구,,,,,,,서울,4.7,10.2,,23
7.1,삼성 라이온즈,6,0,1,5,0,0,승,대구,,,,,,,서울,4.8,13.7,,50
7.3,한화 이글스,4,0,1,14,0,0,패,서울,,,,,,,서울,4.9,21.1,,22
7.3,키움 히어로즈,7,1,1,8,0,1,승,서울,,,,,,,서울,4.10,12.8,0.5,88
7.3,두산 베어스,11,0,0,8,0,0,승,광주,,,,,,,서울,4.11,15.9,,52
7.3,KIA 타이거즈,9,0,0,5,1,1,패,광주,,,,,,,서울,4.12,10.3,,35
7.3,SK 와이번스,11,0,0,5,0,0,패,부산,,,,,,,서울,4.13,11.6,,50
7.3,롯데 자이언츠,10,1,0,2,0,0,승,부산,,,,,,,서울,4.14,14.9,,46
7.3,삼성 라이온즈,15,0,1,9,1,0,승,서울,,,,,,,서울,4.15,18,,35
7.3,LG 트윈스,11,0,2,12,1,0,패,서울,,,,,,,서울,4.16,15.4,,41
7.4,한화 이글스,8,3,0,12,1,2,패,서울,,,,,,,서울,4.17,18.3,,25
7.4,키움 히어로즈,11,1,3,6,0,0,승,서울,,,,,,,서울,4.18,19.6,,23
7.4,두산 베어스,4,0,0,3,1,1,패,광주,,,,,,,서울,4.19,19.2,,28
7.4,KIA 타이거즈,5,0,0,3,1,0,승,광주,,,,,,,서울,4.20,22.3,,32
7.4,SK 와이번스,10,2,1,8,0,1,패,부산,,,,,,,서울,4.21,9.7,6,90
7.4,롯데 자이언츠,11,0,1,5,0,0,승,부산,,,,,,,서울,4.22,8.1,0,92
7.4,삼성 라이온즈,7,0,0,6,0,0,승,서울,,,,,,,서울,4.23,16.7,,71
7.4,LG 트윈스,5,0,0,3,0,1,패,서울,,,,,,,서울,4.24,25.9,,33
7.7,KIA 타이거즈,7,1,2,8,2,1,패,서울,,,,,,,서울,4.25,13.4,0.5,90
7.7,키움 히어로즈,16,1,3,1,0,0,승,서울,,,,,,,서울,4.26,14.3,,34
7.7,두산 베어스,12,0,1,5,0,1,승,서울,,,,,,,서울,4.27,19.2,,16
7.7,LG 트윈스,10,1,2,10,0,1,패,서울,,,,,,,서울,4.28,18.4,,51
7.7,SK 와이번스,6,1,0,6,1,0,패,대전,,,,,,,서울,4.29,23.6,,47
7.7,한화 이글스,7,1,0,2,1,0,승,대전,,,,,,,서울,4.30,27.6,,24
7.7,삼성 라이온즈,5,0,0,5,0,1,패,부산,,,,,,,서울,5.1,26.6,,31
7.7,롯데 자이언츠,11,0,0,5,1,0,승,부산,,,,,,,서울,5.2,25.5,0,43
7.8,KIA 타이거즈,6,0,1,4,0,0,승,서울,,,,,,,서울,5.3,23.3,,39
7.8,키움 히어로즈,9,0,1,12,1,1,패,서울,,,,,,,서울,5.4,23,,32
7.8,두산 베어스,9,1,0,5,1,0,승,서울,,,,,,,서울,5.5,22.7,,15
