day_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,game_location,기온(°C),강수량(mm),습도(%),,,,
4.2화,KIA 타이거즈,8,0,2,5,1,1,승,광주,5.4,0,75,,,,
4.2화,한화 이글스,11,0,1,8,1,2,패,광주,5.4,0,75,,,,
4.2화,LG 트윈스,6,0,0,2,1,0,패,서울,7.7,0,78,,,,
4.2화,키움 히어로즈,4,1,0,4,3,1,승,서울,7.7,0,78,,,,
4.2화,롯데 자이언츠,11,1,3,5,0,2,승,부산,15.2,0,39,,,,
4.2화,NC 다이노스,4,0,2,7,2,2,패,부산,15.2,0,39,,,,
4.2화,SK 와이번스,4,1,0,6,1,0,패,인천,7.7,0,81,,,,
4.2화,두산 베어스,13,0,1,4,1,1,승,인천,7.7,0,81,,,,
4.3수,KIA 타이거즈,16,0,1,6,3,1,승,광주,14.2,0,28,,,,
4.3수,한화 이글스,5,0,0,3,3,0,패,광주,14.2,0,28,,,,
4.3수,LG 트윈스,16,1,4,5,1,1,승,서울,11.3,0,45,,,,
4.3수,키움 히어로즈,12,3,0,11,2,1,패,서울,11.3,0,45,,,,
4.3수,롯데 자이언츠,6,0,1,8,0,2,승,부산,15.3,0,45,,,,
4.3수,NC 다이노스,8,0,0,4,1,3,패,부산,15.3,0,45,,,,
4.3수,SK 와이번스,8,0,0,4,0,2,승,인천,8.3,0,73,,,,
4.3수,두산 베어스,3,0,1,7,1,1,패,인천,8.3,0,73,,,,
4.4목,KIA 타이거즈,17,0,3,16,0,0,승,광주,22.7,0,12,,,,
4.4목,한화 이글스,10,0,0,10,1,1,패,광주,22.7,0,12,,,,
4.4목,LG 트윈스,6,0,1,3,1,1,패,서울,18.1,0,26,,,,
4.4목,키움 히어로즈,7,1,2,6,0,1,승,서울,18.1,0,26,,,,
4.4목,롯데 자이언츠,8,0,3,3,0,0,승,부산,14.8,0,45,,,,
4.4목,NC 다이노스,6,0,1,9,1,3,패,부산,14.8,0,45,,,,
4.4목,SK 와이번스,11,0,2,6,2,1,승,인천,15.7,0,44,,,,
4.4목,두산 베어스,7,2,0,4,1,0,패,인천,15.7,0,44,,,,
4.5금,KIA 타이거즈,12,0,2,6,2,1,승,광주,18.4,0,60,,,,
4.5금,롯데 자이언츠,10,0,2,10,1,1,패,광주,18.4,0,60,,,,
4.5금,NC 다이노스,11,3,1,5,0,0,패,창원,14.6,0,62,,,,
4.5금,삼성 라이온즈,14,1,0,3,1,0,승,창원,14.6,0,62,,,,
4.5금,두산 베어스,6,1,1,5,1,2,패,서울,17.6,0,33,,,,
4.5금,LG 트윈스,13,0,2,8,0,0,승,서울,17.6,0,33,,,,
4.5금,키움 히어로즈,8,0,0,7,2,1,승,서울,17.6,0,33,,,,
4.5금,한화 이글스,10,0,0,7,0,0,패,서울,17.6,0,33,,,,
4.7일,KIA 타이거즈,7,0,0,8,0,0,승,광주,5.8,0,53,,,,
4.7일,롯데 자이언츠,10,1,0,4,2,0,패,광주,5.8,0,53,,,,
4.7일,NC 다이노스,7,0,0,8,1,0,패,창원,10.1,0,33,,,,
4.7일,삼성 라이온즈,7,0,2,5,0,0,승,창원,10.1,0,33,,,,
4.7일,두산 베어스,12,0,3,5,2,2,승,서울,8.1,0,44,,,,
4.7일,LG 트윈스,11,0,1,9,1,4,패,서울,8.1,0,44,,,,
4.7일,키움 히어로즈,10,0,1,4,0,0,승,서울,8.1,0,44,,,,
