일시,da,day_text,time_text,team_text,지점명,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text
2019-04-02 19:00,2019-04-02,2021-04-02,19:00,KIA 타이거즈,광주,7,0,1,9,0,2,승
2019-04-02 19:00,2019-04-02,2021-04-02,19:00,삼성 라이온즈,대구,6,0,1,8,1,0,패
2019-04-02 19:00,2019-04-02,2021-04-02,19:00,kt wiz,수원,5,0,0,3,3,2,패
2019-04-02 19:00,2019-04-02,2021-04-02,19:00,두산 베어스,서울,10,1,1,5,1,0,승
2019-04-02 19:00,2019-04-02,2021-04-02,19:00,LG 트윈스,서울,6,0,1,10,3,1,패
2019-04-02 19:00,2019-04-02,2021-04-02,19:00,한화 이글스,대전,6,1,1,6,0,1,승
2019-04-02 19:00,2019-04-02,2021-04-02,19:00,롯데 자이언츠,부산,10,1,1,7,0,0,승
2019-04-02 19:00,2019-04-02,2021-04-02,19:00,SK 와이번스,인천,7,0,1,9,0,1,패
2019-04-02 19:00,2019-04-02,2021-04-02,19:00,키움 히어로즈,서울,13,1,1,12,1,2,승
2019-04-02 19:00,2019-04-02,2021-04-02,19:00,NC 다이노스,창원,11,0,4,6,2,1,패
2019-04-03 19:00,2019-04-03,2021-04-03,19:00,KIA 타이거즈,광주,9,0,0,13,1,1,패
2019-04-03 19:00,2019-04-03,2021-04-03,19:00,삼성 라이온즈,대구,3,1,2,4,0,2,승
2019-04-03 19:00,2019-04-03,2021-04-03,19:00,kt wiz,수원,11,0,1,6,3,0,패
2019-04-03 19:00,2019-04-03,2021-04-03,19:00,두산 베어스,서울,6,1,0,6,0,0,승
2019-04-03 19:00,2019-04-03,2021-04-03,19:00,LG 트윈스,서울,11,1,2,8,0,0,승
2019-04-03 19:00,2019-04-03,2021-04-03,19:00,한화 이글스,대전,5,0,0,10,0,2,패
2019-04-03 19:00,2019-04-03,2021-04-03,19:00,롯데 자이언츠,부산,8,0,0,12,0,0,승
2019-04-03 19:00,2019-04-03,2021-04-03,19:00,SK 와이번스,인천,3,0,0,9,0,0,패
2019-04-03 19:00,2019-04-03,2021-04-03,19:00,키움 히어로즈,서울,8,0,1,4,2,2,패
2019-04-03 19:00,2019-04-03,2021-04-03,19:00,NC 다이노스,창원,19,2,1,9,0,0,승
2019-04-04 19:00,2019-04-04,2021-04-04,19:00,KIA 타이거즈,광주,8,1,2,6,0,0,패
2019-04-04 19:00,2019-04-04,2021-04-04,19:00,삼성 라이온즈,대구,14,3,1,6,0,2,승
2019-04-04 19:00,2019-04-04,2021-04-04,19:00,kt wiz,수원,8,1,0,8,1,0,패
2019-04-04 19:00,2019-04-04,2021-04-04,19:00,두산 베어스,서울,8,2,0,5,0,2,승
2019-04-04 19:00,2019-04-04,2021-04-04,19:00,LG 트윈스,서울,5,0,1,6,3,0,패
2019-04-04 19:00,2019-04-04,2021-04-04,19:00,한화 이글스,대전,6,0,2,9,1,1,승
2019-04-04 19:00,2019-04-04,2021-04-04,19:00,롯데 자이언츠,부산,12,1,0,13,1,0,패
2019-04-04 19:00,2019-04-04,2021-04-04,19:00,SK 와이번스,인천,14,3,0,7,0,0,승
2019-04-04 19:00,2019-04-04,2021-04-04,19:00,키움 히어로즈,서울,12,1,2,8,1,1,승
2019-04-04 19:00,2019-04-04,2021-04-04,19:00,NC 다이노스,창원,6,2,1,7,0,1,패
2019-04-05 19:00,2019-04-05,2021-04-05,19:00,한화 이글스,대전,11,1,0,7,2,2,패
2019-04-05 19:00,2019-04-05,2021-04-05,19:00,롯데 자이언츠,부산,12,2,0,7,0,0,승
2019-04-05 19:00,2019-04-05,2021-04-05,19:00,LG 트윈스,서울,16,1,1,5,1,1,승
2019-04-05 19:00,2019-04-05,2021-04-05,19:00,kt wiz,수원,2,0,0,10,1,1,패
2019-04-05 19:00,2019-04-05,2021-04-05,19:00,NC 다이노스,창원,10,4,0,3,1,0,승
2019-04-05 19:00,2019-04-05,2021-04-05,19:00,두산 베어스,서울,8,1,0,9,1,0,패
2019-04-05 19:00,2019-04-05,2021-04-05,19:00,삼성 라이온즈,대구,8,0,1,7,0,1,패
2019-04-05 19:00,2019-04-05,2021-04-05,19:00,SK 와이번스,인천,9,0,1,7,1,0,승
2019-04-05 19:00,2019-04-05,2021-04-05,19:00,키움 히어로즈,서울,11,1,1,11,1,2,패
2019-04-05 19:00,2019-04-05,2021-04-05,19:00,KIA 타이거즈,광주,11,1,0,9,1,0,승
2019-04-06 17:00,2019-04-06,2021-04-06,17:00,한화 이글스,대전,11,1,4,13,0,1,패
2019-04-06 17:00,2019-04-06,2021-04-06,17:00,롯데 자이언츠,부산,8,0,2,3,1,0,승
2019-04-06 17:00,2019-04-06,2021-04-06,17:00,LG 트윈스,서울,7,1,0,1,3,0,패
2019-04-06 17:00,2019-04-06,2021-04-06,17:00,kt wiz,수원,4,0,0,6,0,0,승
