day_text,time_text,team_text,location,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,temp,rain,wind,d_wind,humidity,atmosphere,surface
7.31금,19:00,KIA 타이거즈,광주,8,0,0,10,1,3,1,28.3,0,1.4,250,88,1005,28.7
7.31금,19:00,롯데 자이언츠,광주,6,0,0,5,3,1,0,28.3,0,1.4,250,88,1005,28.7
7.31금,19:00,두산 베어스,서울,14,1,2,8,1,0,0,27.4,0,1.8,230,82,1002.6,26.6
7.31금,19:00,NC 다이노스,서울,14,1,2,7,1,1,1,27.4,0,1.8,230,82,1002.6,26.6
7.31금,19:00,SK 와이번스,인천,4,1,0,5,1,0,0,25,0,2.7,250,95,1004.6,26.8
7.31금,19:00,kt wiz,인천,16,4,0,8,0,2,1,25,0,2.7,250,95,1004.6,26.8
7.31금,19:00,키움 히어로즈,서울,10,3,1,7,1,0,1,27.4,0,1.8,230,82,1002.6,26.6
7.31금,19:00,삼성 라이온즈,서울,8,0,0,5,0,1,0,27.4,0,1.8,230,82,1002.6,26.6
8.1토,18:00,한화 이글스,대전,8,1,1,8,0,2,0,25,2.3,2.3,160,97,1001.1,26.1
8.1토,18:00,LG 트윈스,대전,15,0,0,7,0,0,1,25,2.3,2.3,160,97,1001.1,26.1
8.1토,18:00,KIA 타이거즈,광주,9,1,0,9,1,3,0,24.5,0,0.1,0,98,1002.5,28.4
8.1토,18:00,롯데 자이언츠,광주,10,2,0,3,2,0,1,24.5,0,0.1,0,98,1002.5,28.4
8.1토,18:00,두산 베어스,서울,17,0,2,9,1,1,1,26.4,0,2.2,160,84,998,26.9
8.1토,18:00,NC 다이노스,서울,15,2,2,8,0,1,0,26.4,0,2.2,160,84,998,26.9
8.1토,18:00,SK 와이번스,인천,6,0,0,5,1,1,0,25.5,0,4.4,200,83,999.4,26.7
8.1토,18:00,kt wiz,인천,13,3,0,2,2,0,1,25.5,0,4.4,200,83,999.4,26.7
8.1토,18:00,키움 히어로즈,서울,23,1,1,6,0,1,1,26.4,0,2.2,160,84,998,26.9
8.1토,18:00,삼성 라이온즈,서울,8,0,0,8,0,1,0,26.4,0,2.2,160,84,998,26.9
8.2일,17:00,KIA 타이거즈,광주,4,0,0,10,1,2,0,28.6,0,5.8,200,85,1000.8,30.2
8.2일,17:00,롯데 자이언츠,광주,11,0,0,6,2,0,1,28.6,0,5.8,200,85,1000.8,30.2
8.2일,17:00,두산 베어스,서울,15,0,2,8,2,0,1,23.7,3.2,2.9,180,96,998.2,24.1
8.2일,17:00,NC 다이노스,서울,8,2,0,10,1,1,0,23.7,3.2,2.9,180,96,998.2,24.1
8.2일,17:00,키움 히어로즈,서울,10,0,0,4,2,1,1,23.7,3.2,2.9,180,96,998.2,24.1
8.2일,17:00,삼성 라이온즈,서울,10,1,1,8,0,1,0,23.7,3.2,2.9,180,96,998.2,24.1
8.4화,19:00,kt wiz,수원,11,0,1,9,3,0,1,29,0,1.8,270,81,1006,27.3
8.4화,19:00,키움 히어로즈,수원,10,1,0,7,2,1,0,29,0,1.8,270,81,1006,27.3
8.4화,19:00,LG 트윈스,서울,16,3,0,9,1,1,1,27.9,0,2.9,230,83,1000.8,26.8
8.4화,19:00,KIA 타이거즈,서울,8,1,0,10,0,0,0,27.9,0,2.9,230,83,1000.8,26.8
8.4화,19:00,롯데 자이언츠,부산,15,1,0,2,1,0,1,27,0,5.2,230,88,1004.6,29.7
8.4화,19:00,SK 와이번스,부산,6,0,0,6,1,0,0,27,0,5.2,230,88,1004.6,29.7
8.4화,19:00,삼성 라이온즈,대구,7,1,1,10,0,1,1,29.9,0,2.8,160,67,1005.5,32.4
8.4화,19:00,두산 베어스,대구,9,1,0,4,0,0,0,29.9,0,2.8,160,67,1005.5,32.4
8.5수,19:00,kt wiz,수원,10,1,0,3,1,2,0,28.3,0,3.2,140,85,1005.1,27
8.5수,19:00,키움 히어로즈,수원,15,1,0,7,0,2,1,28.3,0,3.2,140,85,1005.1,27
8.5수,19:00,LG 트윈스,서울,11,2,0,10,2,0,1,27,0.3,2.8,50,92,1000,27.6
8.5수,19:00,KIA 타이거즈,서울,9,0,1,11,0,0,0,27,0.3,2.8,50,92,1000,27.6
8.5수,19:00,NC 다이노스,창원,6,0,0,4,1,2,0,28.1,0,2,160,79,1008.6,27.8
8.5수,19:00,한화 이글스,창원,12,1,0,5,2,0,1,28.1,0,2,160,79,1008.6,27.8
8.5수,19:00,삼성 라이온즈,대구,12,0,1,4,1,3,0,29.3,0,2.9,160,67,1005.9,31.3
8.5수,19:00,두산 베어스,대구,4,0,1,4,0,1,0,29.3,0,2.9,160,67,1005.9,31.3
8.6목,19:00,kt wiz,수원,4,1,1,9,0,0,0,24.4,0,1.1,250,89,1002.6,25
8.6목,19:00,키움 히어로즈,수원,7,1,1,4,1,1,1,24.4,0,1.1,250,89,1002.6,25
8.6목,19:00,LG 트윈스,서울,4,0,0,7,0,0,0,24.9,0,2.7,230,85,997,24.9
8.6목,19:00,KIA 타이거즈,서울,12,4,2,8,1,0,1,24.9,0,2.7,230,85,997,24.9
8.6목,19:00,롯데 자이언츠,부산,6,2,0,6,0,0,1,26.5,0,7.1,200,85,999.8,26.1
8.6목,19:00,SK 와이번스,부산,8,1,0,8,1,1,0,26.5,0,7.1,200,85,999.8,26.1
8.6목,19:00,NC 다이노스,창원,8,2,0,4,1,0,1,26.3,0,1.6,180,86,1003.5,27.2
8.6목,19:00,한화 이글스,창원,5,0,0,6,1,0,0,26.3,0,1.6,180,86,1003.5,27.2
8.6목,19:00,삼성 라이온즈,대구,11,0,3,7,0,1,0,29.3,0,3.6,290,70,1000.3,27.6
8.6목,19:00,두산 베어스,대구,7,0,0,7,0,0,1,29.3,0,3.6,290,70,1000.3,27.6
8.7금,19:00,LG 트윈스,서울,10,1,0,10,1,0,1,25.5,0,1.6,20,76,995.5,25.2
8.7금,19:00,키움 히어로즈,서울,6,0,0,8,0,3,0,25.5,0,1.6,20,76,995.5,25.2
8.7금,19:00,롯데 자이언츠,부산,12,2,0,6,1,0,1,24.7,15.7,4.1,270,96,997.8,25.6
