day_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,game_location,기온(°C),강수량(mm),습도(%),,,,,
6.1,한화 이글스,14,0,3,4,2,0,승,서울,24.9,0,28,,,,,
6.1,LG 트윈스,7,0,0,7,1,2,패,서울,24.9,0,28,,,,,
6.1,KIA 타이거즈,3,0,0,4,0,0,패,인천,22.4,0,59,,,,,
6.1,SK 와이번스,4,1,2,3,0,0,승,인천,22.4,0,59,,,,,
6.1,두산 베어스,6,2,0,4,0,0,승,대구,23.4,0,52,,,,,
6.1,삼성 라이온즈,3,0,1,9,0,0,패,대구,23.4,0,52,,,,,
6.1,키움 히어로즈,8,1,0,7,1,2,패,부산,20.6,0,61,,,,,
6.1,롯데 자이언츠,9,1,3,4,2,1,승,부산,20.6,0,61,,,,,
6.2,한화 이글스,11,2,1,4,1,1,패,서울,25.5,0,41,,,,,
6.2,LG 트윈스,8,1,2,2,1,2,승,서울,25.5,0,41,,,,,
6.2,KIA 타이거즈,3,0,0,7,1,0,패,인천,23.6,0,49,,,,,
6.2,SK 와이번스,4,0,0,5,0,0,승,인천,23.6,0,49,,,,,
6.2,두산 베어스,11,1,1,6,1,1,패,대구,23.7,0,48,,,,,
6.2,삼성 라이온즈,13,4,1,0,0,1,승,대구,23.7,0,48,,,,,
6.2,키움 히어로즈,4,0,0,5,2,0,패,부산,21.3,0,59,,,,,
6.2,롯데 자이언츠,12,3,0,7,1,0,승,부산,21.3,0,59,,,,,
6.3,한화 이글스,10,1,1,10,1,0,무,서울,26.9,0,25,,,,,
6.3,LG 트윈스,14,0,4,10,3,1,무,서울,26.9,0,25,,,,,
6.3,KIA 타이거즈,14,0,0,4,4,2,승,인천,24.8,0,43,,,,,
6.3,SK 와이번스,8,0,0,5,1,0,패,인천,24.8,0,43,,,,,
6.3,두산 베어스,9,0,1,5,1,0,승,대구,28.6,0,30,,,,,
6.3,삼성 라이온즈,6,0,0,5,0,3,패,대구,28.6,0,30,,,,,
6.3,키움 히어로즈,7,1,3,4,1,0,승,부산,21.2,0,67,,,,,
6.3,롯데 자이언츠,10,0,1,5,1,2,패,부산,21.2,0,67,,,,,
6.5,LG 트윈스,7,1,1,5,2,0,승,서울,24.2,0,57,,,,,
6.5,키움 히어로즈,7,0,1,7,1,0,패,서울,24.2,0,57,,,,,
6.5,롯데 자이언츠,8,1,1,9,2,3,패,대전,28.7,0,48,,,,,
6.5,한화 이글스,10,1,0,6,0,0,승,대전,28.7,0,48,,,,,
6.5,SK 와이번스,9,1,1,6,0,0,승,서울,24.2,0,57,,,,,
6.5,두산 베어스,8,0,0,5,1,1,패,서울,24.2,0,57,,,,,
6.5,삼성 라이온즈,13,1,0,0,2,0,승,광주,26.4,0,56,,,,,
6.5,KIA 타이거즈,7,0,1,11,0,0,패,광주,26.4,0,56,,,,,
6.6,롯데 자이언츠,4,0,0,9,0,0,패,대전,25.9,0,59,,,,,
6.6,한화 이글스,5,0,1,5,0,0,승,대전,25.9,0,59,,,,,
6.6,SK 와이번스,4,0,0,14,0,0,패,서울,25.2,0,49,,,,,
6.6,두산 베어스,11,0,1,4,1,0,승,서울,25.2,0,49,,,,,
6.6,삼성 라이온즈,15,2,1,6,0,0,승,광주,23.9,0,65,,,,,
6.6,KIA 타이거즈,7,0,1,6,0,0,패,광주,23.9,0,65,,,,,
6.6,LG 트윈스,4,1,0,4,1,0,패,서울,25.2,0,49,,,,,
6.6,키움 히어로즈,6,2,2,3,0,0,승,서울,25.2,0,49,,,,,
6.7,LG 트윈스,8,2,1,11,0,2,승,서울,26.3,0,51,,,,,
6.7,키움 히어로즈,9,1,2,7,2,0,패,서울,26.3,0,51,,,,,
6.7,롯데 자이언츠,11,1,1,7,3,0,승,대전,28.1,0,42,,,,,
6.7,한화 이글스,11,1,1,7,1,0,패,대전,28.1,0,42,,,,,
6.7,SK 와이번스,12,1,0,6,1,0,승,서울,26.3,0,51,,,,,
6.7,두산 베어스,5,0,0,4,1,0,패,서울,26.3,0,51,,,,,
6.7,삼성 라이온즈,8,0,2,6,0,1,패,광주,28.6,0,41,,,,,
6.7,KIA 타이거즈,8,0,1,3,1,0,승,광주,28.6,0,41,,,,,
6.8,삼성 라이온즈,6,1,2,9,2,1,패,인천,22.6,0,74,,,,,
6.8,SK 와이번스,8,2,1,7,1,0,승,인천,22.6,0,74,,,,,
6.9,KIA 타이거즈,11,1,2,11,0,0,승,부산,22.5,0,68,,,,,
6.9,롯데 자이언츠,6,0,1,7,0,1,패,부산,22.5,0,68,,,,,
6.9,두산 베어스,7,0,0,3,1,1,패,서울,27.3,0,47,,,,,
6.9,LG 트윈스,12,0,2,7,0,1,승,서울,27.3,0,47,,,,,
6.9,삼성 라이온즈,12,0,2,5,2,1,승,인천,25.3,0,62,,,,,
6.9,SK 와이번스,9,0,0,6,0,3,패,인천,25.3,0,62,,,,,
6.9,키움 히어로즈,11,0,2,3,0,0,승,대전,27.9,0,53,,,,,
6.9,한화 이글스,6,1,0,7,1,1,패,대전,27.9,0,53,,,,,
6.10,KIA 타이거즈,10,0,0,9,1,0,패,부산,22.6,0,66,,,,,
