day_text,day_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,,지점명,,기온(°C),강수량(mm),습도(%),,,,,지점,지점명,일시,기온(°C),강수량(mm),습도(%)
4.1,4.1화,NC 다이노스,6,0,0,9,0,2,패,0,광주,2014-04-01,19.0 ,0,33,,,,,108,서울,2014-04-01,19.2,,25
4.1,4.1화,KIA 타이거즈,4,0,0,8,0,0,승,1,광주,2014-04-01,19.0 ,0,33,,,,,108,서울,2014-04-02,18.7,,21
4.1,4.1화,두산 베어스,3,0,3,4,0,0,패,0,서울,2014-04-01,19.2 ,0,25,,,,,108,서울,2014-04-03,10.1,,61
4.1,4.1화,키움 히어로즈,13,2,0,8,1,1,승,1,서울,2014-04-01,19.2 ,0,25,,,,,108,서울,2014-04-04,8.5,,37
4.1,4.1화,SK 와이번스,15,0,3,7,0,2,승,0,서울,2014-04-01,19.2 ,0,25,,,,,108,서울,2014-04-05,6.5,0,71
4.1,4.1화,LG 트윈스,10,2,2,9,2,2,패,1,서울,2014-04-01,19.2 ,0,25,,,,,108,서울,2014-04-06,10.7,,39
4.1,4.1화,삼성 라이온즈,10,2,0,6,0,0,승,0,대전,2014-04-01,21.4 ,0,25,,,,,108,서울,2014-04-07,13.4,,54
4.1,4.1화,한화 이글스,9,1,1,7,1,0,패,1,대전,2014-04-01,21.4 ,0,25,,,,,108,서울,2014-04-08,17.2,,27
4.2,4.2수,NC 다이노스,12,1,5,1,2,1,승,0,광주,2014-04-02,20.2 ,0,26,,,,,108,서울,2014-04-09,13.1,,75
4.2,4.2수,KIA 타이거즈,9,1,2,8,0,0,패,1,광주,2014-04-02,20.2 ,0,26,,,,,108,서울,2014-04-10,17.6,,56
4.2,4.2수,두산 베어스,15,3,0,5,0,0,승,0,서울,2014-04-02,18.7 ,0,21,,,,,108,서울,2014-04-11,15.7,,67
4.2,4.2수,키움 히어로즈,10,2,0,3,1,2,패,1,서울,2014-04-02,18.7 ,0,21,,,,,108,서울,2014-04-12,15.6,,64
4.2,4.2수,SK 와이번스,8,0,0,7,0,3,패,0,서울,2014-04-02,18.7 ,0,21,,,,,108,서울,2014-04-13,19.7,,48
4.2,4.2수,LG 트윈스,11,0,4,3,0,0,승,1,서울,2014-04-02,18.7 ,0,21,,,,,108,서울,2014-04-14,19.3,,40
4.2,4.2수,삼성 라이온즈,10,1,2,2,1,2,패,0,대전,2014-04-02,22.1 ,0,29,,,,,108,서울,2014-04-15,15.7,,71
4.2,4.2수,한화 이글스,14,3,0,6,2,0,승,1,대전,2014-04-02,22.1 ,0,29,,,,,108,서울,2014-04-16,18.6,,63
4.3,4.3목,NC 다이노스,11,2,1,4,0,1,승,0,광주,2014-04-03,11.8 ,0,65,,,,,108,서울,2014-04-17,19.2,,37
4.3,4.3목,KIA 타이거즈,9,1,1,8,2,0,패,1,광주,2014-04-03,11.8 ,0,65,,,,,108,서울,2014-04-18,19.6,,41
4.3,4.3목,두산 베어스,6,0,2,8,0,1,패,0,서울,2014-04-03,10.1 ,0,61,,,,,108,서울,2014-04-19,15.7,,51
4.3,4.3목,키움 히어로즈,8,0,1,7,2,0,승,1,서울,2014-04-03,10.1 ,0,61,,,,,108,서울,2014-04-20,16.9,,46
4.3,4.3목,SK 와이번스,10,2,2,5,0,1,승,0,서울,2014-04-03,10.1 ,0,61,,,,,108,서울,2014-04-21,18.3,,34
4.3,4.3목,LG 트윈스,10,2,0,8,1,2,패,1,서울,2014-04-03,10.1 ,0,61,,,,,108,서울,2014-04-22,20.4,,24
4.4,4.4금,한화 이글스,7,1,0,8,0,4,패,0,인천,2014-04-04,7.3 ,0,56,,,,,108,서울,2014-04-23,22.8,,32
4.4,4.4금,SK 와이번스,14,2,1,5,2,1,승,1,인천,2014-04-04,7.3 ,0,56,,,,,108,서울,2014-04-24,23.2,,22
4.4,4.4금,KIA 타이거즈,12,0,4,9,0,0,승,0,서울,2014-04-04,8.5 ,0,37,,,,,108,서울,2014-04-25,23.1,,22
4.4,4.4금,두산 베어스,6,0,0,5,1,1,패,1,서울,2014-04-04,8.5 ,0,37,,,,,108,서울,2014-04-26,20.6,,35
4.4,4.4금,삼성 라이온즈,8,0,0,5,2,0,패,0,부산,2014-04-04,11.2 ,0,46,,,,,108,서울,2014-04-27,16.9,0,70
4.4,4.4금,롯데 자이언츠,7,0,0,5,1,0,승,1,부산,2014-04-04,11.2 ,0,46,,,,,108,서울,2014-04-28,14.9,0,78
