day_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text
5.1목,LG 트윈스,8,1,2,5,1,4,패
5.1목,NC 다이노스,12,0,1,4,1,1,승
5.1목,롯데 자이언츠,7,0,1,8,0,0,패
5.1목,한화 이글스,8,0,0,7,0,1,승
5.1목,SK 와이번스,10,0,1,8,2,8,패
5.1목,KIA 타이거즈,21,1,2,3,0,0,승
5.1목,키움 히어로즈,8,1,0,10,0,0,승
5.1목,두산 베어스,8,1,2,5,1,0,패
5.3토,롯데 자이언츠,11,0,3,9,1,1,승
5.3토,SK 와이번스,13,1,2,9,1,0,패
5.3토,NC 다이노스,13,0,2,6,0,0,승
5.3토,삼성 라이온즈,8,0,0,6,0,1,패
5.3토,두산 베어스,7,1,0,5,0,0,승
5.3토,LG 트윈스,7,1,0,5,0,1,패
5.3토,키움 히어로즈,7,1,1,5,2,1,승
5.3토,KIA 타이거즈,10,0,4,6,1,0,패
5.4일,롯데 자이언츠,18,4,2,5,1,0,승
5.4일,SK 와이번스,6,1,0,6,0,2,패
5.4일,NC 다이노스,8,0,0,6,1,0,패
5.4일,삼성 라이온즈,9,0,3,2,1,0,승
5.4일,두산 베어스,2,0,0,7,0,0,패
5.4일,LG 트윈스,15,0,1,5,0,1,승
5.4일,키움 히어로즈,14,3,1,3,0,2,패
5.4일,KIA 타이거즈,14,1,1,6,2,2,승
5.5월,롯데 자이언츠,9,1,1,11,1,0,패
5.5월,SK 와이번스,12,1,3,10,2,2,승
5.5월,NC 다이노스,9,0,2,4,0,1,패
5.5월,삼성 라이온즈,5,0,2,6,1,0,승
5.5월,두산 베어스,14,0,1,5,2,1,승
5.5월,LG 트윈스,8,0,0,4,1,0,패
5.5월,키움 히어로즈,14,3,3,7,2,0,승
5.5월,KIA 타이거즈,14,1,0,6,0,2,패
5.6화,한화 이글스,10,0,2,5,2,1,패
5.6화,LG 트윈스,15,0,1,7,0,2,승
5.6화,NC 다이노스,13,1,3,9,2,0,승
5.6화,키움 히어로즈,7,1,0,6,1,0,패
5.6화,두산 베어스,16,0,0,7,1,0,패
5.6화,롯데 자이언츠,24,2,0,4,1,1,승
5.6화,삼성 라이온즈,14,0,2,5,0,1,승
5.6화,SK 와이번스,8,1,1,8,0,1,패
5.7수,한화 이글스,15,1,2,7,0,1,승
5.7수,LG 트윈스,9,0,3,8,0,1,패
5.7수,NC 다이노스,21,6,0,5,1,0,승
5.7수,키움 히어로즈,6,2,0,8,0,0,패
5.7수,두산 베어스,11,2,0,11,1,0,패
5.7수,롯데 자이언츠,12,0,1,9,0,0,승
5.7수,삼성 라이온즈,6,0,0,8,0,0,승
5.7수,SK 와이번스,9,1,1,7,2,1,패
5.8목,한화 이글스,11,1,0,5,1,0,승
5.8목,LG 트윈스,7,0,0,5,3,0,패
5.8목,NC 다이노스,8,0,0,9,0,0,패
5.8목,키움 히어로즈,8,2,1,7,1,1,승
5.8목,두산 베어스,20,6,0,1,3,1,승
5.8목,롯데 자이언츠,11,0,2,8,2,1,패
5.8목,삼성 라이온즈,6,2,1,7,0,0,승
5.8목,SK 와이번스,3,0,1,11,1,0,패
5.9금,KIA 타이거즈,9,2,0,9,0,0,승
5.9금,한화 이글스,7,0,3,12,0,1,패
5.9금,LG 트윈스,10,0,1,4,1,2,패
5.9금,키움 히어로즈,9,1,2,8,0,1,승
5.9금,롯데 자이언츠,9,1,1,9,0,0,승
5.9금,NC 다이노스,4,0,0,12,0,2,패
5.9금,삼성 라이온즈,17,4,0,1,0,0,승
5.9금,두산 베어스,9,0,0,4,1,0,패
5.10토,KIA 타이거즈,18,2,2,5,1,0,승
5.10토,한화 이글스,9,1,0,3,0,0,패
5.10토,LG 트윈스,11,0,2,9,1,1,승
5.10토,키움 히어로즈,7,0,1,6,0,2,패
5.10토,롯데 자이언츠,6,1,1,5,1,1,패
5.10토,NC 다이노스,8,1,1,10,0,1,승
5.10토,삼성 라이온즈,5,0,1,4,2,2,패
5.10토,두산 베어스,15,1,2,5,2,1,승
5.11일,KIA 타이거즈,9,1,0,4,0,1,승
5.11일,한화 이글스,6,0,3,6,2,1,패
5.11일,LG 트윈스,4,0,0,6,1,0,패
5.11일,키움 히어로즈,12,3,1,2,2,0,승
5.11일,롯데 자이언츠,6,0,0,4,1,2,패
5.11일,NC 다이노스,12,1,0,4,0,0,승
5.11일,삼성 라이온즈,3,0,1,4,0,1,패
5.11일,두산 베어스,13,2,0,5,1,0,승
5.13화,한화 이글스,7,0,0,7,2,1,패
5.13화,삼성 라이온즈,13,2,4,2,0,0,승
5.13화,KIA 타이거즈,7,1,1,7,0,2,패
5.13화,NC 다이노스,7,1,1,4,3,1,승
5.13화,롯데 자이언츠,6,0,1,7,0,1,패
5.13화,LG 트윈스,7,1,0,2,1,0,승
5.13화,두산 베어스,13,1,3,9,0,0,승
5.13화,SK 와이번스,10,3,0,7,0,1,패
5.14수,한화 이글스,7,0,2,11,1,0,패
5.14수,삼성 라이온즈,11,0,1,5,1,1,승
5.14수,KIA 타이거즈,12,0,2,8,1,2,패
5.14수,NC 다이노스,10,2,3,6,0,0,승
5.14수,롯데 자이언츠,9,0,0,6,0,0,패
5.14수,LG 트윈스,6,0,1,7,1,0,승
5.14수,두산 베어스,15,3,0,7,0,0,승
5.14수,SK 와이번스,5,0,2,11,1,1,패
5.15목,한화 이글스,10,0,0,15,0,0,무
5.15목,삼성 라이온즈,9,1,0,5,1,0,무
5.15목,KIA 타이거즈,8,4,2,5,0,1,승
5.15목,NC 다이노스,10,1,0,14,0,1,패
5.15목,롯데 자이언츠,14,0,0,9,0,0,승
5.15목,LG 트윈스,10,1,0,4,1,1,패
5.15목,두산 베어스,14,1,1,8,0,1,승
5.15목,SK 와이번스,4,0,1,7,0,3,패
5.16금,NC 다이노스,5,0,0,8,0,0,패
5.16금,두산 베어스,13,3,1,9,0,2,승
5.16금,SK 와이번스,7,1,2,8,1,2,패
5.16금,한화 이글스,10,0,1,6,1,0,승
5.16금,삼성 라이온즈,6,2,1,5,1,0,승
5.16금,KIA 타이거즈,6,0,3,8,0,0,패
5.16금,키움 히어로즈,7,1,2,6,2,1,패
5.16금,롯데 자이언츠,12,0,0,7,1,0,승
5.17토,NC 다이노스,4,0,1,2,0,0,패
5.17토,두산 베어스,11,0,1,2,2,2,승
5.17토,SK 와이번스,16,0,6,6,0,1,승
5.17토,한화 이글스,10,1,0,8,1,1,패
5.17토,삼성 라이온즈,18,3,0,6,2,3,승
5.17토,KIA 타이거즈,11,1,1,8,0,2,패
5.17토,키움 히어로즈,13,0,0,3,0,1,승
5.17토,롯데 자이언츠,8,1,0,7,0,5,패
5.18일,NC 다이노스,14,2,0,7,1,1,승
5.18일,두산 베어스,10,2,0,2,0,1,패
5.18일,SK 와이번스,12,0,0,5,1,0,패
5.18일,한화 이글스,13,0,0,3,1,0,승
5.18일,삼성 라이온즈,16,1,2,6,0,0,승
5.18일,KIA 타이거즈,6,0,0,4,0,1,패
5.18일,키움 히어로즈,11,1,0,10,0,3,패
5.18일,롯데 자이언츠,12,2,0,3,1,0,승
5.20화,한화 이글스,4,1,1,2,2,2,패
5.20화,키움 히어로즈,8,2,0,3,2,0,승
5.20화,LG 트윈스,7,1,1,6,1,1,패
5.20화,KIA 타이거즈,12,4,1,3,0,2,승
5.20화,롯데 자이언츠,8,0,0,12,0,1,패
5.20화,삼성 라이온즈,9,1,0,2,0,2,승
5.20화,SK 와이번스,7,1,0,1,1,0,패
5.20화,NC 다이노스,9,2,1,7,0,0,승
5.21수,한화 이글스,15,2,1,8,2,1,승
5.21수,키움 히어로즈,11,1,0,8,1,1,패
5.21수,LG 트윈스,8,1,2,10,0,0,승
5.21수,KIA 타이거즈,8,0,0,7,1,1,패
