day_text,,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,,지점명,,,,,,,,지점,지점명,일시,기온(°C),강수량(mm),습도(%)
5.1목,5.1,LG 트윈스,8,1,2,5,1,4,패,0,창원,,,,,,,,108,서울,4.1,19.2,,25
5.1목,5.1,NC 다이노스,12,0,1,4,1,1,승,1,창원,,,,,,,,108,서울,4.2,18.7,,21
5.1목,5.1,롯데 자이언츠,7,0,1,8,0,0,패,0,대전,,,,,,,,108,서울,4.3,10.1,,61
5.1목,5.1,한화 이글스,8,0,0,7,0,1,승,1,대전,,,,,,,,108,서울,4.4,8.5,,37
5.1목,5.1,SK 와이번스,10,0,1,8,2,8,패,0,광주,,,,,,,,108,서울,4.5,6.5,0,71
5.1목,5.1,KIA 타이거즈,21,1,2,3,0,0,승,1,광주,,,,,,,,108,서울,4.6,10.7,,39
5.1목,5.1,키움 히어로즈,8,1,0,10,0,0,승,0,서울,,,,,,,,108,서울,4.7,13.4,,54
5.1목,5.1,두산 베어스,8,1,2,5,1,0,패,1,서울,,,,,,,,108,서울,4.8,17.2,,27
5.3토,5.3,롯데 자이언츠,11,0,3,9,1,1,승,0,인천,,,,,,,,108,서울,4.9,13.1,,75
5.3토,5.3,SK 와이번스,13,1,2,9,1,0,패,1,인천,,,,,,,,108,서울,4.10,17.6,,56
5.3토,5.3,NC 다이노스,13,0,2,6,0,0,승,0,대구,,,,,,,,108,서울,4.11,15.7,,67
5.3토,5.3,삼성 라이온즈,8,0,0,6,0,1,패,1,대구,,,,,,,,108,서울,4.12,15.6,,64
5.3토,5.3,두산 베어스,7,1,0,5,0,0,승,0,서울,,,,,,,,108,서울,4.13,19.7,,48
5.3토,5.3,LG 트윈스,7,1,0,5,0,1,패,1,서울,,,,,,,,108,서울,4.14,19.3,,40
5.3토,5.3,키움 히어로즈,7,1,1,5,2,1,승,0,광주,,,,,,,,108,서울,4.15,15.7,,71
5.3토,5.3,KIA 타이거즈,10,0,4,6,1,0,패,1,광주,,,,,,,,108,서울,4.16,18.6,,63
5.4일,5.4,롯데 자이언츠,18,4,2,5,1,0,승,0,인천,,,,,,,,108,서울,4.17,19.2,,37
5.4일,5.4,SK 와이번스,6,1,0,6,0,2,패,1,인천,,,,,,,,108,서울,4.18,19.6,,41
5.4일,5.4,NC 다이노스,8,0,0,6,1,0,패,0,대구,,,,,,,,108,서울,4.19,15.7,,51
5.4일,5.4,삼성 라이온즈,9,0,3,2,1,0,승,1,대구,,,,,,,,108,서울,4.20,16.9,,46
5.4일,5.4,두산 베어스,2,0,0,7,0,0,패,0,서울,,,,,,,,108,서울,4.21,18.3,,34
5.4일,5.4,LG 트윈스,15,0,1,5,0,1,승,1,서울,,,,,,,,108,서울,4.22,20.4,,24
5.4일,5.4,키움 히어로즈,14,3,1,3,0,2,패,0,광주,,,,,,,,108,서울,4.23,22.8,,32
5.4일,5.4,KIA 타이거즈,14,1,1,6,2,2,승,1,광주,,,,,,,,108,서울,4.24,23.2,,22
5.5월,5.5,롯데 자이언츠,9,1,1,11,1,0,패,0,인천,,,,,,,,108,서울,4.25,23.1,,22
5.5월,5.5,SK 와이번스,12,1,3,10,2,2,승,1,인천,,,,,,,,108,서울,4.26,20.6,,35
5.5월,5.5,NC 다이노스,9,0,2,4,0,1,패,0,대구,,,,,,,,108,서울,4.27,16.9,0,70
5.5월,5.5,삼성 라이온즈,5,0,2,6,1,0,승,1,대구,,,,,,,,108,서울,4.28,14.9,0,78
5.5월,5.5,두산 베어스,14,0,1,5,2,1,승,0,서울,,,,,,,,108,서울,4.29,16.8,,62
5.5월,5.5,LG 트윈스,8,0,0,4,1,0,패,1,서울,,,,,,,,108,서울,4.30,19.8,,54
5.5월,5.5,키움 히어로즈,14,3,3,7,2,0,승,0,광주,,,,,,,,108,서울,5.1,20,,45
5.5월,5.5,KIA 타이거즈,14,1,0,6,0,2,패,1,광주,,,,,,,,108,서울,5.2,14.9,0,93
5.6화,5.6,한화 이글스,10,0,2,5,2,1,패,0,서울,,,,,,,,108,서울,5.3,17.1,,43
5.6화,5.6,LG 트윈스,15,0,1,7,0,2,승,1,서울,,,,,,,,108,서울,5.4,12.3,0.1,75
5.6화,5.6,NC 다이노스,13,1,3,9,2,0,승,0,서울,,,,,,,,108,서울,5.5,13.2,,42
5.6화,5.6,키움 히어로즈,7,1,0,6,1,0,패,1,서울,,,,,,,,108,서울,5.6,16.7,,29
5.6화,5.6,두산 베어스,16,0,0,7,1,0,패,0,부산,,,,,,,,108,서울,5.7,18.9,,37
5.6화,5.6,롯데 자이언츠,24,2,0,4,1,1,승,1,부산,,,,,,,,108,서울,5.8,16.1,,73
5.6화,5.6,삼성 라이온즈,14,0,2,5,0,1,승,0,인천,,,,,,,,108,서울,5.9,23,,31
5.6화,5.6,SK 와이번스,8,1,1,8,0,1,패,1,인천,,,,,,,,108,서울,5.10,25.8,,35
5.7수,5.7,한화 이글스,15,1,2,7,0,1,승,0,서울,,,,,,,,108,서울,5.11,21.1,0.3,59
5.7수,5.7,LG 트윈스,9,0,3,8,0,1,패,1,서울,,,,,,,,108,서울,5.12,19.3,,59
5.7수,5.7,NC 다이노스,21,6,0,5,1,0,승,0,서울,,,,,,,,108,서울,5.13,23.9,,46
5.7수,5.7,키움 히어로즈,6,2,0,8,0,0,패,1,서울,,,,,,,,108,서울,5.14,22.8,,45
