day_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,지점명,기온(°C),강수량(mm),습도(%),,,,
7.1화,한화 이글스,5,0,0,6,1,2,패,서울,30.4,0,56,,,,
7.1화,LG 트윈스,5,0,1,6,0,1,승,서울,30.4,0,56,,,,
7.1화,롯데 자이언츠,11,3,2,8,0,0,패,서울,30.4,0,56,,,,
7.1화,키움 히어로즈,13,3,0,6,1,1,승,서울,30.4,0,56,,,,
7.1화,두산 베어스,11,0,1,4,3,0,승,광주,27.9,0,51,,,,
7.1화,KIA 타이거즈,5,1,0,9,0,2,패,광주,27.9,0,51,,,,
7.1화,SK 와이번스,5,1,0,12,0,2,패,창원,25.8,0,72,,,,
7.1화,NC 다이노스,6,0,1,6,0,2,승,창원,25.8,0,72,,,,
7.2수,한화 이글스,6,0,0,3,2,1,패,서울,26.7,0,76,,,,
7.2수,LG 트윈스,7,0,1,7,0,1,승,서울,26.7,0,76,,,,
7.2수,롯데 자이언츠,7,1,0,4,0,1,패,서울,26.7,0,76,,,,
7.2수,키움 히어로즈,11,0,0,2,2,0,승,서울,26.7,0,76,,,,
7.3목,한화 이글스,9,1,0,8,2,1,패,서울,24,0,76,,,,
7.3목,LG 트윈스,13,1,1,8,0,0,승,서울,24,0,76,,,,
7.3목,롯데 자이언츠,12,2,0,4,0,2,패,서울,24,0,76,,,,
7.3목,키움 히어로즈,12,0,0,4,1,1,승,서울,24,0,76,,,,
7.3목,두산 베어스,7,2,0,8,0,2,패,광주,22,0,90,,,,
7.3목,KIA 타이거즈,8,2,1,5,1,0,승,광주,22,0,90,,,,
7.3목,SK 와이번스,11,1,0,7,1,1,패,창원,22.8,0,86,,,,
7.3목,NC 다이노스,14,1,1,9,0,3,승,창원,22.8,0,86,,,,
7.4금,KIA 타이거즈,15,2,1,11,2,0,승,서울,31.6,0,41,,,,
7.4금,키움 히어로즈,12,0,2,6,0,1,패,서울,31.6,0,41,,,,
7.4금,LG 트윈스,13,0,3,9,0,0,승,창원,24.6,0,75,,,,
7.4금,NC 다이노스,4,1,2,12,0,1,패,창원,24.6,0,75,,,,
7.4금,SK 와이번스,8,0,1,5,1,1,패,부산,23.9,0,81,,,,
7.4금,롯데 자이언츠,11,2,0,3,1,0,승,부산,23.9,0,81,,,,
7.4금,삼성 라이온즈,7,1,3,11,0,0,패,서울,31.6,0,41,,,,
7.4금,두산 베어스,11,1,1,6,2,0,승,서울,31.6,0,41,,,,
7.5토,KIA 타이거즈,11,0,1,11,1,2,패,서울,27.4,0,66,,,,
7.5토,키움 히어로즈,7,2,3,6,0,0,승,서울,27.4,0,66,,,,
7.5토,LG 트윈스,7,0,0,5,1,1,승,창원,23.7,0,77,,,,
7.5토,NC 다이노스,7,0,0,11,1,0,패,창원,23.7,0,77,,,,
7.5토,SK 와이번스,13,2,1,9,0,1,패,부산,23.5,0,77,,,,
7.5토,롯데 자이언츠,10,2,0,8,0,1,승,부산,23.5,0,77,,,,
7.5토,삼성 라이온즈,8,1,3,5,2,1,승,서울,27.4,0,66,,,,
7.5토,두산 베어스,6,0,0,8,0,1,패,서울,27.4,0,66,,,,
7.6일,KIA 타이거즈,8,1,2,6,0,0,패,서울,28.1,0,52,,,,
7.6일,키움 히어로즈,9,2,0,7,2,0,승,서울,28.1,0,52,,,,
7.6일,삼성 라이온즈,9,1,0,6,0,1,승,서울,28.1,0,52,,,,
7.6일,두산 베어스,6,0,0,5,1,1,패,서울,28.1,0,52,,,,
7.7월,LG 트윈스,9,0,0,4,3,0,패,창원,23.3,0,86,,,,
7.7월,NC 다이노스,8,0,2,6,0,1,승,창원,23.3,0,86,,,,
7.7월,SK 와이번스,15,1,3,9,0,1,승,부산,23.2,0,95,,,,
7.7월,롯데 자이언츠,11,0,0,11,3,1,패,부산,23.2,0,95,,,,
7.8화,KIA 타이거즈,18,3,0,7,2,0,승,인천,27.9,0,78,,,,
7.8화,SK 와이번스,9,0,1,7,0,0,패,인천,27.9,0,78,,,,
7.8화,롯데 자이언츠,5,0,0,5,1,0,패,대구,25.9,0.5,94,,,,
7.8화,삼성 라이온즈,6,1,0,5,1,1,승,대구,25.9,0.5,94,,,,
7.8화,두산 베어스,22,1,0,6,1,1,승,서울,29.1,0,61,,,,
7.8화,LG 트윈스,14,0,0,3,2,0,패,서울,29.1,0,61,,,,
7.8화,키움 히어로즈,15,4,0,4,2,0,승,대전,29.4,0,74,,,,
7.8화,한화 이글스,8,0,0,4,1,2,패,대전,29.4,0,74,,,,
7.9수,KIA 타이거즈,11,2,0,5,0,1,패,인천,26.8,0,91,,,,
7.9수,SK 와이번스,13,0,1,2,1,0,승,인천,26.8,0,91,,,,
7.9수,롯데 자이언츠,9,1,0,10,1,1,패,대구,28.8,0,72,,,,
7.9수,삼성 라이온즈,9,1,1,4,0,0,승,대구,28.8,0,72,,,,
7.9수,두산 베어스,8,0,0,3,2,0,패,서울,27.3,0,82,,,,
7.9수,LG 트윈스,10,0,0,4,2,1,승,서울,27.3,0,82,,,,
7.9수,키움 히어로즈,21,3,0,8,1,1,승,대전,28.3,0,80,,,,
