day_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,,,
8.1금,NC 다이노스,10,1,0,10,0,0,패,0,인천,
8.1금,SK 와이번스,18,2,0,6,0,0,승,1,인천,
8.1금,두산 베어스,9,0,3,6,0,1,패,0,대전,
8.1금,한화 이글스,14,1,1,8,2,0,승,1,대전,
8.1금,삼성 라이온즈,12,1,4,5,0,1,승,0,광주,
8.1금,KIA 타이거즈,14,0,1,7,1,1,패,1,광주,
8.1금,키움 히어로즈,5,0,0,5,2,1,패,0,서울,
8.1금,LG 트윈스,8,2,1,7,1,0,승,1,서울,
8.2토,NC 다이노스,5,0,0,9,0,1,패,0,인천,
8.2토,SK 와이번스,15,2,0,6,1,1,승,1,인천,
8.2토,키움 히어로즈,8,1,0,6,2,0,승,0,서울,
8.2토,LG 트윈스,6,0,0,6,2,1,패,1,서울,
8.3일,두산 베어스,6,1,0,8,0,0,패,0,대전,
8.3일,한화 이글스,10,1,1,7,1,0,승,1,대전,
8.4월,키움 히어로즈,8,2,0,9,1,2,패,0,서울,
8.4월,LG 트윈스,6,0,0,9,3,0,승,1,서울,
8.5화,KIA 타이거즈,8,1,1,5,0,0,패,0,서울,
8.5화,두산 베어스,11,0,0,5,1,0,승,1,서울,
8.5화,NC 다이노스,5,1,0,6,0,0,승,0,부산,
8.5화,롯데 자이언츠,8,0,0,11,0,1,패,1,부산,
8.5화,SK 와이번스,9,2,0,7,2,0,패,0,서울,
8.5화,키움 히어로즈,7,3,0,6,0,0,승,1,서울,
8.5화,삼성 라이온즈,19,5,1,8,1,0,승,0,대전,
8.5화,한화 이글스,9,0,0,12,0,0,패,1,대전,
8.6수,NC 다이노스,12,0,3,11,0,0,패,0,부산,
8.6수,롯데 자이언츠,15,3,0,3,3,1,승,1,부산,
8.6수,삼성 라이온즈,11,1,3,12,0,1,패,0,대전,
8.6수,한화 이글스,8,3,0,9,0,1,승,1,대전,
8.7목,KIA 타이거즈,9,0,2,8,1,1,패,0,인천,
8.7목,SK 와이번스,9,1,1,11,0,2,승,1,인천,
8.7목,LG 트윈스,12,2,1,13,0,3,승,0,창원,
8.7목,NC 다이노스,14,2,1,4,2,2,패,1,창원,
8.7목,키움 히어로즈,11,3,0,11,0,0,승,0,서울,
8.7목,두산 베어스,10,1,1,7,1,0,패,1,서울,
8.8금,KIA 타이거즈,9,0,2,8,0,0,승,0,인천,
8.8금,SK 와이번스,6,0,1,10,1,0,패,1,인천,
8.8금,LG 트윈스,12,2,1,6,0,1,승,0,창원,
8.8금,NC 다이노스,13,1,0,6,1,1,패,1,창원,
8.8금,롯데 자이언츠,12,3,0,8,0,1,패,0,대구,
8.8금,삼성 라이온즈,18,2,0,5,1,1,승,1,대구,
8.8금,키움 히어로즈,21,3,0,7,2,0,승,0,서울,
8.8금,두산 베어스,18,0,0,8,1,1,패,1,서울,
8.9토,한화 이글스,5,0,0,3,0,0,승,0,서울,
8.9토,LG 트윈스,7,0,0,5,1,0,패,1,서울,
8.9토,롯데 자이언츠,9,0,1,8,0,0,패,0,광주,
8.9토,KIA 타이거즈,9,2,0,7,2,0,승,1,광주,
8.9토,SK 와이번스,14,2,0,6,0,0,승,0,창원,
8.9토,NC 다이노스,11,2,1,6,2,1,패,1,창원,
8.9토,삼성 라이온즈,13,0,0,8,0,0,승,0,서울,
8.9토,키움 히어로즈,12,2,0,10,1,0,패,1,서울,
8.10일,롯데 자이언츠,5,2,0,10,0,0,패,0,광주,
8.10일,KIA 타이거즈,8,1,1,7,0,0,승,1,광주,
8.11월,한화 이글스,9,1,1,4,4,2,승,0,서울,
8.11월,LG 트윈스,7,0,0,7,2,1,패,1,서울,
8.11월,SK 와이번스,8,0,0,9,1,0,패,0,창원,
8.11월,NC 다이노스,13,2,1,7,0,0,승,1,창원,
8.11월,삼성 라이온즈,11,2,1,10,1,0,승,0,서울,
8.11월,키움 히어로즈,10,3,5,13,2,0,패,1,서울,
8.12화,NC 다이노스,6,1,0,7,1,2,패,0,광주,
8.12화,KIA 타이거즈,4,1,0,2,0,0,승,1,광주,
8.12화,두산 베어스,14,2,2,7,4,3,승,0,대전,
8.12화,한화 이글스,11,1,0,6,0,1,패,1,대전,
8.12화,SK 와이번스,12,0,1,4,3,0,승,0,서울,
8.12화,LG 트윈스,7,0,0,4,1,1,패,1,서울,
8.12화,키움 히어로즈,15,1,0,7,1,0,승,0,부산,
8.12화,롯데 자이언츠,9,0,0,5,1,1,패,1,부산,
8.13수,NC 다이노스,7,1,1,10,0,0,승,0,광주,
8.13수,KIA 타이거즈,5,0,1,5,2,1,패,1,광주,
8.13수,SK 와이번스,11,0,2,9,0,1,승,0,서울,
8.13수,LG 트윈스,6,1,0,4,1,0,패,1,서울,
8.13수,키움 히어로즈,11,1,1,8,1,0,승,0,부산,
8.13수,롯데 자이언츠,8,0,0,15,0,2,패,1,부산,
8.14목,롯데 자이언츠,10,1,0,8,1,0,승,0,대전,
8.14목,한화 이글스,13,1,0,6,1,1,패,1,대전,
8.14목,두산 베어스,8,1,0,8,0,0,패,0,서울,
8.14목,키움 히어로즈,13,3,0,10,1,0,승,1,서울,
8.14목,삼성 라이온즈,12,0,1,8,2,0,승,0,인천,
8.14목,SK 와이번스,8,0,0,8,2,0,패,1,인천,
8.15금,롯데 자이언츠,12,1,0,8,4,4,패,0,대전,
8.15금,한화 이글스,10,0,0,6,0,1,승,1,대전,
8.15금,NC 다이노스,6,0,0,6,0,0,패,0,서울,
8.15금,LG 트윈스,9,0,0,3,1,0,승,1,서울,
8.15금,두산 베어스,6,1,0,6,2,0,패,0,서울,
8.15금,키움 히어로즈,9,4,1,8,0,0,승,1,서울,
8.15금,삼성 라이온즈,7,3,2,7,1,1,패,0,인천,
8.15금,SK 와이번스,13,3,2,7,0,1,승,1,인천,
8.16토,한화 이글스,8,1,1,8,1,0,패,0,창원,
8.16토,NC 다이노스,9,0,0,4,0,0,승,1,창원,
8.16토,LG 트윈스,9,2,0,8,0,2,패,0,대구,
8.16토,삼성 라이온즈,16,1,2,5,0,0,승,1,대구,
8.16토,롯데 자이언츠,11,0,0,8,2,1,패,0,서울,
8.16토,두산 베어스,11,0,0,3,1,1,승,1,서울,
8.16토,키움 히어로즈,12,1,3,5,0,0,승,0,광주,
8.16토,KIA 타이거즈,16,0,1,7,2,0,패,1,광주,
8.17일,한화 이글스,4,1,0,4,1,0,패,0,창원,
8.17일,NC 다이노스,8,1,1,8,1,0,승,1,창원,
8.17일,롯데 자이언츠,10,0,0,5,2,1,패,0,서울,
8.17일,두산 베어스,10,1,2,3,1,1,승,1,서울,
8.19화,한화 이글스,17,0,0,6,2,0,승,0,부산,
8.19화,롯데 자이언츠,9,1,0,7,3,2,패,1,부산,
8.19화,LG 트윈스,16,2,0,10,0,2,승,0,서울,
8.19화,키움 히어로즈,11,1,0,6,0,0,패,1,서울,
8.19화,두산 베어스,13,2,0,9,1,2,승,0,인천,
8.19화,SK 와이번스,16,0,1,9,1,0,패,1,인천,
8.20수,LG 트윈스,4,0,0,6,0,2,패,0,서울,
8.20수,키움 히어로즈,7,0,2,6,0,1,승,1,서울,
8.20수,두산 베어스,5,0,0,6,0,0,패,0,인천,
