day_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,game_locatoin,기온(°C),강수량(mm),습도(%)
8.1,한화 이글스,10,2,0,4,2,0,패,창원,28.5,0,86
8.1,NC 다이노스,14,1,3,6,2,0,승,창원,28.5,0,86
8.1,kt wiz,19,1,0,2,1,1,승,광주,29.7,0.2,96
8.1,KIA 타이거즈,12,2,0,5,1,0,패,광주,29.7,0.2,96
8.1,롯데 자이언츠,2,0,0,7,1,0,패,서울,32.6,0,59
8.1,LG 트윈스,13,1,0,8,1,0,승,서울,32.6,0,59
8.1,두산 베어스,19,3,0,6,0,0,승,대구,31.4,0,63
8.1,삼성 라이온즈,15,0,0,8,0,2,패,대구,31.4,0,63
8.1,SK 와이번스,3,0,0,14,1,0,패,서울,32.6,0,59
8.1,키움 히어로즈,9,0,2,3,0,0,승,서울,32.6,0,59
8.2,한화 이글스,9,3,0,4,1,0,승,창원,28.3,0,80
8.2,NC 다이노스,8,0,0,8,1,0,패,창원,28.3,0,80
8.2,롯데 자이언츠,13,1,3,9,0,0,패,서울,32.8,0,60
8.2,LG 트윈스,9,0,1,7,0,0,승,서울,32.8,0,60
8.2,두산 베어스,11,1,0,8,0,1,승,대구,30.2,0,63
8.2,삼성 라이온즈,11,1,0,9,0,1,패,대구,30.2,0,63
8.2,SK 와이번스,11,2,1,5,3,1,패,서울,32.8,0,60
8.2,키움 히어로즈,8,1,0,7,0,0,승,서울,32.8,0,60
8.3,한화 이글스,3,0,0,7,1,2,패,창원,31.3,0,69
8.3,NC 다이노스,16,1,4,3,1,0,승,창원,31.3,0,69
8.3,kt wiz,11,1,0,9,1,0,패,광주,32.1,0,63
8.3,KIA 타이거즈,12,3,0,3,0,0,승,광주,32.1,0,63
8.3,롯데 자이언츠,8,2,0,6,0,1,패,서울,32.4,0,48
8.3,LG 트윈스,13,3,1,3,2,2,승,서울,32.4,0,48
8.3,두산 베어스,17,1,0,6,1,0,승,대구,29.1,0,66
8.3,삼성 라이온즈,13,1,0,6,1,0,패,대구,29.1,0,66
8.3,SK 와이번스,11,1,0,6,0,0,패,서울,32.4,0,48
8.3,키움 히어로즈,13,4,1,9,0,1,승,서울,32.4,0,48
8.4,KIA 타이거즈,9,2,0,9,1,1,패,대전,33.4,0,65
8.4,한화 이글스,15,0,2,5,0,0,승,대전,33.4,0,65
8.4,두산 베어스,16,2,0,6,2,2,승,서울,34.3,0,50
8.4,LG 트윈스,9,1,1,4,1,1,패,서울,34.3,0,50
8.4,SK 와이번스,13,0,1,5,2,0,승,수원,33.2,0,52
8.4,kt wiz,11,1,0,3,1,1,패,수원,33.2,0,52
8.4,삼성 라이온즈,9,1,1,8,0,1,승,창원,33.4,0,62
8.4,NC 다이노스,7,1,0,6,2,1,패,창원,33.4,0,62
8.4,키움 히어로즈,11,2,0,13,0,1,패,부산,31.6,0,64
8.4,롯데 자이언츠,14,2,0,8,0,0,승,부산,31.6,0,64
8.5,KIA 타이거즈,10,2,1,5,2,0,승,대전,34.9,0,61
8.5,한화 이글스,9,0,1,4,3,0,패,대전,34.9,0,61
8.5,두산 베어스,6,1,1,8,1,0,승,서울,34.1,0,57
8.5,LG 트윈스,5,0,1,4,0,1,패,서울,34.1,0,57
8.5,SK 와이번스,11,0,0,5,0,1,패,수원,33.5,0,62
8.5,kt wiz,8,1,3,6,1,0,승,수원,33.5,0,62
8.5,삼성 라이온즈,13,1,2,6,1,1,승,창원,34.3,0,57
8.5,NC 다이노스,7,1,0,11,1,0,패,창원,34.3,0,57
8.5,키움 히어로즈,11,3,1,10,0,0,패,부산,32.3,0,62
8.5,롯데 자이언츠,9,2,0,4,0,1,승,부산,32.3,0,62
8.6,두산 베어스,14,2,0,7,0,0,승,서울,32.2,0,62
8.6,LG 트윈스,7,1,0,8,1,0,패,서울,32.2,0,62
