team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text
KIA 타이거즈,9,2,0,2,1,0,패
LG 트윈스,10,1,0,3,0,0,승
NC 다이노스,7,0,1,6,0,1,패
롯데 자이언츠,10,0,0,5,1,0,승
두산 베어스,10,1,1,10,0,1,패
kt wiz,13,4,1,7,1,0,승
SK 와이번스,15,6,1,5,0,0,승
한화 이글스,4,1,0,10,0,1,패
키움 히어로즈,9,2,3,6,0,1,패
삼성 라이온즈,14,1,2,9,0,2,승
KIA 타이거즈,5,2,0,7,0,0,패
SK 와이번스,14,6,0,7,0,1,승
kt wiz,11,1,0,9,0,0,승
키움 히어로즈,6,0,0,7,1,1,패
LG 트윈스,16,2,1,11,1,1,패
두산 베어스,12,1,2,10,0,0,승
롯데 자이언츠,15,1,0,11,1,2,패
한화 이글스,11,2,2,5,0,2,승
삼성 라이온즈,11,0,0,12,1,0,패
NC 다이노스,8,1,0,8,1,2,승
KIA 타이거즈,19,3,0,4,2,0,승
SK 와이번스,7,1,0,11,1,1,패
kt wiz,5,1,0,6,0,0,패
키움 히어로즈,12,5,1,8,0,0,승
LG 트윈스,12,0,1,6,1,0,패
두산 베어스,10,2,3,4,0,0,승
롯데 자이언츠,12,2,0,8,0,1,패
한화 이글스,10,0,0,10,3,1,승
삼성 라이온즈,4,0,0,9,0,0,패
NC 다이노스,9,2,1,8,1,1,승
kt wiz,6,1,0,8,0,0,패
키움 히어로즈,7,1,0,9,0,0,승
삼성 라이온즈,13,0,1,5,2,1,승
NC 다이노스,7,1,1,11,0,1,패
LG 트윈스,14,5,0,4,0,1,승
롯데 자이언츠,9,1,0,12,2,0,패
키움 히어로즈,13,1,1,13,0,1,패
KIA 타이거즈,16,1,0,9,0,1,승
한화 이글스,8,0,1,10,1,1,패
kt wiz,10,0,1,9,2,1,승
LG 트윈스,9,1,0,11,3,0,패
롯데 자이언츠,13,2,0,5,0,0,승
NC 다이노스,8,1,1,11,0,1,패
두산 베어스,7,1,2,7,0,1,승
삼성 라이온즈,9,0,1,12,0,1,패
SK 와이번스,7,2,1,12,1,3,승
키움 히어로즈,10,0,0,6,1,1,패
KIA 타이거즈,9,1,0,6,2,0,승
한화 이글스,14,1,2,12,1,0,승
kt wiz,10,2,1,6,0,2,패
LG 트윈스,7,0,0,6,1,4,승
롯데 자이언츠,7,1,1,9,1,1,패
NC 다이노스,13,1,1,11,1,2,패
두산 베어스,14,0,1,9,0,0,승
삼성 라이온즈,11,3,1,6,1,0,승
SK 와이번스,10,0,0,4,1,2,패
키움 히어로즈,13,1,0,6,0,0,패
KIA 타이거즈,9,2,0,7,1,0,승
KIA 타이거즈,8,0,0,4,2,0,패
한화 이글스,7,2,1,8,0,0,승
kt wiz,8,2,1,7,1,1,승
NC 다이노스,5,1,2,10,0,1,패
두산 베어스,12,1,1,7,1,0,승
삼성 라이온즈,4,1,0,11,0,4,패
SK 와이번스,12,1,1,9,1,2,승
LG 트윈스,6,0,1,13,1,1,패
키움 히어로즈,6,1,1,11,0,1,패
롯데 자이언츠,11,2,0,5,0,0,승
KIA 타이거즈,7,1,1,10,1,1,패
한화 이글스,11,0,2,3,0,1,승
kt wiz,21,2,4,7,2,0,승
NC 다이노스,7,3,1,10,1,3,패
두산 베어스,10,1,2,10,1,0,승
삼성 라이온즈,14,2,0,8,0,1,패
SK 와이번스,3,0,0,6,3,0,패
LG 트윈스,7,2,0,5,2,0,승
키움 히어로즈,2,0,0,11,0,0,패
롯데 자이언츠,17,0,1,7,1,0,승
KIA 타이거즈,7,2,1,11,0,1,패
한화 이글스,17,2,0,7,1,0,승
kt wiz,13,4,2,7,0,3,승
NC 다이노스,6,1,0,8,2,1,패
두산 베어스,17,6,0,6,1,0,승
삼성 라이온즈,7,0,0,5,1,0,패
SK 와이번스,7,0,2,10,1,2,패
LG 트윈스,9,0,1,7,1,1,승
키움 히어로즈,9,1,0,12,0,0,승
롯데 자이언츠,9,0,0,9,0,0,패
kt wiz,5,1,1,6,0,1,패
LG 트윈스,3,1,0,6,0,0,승
롯데 자이언츠,11,1,1,11,0,3,승
KIA 타이거즈,4,1,2,10,0,0,패
NC 다이노스,7,0,3,11,0,0,패
SK 와이번스,10,1,1,7,1,2,승
두산 베어스,12,0,0,4,2,0,승
키움 히어로즈,2,0,0,10,0,1,패
삼성 라이온즈,11,0,1,8,0,1,승
한화 이글스,5,0,0,6,0,3,패
kt wiz,6,0,0,9,2,2,패
LG 트윈스,13,2,0,9,1,0,승
NC 다이노스,3,0,0,10,1,0,패
SK 와이번스,12,3,0,10,0,0,승
두산 베어스,9,2,0,7,0,0,패
키움 히어로즈,10,2,0,7,0,0,승
삼성 라이온즈,6,1,1,9,0,1,패
한화 이글스,17,4,0,7,0,0,승
kt wiz,13,0,0,3,2,1,패
LG 트윈스,16,1,0,5,3,0,승
NC 다이노스,12,0,0,7,2,0,패
SK 와이번스,12,0,0,3,1,0,승
두산 베어스,8,0,1,8,0,0,승
키움 히어로즈,4,0,0,12,0,0,패
삼성 라이온즈,11,1,0,2,2,1,패
한화 이글스,10,0,1,4,1,0,승
한화 이글스,12,2,0,9,0,0,승
두산 베어스,7,0,0,9,1,0,패
LG 트윈스,8,1,1,9,0,1,패
KIA 타이거즈,11,0,2,6,1,2,승
NC 다이노스,9,1,0,9,2,0,승
키움 히어로즈,8,0,0,11,0,0,패
SK 와이번스,17,4,5,12,1,1,승
kt wiz,11,0,0,6,0,1,패
삼성 라이온즈,13,1,3,11,1,2,승
롯데 자이언츠,11,2,0,9,1,2,패
한화 이글스,13,1,1,12,1,1,패
두산 베어스,7,0,1,12,0,0,승
LG 트윈스,10,0,1,6,1,0,패
KIA 타이거즈,8,0,1,4,0,1,승
NC 다이노스,2,0,0,8,0,0,승
키움 히어로즈,2,0,0,9,0,0,패
SK 와이번스,13,4,0,6,2,0,승
kt wiz,9,0,0,7,4,1,패
삼성 라이온즈,15,3,1,17,2,0,패
롯데 자이언츠,13,4,0,12,1,1,승
한화 이글스,7,0,1,10,0,0,패
두산 베어스,11,0,0,8,0,0,승
LG 트윈스,8,1,0,7,0,0,패
KIA 타이거즈,12,2,0,3,0,1,승
NC 다이노스,6,1,1,9,3,1,패
키움 히어로즈,11,1,1,10,1,0,승
SK 와이번스,7,2,1,12,0,0,승
kt wiz,13,2,3,8,0,0,패
삼성 라이온즈,13,0,2,6,4,0,승
롯데 자이언츠,8,0,0,7,1,3,패
KIA 타이거즈,7,1,0,5,3,0,패
두산 베어스,10,1,1,8,1,1,승
kt wiz,12,1,1,4,0,0,승
삼성 라이온즈,11,2,0,6,2,1,패
LG 트윈스,14,3,0,6,1,2,승
NC 다이노스,8,1,0,3,2,0,패
SK 와이번스,7,1,1,11,0,0,패
롯데 자이언츠,12,2,0,8,2,0,승
키움 히어로즈,13,2,0,7,2,0,승
한화 이글스,8,0,0,5,0,1,패
KIA 타이거즈,9,1,0,6,2,0,패
두산 베어스,13,2,0,7,0,1,승
kt wiz,7,0,2,7,1,0,패
삼성 라이온즈,9,1,1,4,2,1,승
LG 트윈스,12,1,0,11,0,1,승
NC 다이노스,5,2,1,10,0,0,패
SK 와이번스,9,1,0,8,0,0,패
롯데 자이언츠,8,2,0,10,1,1,승
키움 히어로즈,9,0,1,8,1,0,승
한화 이글스,8,1,1,4,2,0,패
KIA 타이거즈,22,3,0,4,2,2,승
두산 베어스,10,0,0,7,0,2,패
kt wiz,11,2,1,12,0,2,승
삼성 라이온즈,8,0,3,8,1,1,패
LG 트윈스,9,3,1,6,2,0,승
NC 다이노스,13,1,0,4,1,1,패
SK 와이번스,13,2,0,7,3,0,승
롯데 자이언츠,9,0,2,9,1,0,패
키움 히어로즈,15,2,0,7,0,0,승
한화 이글스,5,0,1,8,2,1,패
롯데 자이언츠,17,4,0,6,2,2,승
kt wiz,10,2,0,13,0,1,패
NC 다이노스,5,0,0,9,1,1,패
삼성 라이온즈,7,1,2,7,1,0,승
두산 베어스,11,3,1,10,1,0,승
SK 와이번스,13,1,3,7,0,1,패
키움 히어로즈,7,0,0,4,3,1,패
LG 트윈스,10,2,0,3,2,2,승
한화 이글스,6,1,0,7,0,1,승
KIA 타이거즈,7,0,0,8,0,1,패
롯데 자이언츠,16,1,1,4,1,0,승
kt wiz,12,1,0,8,0,1,패
NC 다이노스,13,1,0,7,1,0,승
삼성 라이온즈,9,0,0,6,0,0,패
두산 베어스,12,2,1,8,0,2,패
SK 와이번스,12,3,0,9,1,1,승
키움 히어로즈,6,0,0,6,1,1,패
LG 트윈스,9,0,0,7,1,0,승
한화 이글스,7,0,0,9,0,1,승
KIA 타이거즈,10,0,0,1,2,1,패
롯데 자이언츠,4,1,0,9,1,1,패
kt wiz,7,0,0,7,1,0,승
NC 다이노스,9,0,2,5,0,0,승
삼성 라이온즈,8,0,1,8,0,1,패
두산 베어스,10,0,2,9,1,0,패
SK 와이번스,8,2,0,8,0,0,승
키움 히어로즈,3,0,0,7,3,0,패
LG 트윈스,17,1,0,7,0,1,승
한화 이글스,12,1,0,6,1,1,패
롯데 자이언츠,9,0,0,8,0,0,승
KIA 타이거즈,15,1,1,6,3,0,승
kt wiz,6,2,1,7,0,0,패
두산 베어스,9,1,1,11,1,0,승
NC 다이노스,6,0,1,10,0,1,패
SK 와이번스,10,3,1,6,1,0,승
키움 히어로즈,10,0,0,9,0,0,패
삼성 라이온즈,7,0,0,5,1,0,패
LG 트윈스,15,1,3,7,0,1,승
한화 이글스,6,0,2,9,0,2,승
롯데 자이언츠,9,1,0,7,1,0,패
KIA 타이거즈,10,1,0,4,1,0,패
kt wiz,13,2,1,8,0,1,승
두산 베어스,7,0,0,5,1,0,패
NC 다이노스,10,0,0,4,0,1,승
SK 와이번스,11,0,1,11,1,3,승
키움 히어로즈,8,0,2,6,0,3,패
삼성 라이온즈,8,1,0,8,1,1,패
LG 트윈스,9,0,2,8,2,1,승
한화 이글스,12,1,0,7,1,1,패
롯데 자이언츠,7,1,0,7,0,1,승
