day_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,game_location,기온(°C),강수량(mm),습도(%),,,,
8.1수,kt wiz,7,1,1,11,1,1,패,대전,37.4,0,41,,,,
8.1수,한화 이글스,6,1,0,3,1,0,승,대전,37.4,0,41,,,,
8.1수,LG 트윈스,17,2,2,1,2,2,패,서울,37.8,0,47,,,,
8.1수,두산 베어스,16,1,1,5,0,0,승,서울,37.8,0,47,,,,
8.1수,롯데 자이언츠,5,0,0,12,0,0,패,광주,35,0,51,,,,
8.1수,KIA 타이거즈,15,0,0,4,1,2,승,광주,35,0,51,,,,
8.1수,NC 다이노스,12,4,0,7,0,1,승,대구,34.7,0,38,,,,
8.1수,삼성 라이온즈,5,1,0,12,0,0,패,대구,34.7,0,38,,,,
8.1수,키움 히어로즈,12,1,0,11,2,2,패,인천,33.9,0,58,,,,
8.1수,SK 와이번스,20,4,1,5,0,1,승,인천,33.9,0,58,,,,
8.2목,kt wiz,6,2,0,13,0,3,패,대전,37.2,0,45,,,,
8.2목,한화 이글스,7,2,1,8,2,2,승,대전,37.2,0,45,,,,
8.2목,LG 트윈스,10,3,0,7,1,0,패,서울,36.7,0,47,,,,
8.2목,두산 베어스,9,0,0,4,0,0,승,서울,36.7,0,47,,,,
8.2목,롯데 자이언츠,18,2,2,7,1,0,승,광주,34.8,0,52,,,,
8.2목,KIA 타이거즈,7,3,0,4,1,0,패,광주,34.8,0,52,,,,
8.2목,NC 다이노스,11,0,0,7,1,1,패,대구,34,0,45,,,,
8.2목,삼성 라이온즈,10,1,3,7,3,1,승,대구,34,0,45,,,,
8.2목,키움 히어로즈,11,1,1,9,1,0,승,인천,34,0,53,,,,
8.2목,SK 와이번스,5,2,1,4,1,0,패,인천,34,0,53,,,,
8.4토,NC 다이노스,8,2,0,12,0,1,승,대전,32.9,0,67,,,,
8.4토,한화 이글스,10,0,1,5,1,1,패,대전,32.9,0,67,,,,
8.4토,두산 베어스,11,2,0,9,2,3,패,광주,31.8,0,73,,,,
8.4토,KIA 타이거즈,13,1,0,7,1,1,승,광주,31.8,0,73,,,,
8.4토,SK 와이번스,10,1,0,7,1,0,승,서울,33.2,0,52,,,,
8.4토,LG 트윈스,10,1,0,4,1,0,패,서울,33.2,0,52,,,,
8.4토,삼성 라이온즈,10,0,2,8,0,0,패,부산,31.4,0,69,,,,
8.4토,롯데 자이언츠,10,1,2,4,0,1,승,부산,31.4,0,69,,,,
8.4토,키움 히어로즈,8,2,0,9,2,0,승,수원,31.6,0,61,,,,
8.4토,kt wiz,3,0,0,11,0,0,패,수원,31.6,0,61,,,,
8.5일,NC 다이노스,14,3,0,11,1,2,승,대전,33.6,0,61,,,,
8.5일,한화 이글스,13,2,2,7,0,2,패,대전,33.6,0,61,,,,
8.5일,두산 베어스,8,1,0,5,2,0,패,광주,33.3,0,55,,,,
8.5일,KIA 타이거즈,12,2,2,6,0,2,승,광주,33.3,0,55,,,,
8.5일,SK 와이번스,20,0,1,5,3,0,승,서울,31.8,0,63,,,,
8.5일,LG 트윈스,9,1,0,6,1,1,패,서울,31.8,0,63,,,,
8.5일,삼성 라이온즈,12,3,1,8,0,0,승,부산,31.8,0,67,,,,
8.5일,롯데 자이언츠,10,1,1,8,2,0,패,부산,31.8,0,67,,,,
8.5일,키움 히어로즈,20,3,2,5,1,0,승,수원,31.4,0,67,,,,
8.5일,kt wiz,8,0,0,8,2,0,패,수원,31.4,0,67,,,,
8.7화,한화 이글스,7,1,1,6,0,0,패,서울,34.6,0,50,,,,
8.7화,두산 베어스,8,1,2,7,0,0,승,서울,34.6,0,50,,,,
8.7화,KIA 타이거즈,7,0,2,5,1,0,패,서울,34.6,0,50,,,,
8.7화,키움 히어로즈,19,3,2,8,0,0,승,서울,34.6,0,50,,,,
8.7화,kt wiz,12,6,0,9,0,2,승,창원,29.5,0,77,,,,
8.7화,NC 다이노스,14,2,0,8,1,0,패,창원,29.5,0,77,,,,
8.7화,LG 트윈스,7,1,0,12,0,1,패,부산,28.4,0,68,,,,
8.7화,롯데 자이언츠,9,2,1,9,0,0,승,부산,28.4,0,68,,,,
8.7화,삼성 라이온즈,16,2,0,6,0,1,승,인천,32.1,0,61,,,,
8.7화,SK 와이번스,9,1,0,9,0,2,패,인천,32.1,0,61,,,,
8.8수,한화 이글스,10,1,0,5,1,1,승,서울,34.5,0,45,,,,
8.8수,두산 베어스,7,1,0,5,0,1,패,서울,34.5,0,45,,,,
8.8수,KIA 타이거즈,12,0,0,6,0,3,패,서울,34.5,0,45,,,,
8.8수,키움 히어로즈,15,1,0,5,0,1,승,서울,34.5,0,45,,,,
8.8수,kt wiz,6,1,0,8,2,0,패,창원,28.2,0,79,,,,
8.8수,NC 다이노스,14,2,0,5,0,0,승,창원,28.2,0,79,,,,
8.8수,LG 트윈스,2,1,0,8,0,0,패,부산,28.1,0,72,,,,
8.8수,롯데 자이언츠,6,0,0,4,0,0,승,부산,28.1,0,72,,,,
8.8수,삼성 라이온즈,3,0,0,10,1,1,패,인천,31.3,0,71,,,,
8.8수,SK 와이번스,14,2,1,5,1,0,승,인천,31.3,0,71,,,,
8.9목,롯데 자이언츠,14,3,0,8,0,0,승,광주,32.5,0,62,,,,
8.9목,KIA 타이거즈,6,1,0,6,1,0,패,광주,32.5,0,62,,,,
8.9목,두산 베어스,12,1,1,9,0,0,승,수원,30.9,0,69,,,,
8.9목,kt wiz,3,0,0,8,0,0,패,수원,30.9,0,69,,,,
