day_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,game_location,기온(°C),강수량(mm),습도(%)
7.2화,한화 이글스,6,0,1,10,1,1,패,서울,28.4,0,47
7.2화,LG 트윈스,13,0,2,5,0,2,승,서울,28.4,0,47
7.2화,롯데 자이언츠,2,0,0,8,2,1,패,인천,24.9,0,67
7.2화,SK 와이번스,9,2,1,7,0,0,승,인천,24.9,0,67
7.2화,NC 다이노스,7,2,0,7,1,1,패,광주,26.7,0,62
7.2화,KIA 타이거즈,8,0,0,7,0,1,승,광주,26.7,0,62
7.2화,두산 베어스,9,0,0,3,1,2,패,서울,28.4,0,47
7.2화,키움 히어로즈,8,0,1,7,0,0,승,서울,28.4,0,47
7.2화,삼성 라이온즈,7,0,1,7,0,0,패,수원,27.1,0,56
7.2화,kt wiz,9,1,0,6,0,0,승,수원,27.1,0,56
7.3수,한화 이글스,6,1,0,4,1,1,패,서울,26,0,49
7.3수,LG 트윈스,10,1,0,5,1,1,승,서울,26,0,49
7.3수,롯데 자이언츠,12,2,1,12,1,1,패,인천,23.8,0,83
7.3수,SK 와이번스,12,2,2,7,1,0,승,인천,23.8,0,83
7.3수,NC 다이노스,7,0,3,4,0,0,승,광주,26.5,0,57
7.3수,KIA 타이거즈,11,0,0,6,0,1,패,광주,26.5,0,57
7.3수,두산 베어스,5,0,0,5,1,0,승,서울,26,0,49
7.3수,키움 히어로즈,5,1,0,8,1,1,패,서울,26,0,49
7.3수,삼성 라이온즈,8,0,0,6,2,0,패,수원,26.7,0,66
7.3수,kt wiz,8,1,1,6,2,0,승,수원,26.7,0,66
7.4목,한화 이글스,4,1,0,8,0,1,패,서울,29.3,0,31
7.4목,LG 트윈스,5,0,1,12,0,0,승,서울,29.3,0,31
7.4목,롯데 자이언츠,10,3,0,12,0,1,패,인천,25.6,0,60
7.4목,SK 와이번스,12,3,1,4,0,1,승,인천,25.6,0,60
7.4목,NC 다이노스,20,1,1,3,2,0,승,광주,29.3,0,54
7.4목,KIA 타이거즈,8,0,0,7,0,0,패,광주,29.3,0,54
7.4목,두산 베어스,7,1,0,6,0,0,승,서울,29.3,0,31
7.4목,키움 히어로즈,7,0,0,5,0,0,패,서울,29.3,0,31
7.4목,삼성 라이온즈,9,2,2,7,0,0,패,수원,27.1,0,48
7.4목,kt wiz,9,0,0,5,1,0,승,수원,27.1,0,48
7.5금,kt wiz,12,1,1,6,1,0,승,대전,33.1,0,40
7.5금,한화 이글스,7,2,0,5,0,1,패,대전,33.1,0,40
7.5금,LG 트윈스,6,0,0,8,1,1,패,광주,29.9,0,50
7.5금,KIA 타이거즈,11,0,1,2,1,0,승,광주,29.9,0,50
7.5금,롯데 자이언츠,11,0,0,7,2,0,패,서울,32.3,0,37
7.5금,키움 히어로즈,15,1,1,7,1,0,승,서울,32.3,0,37
7.5금,SK 와이번스,10,1,2,5,2,4,승,서울,32.3,0,37
7.5금,두산 베어스,12,1,0,5,1,0,패,서울,32.3,0,37
7.5금,삼성 라이온즈,12,0,0,6,1,0,패,창원,24.2,0,69
