day_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,location,temp,rain,humidity
9.1,kt wiz,10,2,1,8,0,0,승,대전,26.5,0,55
9.1,한화 이글스,4,1,0,12,0,0,패,대전,26.5,0,55
9.1,NC 다이노스,4,1,0,6,1,1,패,부산,23.3,0,58
9.1,롯데 자이언츠,8,1,0,8,0,0,승,부산,23.3,0,58
9.1,두산 베어스,8,0,0,9,1,2,패,광주,28.1,0,41
9.1,KIA 타이거즈,11,2,1,1,2,0,승,광주,28.1,0,41
9.1,삼성 라이온즈,12,0,0,5,0,1,패,인천,24.8,0,61
9.1,SK 와이번스,11,1,0,6,0,1,승,인천,24.8,0,61
9.1,키움 히어로즈,5,1,0,5,1,2,패,서울,27.5,0,40
9.1,LG 트윈스,8,1,0,6,0,1,승,서울,27.5,0,40
9.2,한화 이글스,7,0,1,8,0,0,패,부산,23.6,0,54
9.2,롯데 자이언츠,15,2,0,10,1,0,승,부산,23.6,0,54
9.2,KIA 타이거즈,10,1,1,9,0,1,승,서울,27.6,0,54
9.2,키움 히어로즈,10,1,1,9,1,1,패,서울,27.6,0,54
9.2,LG 트윈스,3,0,0,11,1,0,패,창원,24.9,0,61
9.2,NC 다이노스,9,0,1,7,1,0,승,창원,24.9,0,61
9.2,SK 와이번스,16,7,0,10,0,1,승,수원,25.7,0,58
9.2,kt wiz,10,1,0,10,0,1,패,수원,25.7,0,58
9.2,삼성 라이온즈,9,1,2,4,1,0,승,서울,27.6,0,54
9.2,두산 베어스,4,1,1,14,1,0,패,서울,27.6,0,54
9.3,한화 이글스,7,1,0,6,1,1,패,부산,23.7,0,64
9.3,롯데 자이언츠,11,1,2,5,3,0,승,부산,23.7,0,64
9.3,KIA 타이거즈,15,1,2,7,0,0,패,서울,26.6,0,59
9.3,키움 히어로즈,9,0,0,7,1,2,승,서울,26.6,0,59
9.3,LG 트윈스,5,0,0,4,3,1,패,창원,24.9,0,64
9.3,NC 다이노스,11,2,0,2,1,1,승,창원,24.9,0,64
9.3,SK 와이번스,14,0,0,9,1,0,패,수원,25.8,0,58
9.3,kt wiz,21,2,0,6,0,0,승,수원,25.8,0,58
9.3,삼성 라이온즈,6,0,1,7,0,0,패,서울,26.6,0,59
9.3,두산 베어스,10,0,0,5,0,1,승,서울,26.6,0,59
9.5,KIA 타이거즈,6,1,1,10,0,0,패,서울,23,0,62
9.5,LG 트윈스,9,1,0,9,1,1,승,서울,23,0,62
9.5,롯데 자이언츠,7,1,0,10,1,1,패,인천,22.7,0,71
9.5,SK 와이번스,10,4,0,9,2,1,승,인천,22.7,0,71
9.5,NC 다이노스,7,1,0,8,1,1,패,대구,20.8,0,95
9.5,삼성 라이온즈,12,2,3,8,0,0,승,대구,20.8,0,95
9.5,두산 베어스,6,1,0,3,1,1,패,대전,21.8,0,84
9.5,한화 이글스,10,0,1,12,0,0,승,대전,21.8,0,84
9.5,키움 히어로즈,6,0,2,12,0,1,패,수원,22.4,0,73
9.5,kt wiz,8,2,0,7,0,0,승,수원,22.4,0,73
9.6,KIA 타이거즈,8,0,0,5,3,0,패,서울,20.4,0,80
9.6,LG 트윈스,15,1,0,5,1,0,승,서울,20.4,0,80
9.6,두산 베어스,19,3,1,7,1,0,승,대전,21.9,0,90
9.6,한화 이글스,11,2,1,9,1,1,패,대전,21.9,0,90
9.6,키움 히어로즈,9,1,0,10,2,1,패,수원,19.8,0,92
9.6,kt wiz,10,2,1,5,1,0,승,수원,19.8,0,92
9.7,한화 이글스,21,1,0,4,2,0,승,광주,25.1,0,75
9.7,KIA 타이거즈,11,0,1,2,2,1,패,광주,25.1,0,75
9.7,kt wiz,12,3,0,8,1,1,승,서울,26.1,0,64
9.7,두산 베어스,6,0,1,7,2,2,패,서울,26.1,0,64
9.7,LG 트윈스,4,0,1,18,1,2,무,서울,26.1,0,64
9.7,키움 히어로즈,8,0,1,11,1,0,무,서울,26.1,0,64
9.7,SK 와이번스,4,2,0,12,0,2,패,창원,23.3,0,86
9.7,NC 다이노스,12,2,0,5,1,0,승,창원,23.3,0,86
9.7,삼성 라이온즈,10,3,0,5,3,2,승,부산,23.9,0,74
9.7,롯데 자이언츠,10,2,1,10,0,1,패,부산,23.9,0,74
9.8,한화 이글스,6,1,0,9,0,1,패,광주,26.5,0,57
9.8,KIA 타이거즈,11,2,0,2,0,2,승,광주,26.5,0,57
9.8,kt wiz,5,1,0,5,1,0,패,서울,27.5,0,49
9.8,두산 베어스,6,0,1,7,0,0,승,서울,27.5,0,49
9.8,LG 트윈스,16,0,0,8,1,1,승,서울,27.5,0,49
