day_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,location,temp,rain,humidity
5.18,한화 이글스,9,1,0,7,0,0,0,서울,24.8,0,32
5.19,한화 이글스,8,0,0,10,2,0,0,대전,27,0,27
5.2,한화 이글스,14,2,1,7,1,1,0,대전,26.1,0,34
5.21,한화 이글스,14,2,0,11,1,1,0,대전,26.3,0,40
5.23,한화 이글스,15,2,0,6,1,1,0,대전,24.5,0,55
5.24,한화 이글스,6,1,0,3,0,0,0,대전,25.6,0,52
5.25,한화 이글스,6,1,1,10,0,1,0,대전,23.4,0,41
5.26,한화 이글스,15,0,0,10,0,2,0,창원,21.2,0,51
5.27,한화 이글스,11,0,0,8,0,0,1,창원,22.2,0,43
5.28,한화 이글스,12,1,2,8,0,0,1,창원,22,0,54
5.3,한화 이글스,12,0,1,6,2,0,1,대전,28.8,0,40
5.31,한화 이글스,7,1,0,8,0,0,1,대전,22.9,0,81
6.1,한화 이글스,11,2,0,2,0,0,0,대전,25.2,0,55
6.2,한화 이글스,13,0,1,4,0,0,1,대전,25.9,0,25
6.3,한화 이글스,10,1,1,5,1,0,0,대전,24.7,0,28
6.4,한화 이글스,8,0,0,4,1,0,0,대전,27.2,0,26
6.7,한화 이글스,5,0,1,7,1,1,0,광주,17.1,0,94
6.8,한화 이글스,11,0,0,4,2,1,0,광주,25,0,54
6.9,한화 이글스,10,1,3,4,0,0,0,대전,25.8,0,36
6.1,한화 이글스,11,0,1,4,1,0,1,대전,26.2,0,50
6.11,한화 이글스,8,1,0,4,2,0,0,대전,28.7,0,25
6.13,한화 이글스,17,0,0,7,1,0,1,인천,20.5,0,74
6.14,한화 이글스,6,2,1,7,1,1,0,인천,21,0,75
6.15,한화 이글스,8,0,0,5,1,0,0,인천,21.9,0,73
6.16,한화 이글스,19,6,0,4,2,2,1,수원,27.6,0,52
6.17,한화 이글스,12,3,1,12,0,0,1,수원,25.8,0,43
6.18,한화 이글스,18,5,2,7,2,2,1,수원,26.2,0,48
6.2,한화 이글스,9,1,0,5,0,0,1,대전,29.4,0,37
6.21,한화 이글스,6,1,1,7,1,1,0,대전,27.1,0,57
6.22,한화 이글스,16,5,0,8,0,0,1,대전,31.6,0,35
6.23,한화 이글스,6,0,0,8,1,0,0,대구,30.1,0,40
6.24,한화 이글스,8,1,0,3,3,2,0,대구,28.5,0,44
6.27,한화 이글스,11,1,0,10,1,1,1,대전,28.2,0,58
6.28,한화 이글스,12,0,0,8,1,1,0,대전,29.8,0,57
6.29,한화 이글스,10,2,0,5,2,1,1,대전,30.4,0,53
6.3,한화 이글스,16,3,0,7,0,1,1,대전,29.7,0,64
7.1,한화 이글스,12,5,0,4,2,1,1,대전,24.8,0.1,96
7.4,한화 이글스,9,2,0,6,0,0,0,서울,29.2,0,64
7.5,한화 이글스,12,1,0,12,0,0,0,서울,31.4,0,55
7.6,한화 이글스,13,3,1,10,2,1,0,서울,27.8,2,80
7.8,한화 이글스,11,1,1,3,2,1,1,서울,26.5,0,81
7.9,한화 이글스,5,0,0,2,0,1,0,서울,26.3,0,87
7.11,한화 이글스,10,2,2,8,0,1,0,대전,29,0,81
7.12,한화 이글스,10,0,1,7,0,1,0,대전,31.8,0,65
7.13,한화 이글스,8,2,0,4,1,0,1,대전,32.1,0,63
7.18,한화 이글스,9,0,0,7,3,1,0,대전,28.1,0,84
7.19,한화 이글스,13,3,0,7,2,2,0,대전,31.8,0,66
7.2,한화 이글스,8,2,0,8,0,1,0,대전,33,0,69
7.21,한화 이글스,9,3,1,7,1,0,0,서울,31.8,0,69
7.22,한화 이글스,10,0,0,4,2,0,0,서울,31.2,0,66
7.23,한화 이글스,13,1,2,3,0,1,0,서울,28,0,82
7.26,한화 이글스,12,2,1,6,3,2,0,부산,27.3,0,59
7.27,한화 이글스,13,2,0,8,0,0,1,부산,26.9,0,64
7.28,한화 이글스,10,1,2,6,0,0,1,대전,30.5,0,77
7.29,한화 이글스,6,0,0,8,1,0,0,대전,28.2,0,81
7.3,한화 이글스,7,0,0,9,1,1,0,대전,30.3,0,76
8.1,한화 이글스,10,2,0,4,2,0,0,창원,28.5,0,86
8.2,한화 이글스,9,3,0,4,1,0,1,창원,28.3,0,80
8.3,한화 이글스,3,0,0,7,1,2,0,창원,31.3,0,69
8.4,한화 이글스,15,0,2,5,0,0,1,대전,33.4,0,65
8.5,한화 이글스,9,0,1,4,3,0,0,대전,34.9,0,61
8.8,한화 이글스,6,0,0,9,0,0,0,서울,30.8,0,45
8.9,한화 이글스,21,1,0,4,1,1,1,서울,30.2,0,56
8.11,한화 이글스,11,2,1,4,2,0,1,대전,27.7,0,79
8.12,한화 이글스,10,2,1,7,1,0,1,서울,31.4,0,48
8.13,한화 이글스,8,1,0,9,0,1,0,서울,28.4,0,54
8.16,한화 이글스,12,0,0,5,1,0,1,대전,27.6,0,85
8.17,한화 이글스,6,0,0,5,1,0,0,창원,27,0,90
8.18,한화 이글스,19,2,0,6,1,1,1,창원,27.4,0,89
8.19,한화 이글스,5,1,0,4,0,0,1,대전,25,0,97
8.2,한화 이글스,10,0,3,8,0,0,0,대전,27.9,0,79
8.22,한화 이글스,7,1,0,6,0,0,1,수원,28.8,0,74
8.23,한화 이글스,11,2,1,11,0,0,1,수원,29.3,0,85
8.25,한화 이글스,10,1,0,6,0,1,1,대전,29.9,0,50
8.26,한화 이글스,5,0,1,9,0,0,0,인천,26.2,0,48
8.27,한화 이글스,5,1,1,8,0,4,0,인천,24.1,0,69
8.29,한화 이글스,16,1,0,6,1,0,1,대전,22.5,0,50
8.3,한화 이글스,11,1,0,11,0,1,0,대전,20.3,0,74
8.31,한화 이글스,16,1,0,4,0,0,1,대전,24.9,0,55
9.1,한화 이글스,4,1,0,12,0,0,0,대전,26.5,0,55
9.2,한화 이글스,7,0,1,8,0,0,0,부산,23.6,0,54
9.3,한화 이글스,7,1,0,6,1,1,0,부산,23.7,0,64
9.5,한화 이글스,10,0,1,12,0,0,1,대전,21.8,0,84
9.6,한화 이글스,11,2,1,9,1,1,0,대전,21.9,0,90
9.7,한화 이글스,21,1,0,4,2,0,1,광주,25.1,0,75
9.8,한화 이글스,6,1,0,9,0,1,0,광주,26.5,0,57
9.9,한화 이글스,15,2,0,7,0,0,1,대전,25.2,0,73
9.1,한화 이글스,9,1,0,4,0,1,0,대전,25,0,80
9.12,한화 이글스,10,2,0,8,2,1,1,대구,27.4,0,40
9.13,한화 이글스,6,1,0,7,1,1,0,대구,26.3,0,33
9.14,한화 이글스,15,2,0,6,0,0,1,대전,25.3,0,54
9.15,한화 이글스,8,1,0,7,0,1,1,대전,22.6,0,56
9.16,한화 이글스,7,0,0,8,1,0,1,서울,24.7,0,46
9.17,한화 이글스,5,0,0,7,1,0,0,서울,26.1,0,45
9.2,한화 이글스,8,1,0,8,0,0,1,서울,22.7,0,38
9.22,한화 이글스,2,0,1,11,0,0,0,대전,24.2,0,56
9.23,한화 이글스,12,0,0,10,0,0,1,대전,24.2,0,73
9.24,한화 이글스,12,1,0,3,2,0,1,광주,26.1,0,73
9.26,한화 이글스,10,2,0,11,0,1,0,부산,22.8,0,74
9.28,한화 이글스,8,0,1,3,1,1,0,대전,21.2,0,48
9.29,한화 이글스,8,2,0,10,1,1,0,대전,18.8,0,44
9.3,한화 이글스,8,0,0,9,3,2,0,대전,23.1,0,57
10.1,한화 이글스,9,2,0,4,0,0,0,대전,15.9,0.7,94
