day_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,location,temp,rain,humidity
4.27,키움 히어로즈,10,0,2,4,1,0,1,서울,16.6,0,25
4.28,키움 히어로즈,13,3,0,7,1,0,1,대전,19,0,35
4.29,키움 히어로즈,14,0,1,6,0,0,1,대전,23,0,17
4.3,키움 히어로즈,8,0,1,4,1,0,1,대전,23.2,0,54
5.2,키움 히어로즈,12,0,0,10,1,4,0,서울,23.5,0,33
5.3,키움 히어로즈,11,0,0,9,1,0,0,서울,25.9,0,25
5.4,키움 히어로즈,9,2,0,4,0,0,1,서울,23.3,0,40
5.5,키움 히어로즈,8,0,0,5,0,0,1,서울,22.5,0,54
5.6,키움 히어로즈,11,0,1,10,0,0,0,서울,16.8,0,41
5.1,키움 히어로즈,8,0,0,9,0,1,0,창원,20.6,0,55
5.11,키움 히어로즈,9,1,1,7,1,1,1,창원,23.9,0,66
5.12,키움 히어로즈,7,0,0,10,3,0,0,대구,19.6,0,71
5.13,키움 히어로즈,12,0,1,6,1,0,1,대구,25,0,53
5.14,키움 히어로즈,8,1,1,11,0,1,1,대구,22.7,0,19
5.16,키움 히어로즈,10,1,1,6,0,1,1,서울,21.2,0,47
5.17,키움 히어로즈,12,0,0,4,0,1,0,서울,24.1,0,34
5.18,키움 히어로즈,8,2,0,3,2,1,1,서울,24.8,0,32
5.19,키움 히어로즈,9,0,0,7,1,2,1,수원,22.6,0,31
5.2,키움 히어로즈,15,3,1,10,2,0,1,수원,22.9,0,31
5.21,키움 히어로즈,12,0,0,7,1,0,0,수원,23.1,0,44
5.23,키움 히어로즈,7,0,0,6,2,1,0,서울,20,0,72
5.24,키움 히어로즈,6,2,1,9,0,2,0,서울,27,0,39
5.25,키움 히어로즈,4,0,0,6,3,1,0,서울,22.2,0,29
5.26,키움 히어로즈,20,1,2,3,1,2,1,서울,21.6,0,36
5.27,키움 히어로즈,13,1,2,6,1,2,1,서울,23.7,0,29
5.28,키움 히어로즈,12,0,0,10,3,1,0,서울,25.1,0,55
5.3,키움 히어로즈,7,1,0,5,2,1,1,서울,28.7,0,8
5.31,키움 히어로즈,8,0,0,6,1,0,0,서울,27.2,0,44
6.1,키움 히어로즈,8,0,0,7,0,1,0,서울,26.3,0,32
6.2,키움 히어로즈,7,2,0,2,2,1,0,서울,23.5,0,32
6.3,키움 히어로즈,16,1,1,4,2,0,1,서울,23.4,0,34
6.4,키움 히어로즈,10,0,2,7,1,0,0,서울,25.6,0,21
6.6,키움 히어로즈,9,3,0,3,2,1,0,인천,16.9,0,79
6.7,키움 히어로즈,12,0,2,9,2,1,1,인천,19.1,0,78
6.8,키움 히어로즈,12,0,0,5,0,0,1,인천,19.9,0,71
6.9,키움 히어로즈,11,2,0,8,2,0,1,광주,27,0,34
6.1,키움 히어로즈,13,1,0,6,0,0,1,광주,25.1,0,76
6.11,키움 히어로즈,3,0,0,6,1,1,0,광주,26.5,0,38
6.13,키움 히어로즈,5,0,1,10,0,1,0,서울,22.8,0,61
6.14,키움 히어로즈,15,4,0,9,0,0,1,서울,25.2,0,46
6.15,키움 히어로즈,12,1,1,4,2,0,0,서울,27.4,0,45
6.16,키움 히어로즈,5,0,0,7,0,0,1,서울,29.1,0,49
6.17,키움 히어로즈,10,2,0,7,1,0,1,서울,26.9,0,42
6.18,키움 히어로즈,16,0,3,11,1,0,1,서울,28,0,33
6.2,키움 히어로즈,9,1,1,9,2,0,0,대전,29.4,0,37
6.21,키움 히어로즈,9,0,1,10,2,0,1,대전,27.1,0,57
6.22,키움 히어로즈,20,2,1,7,2,1,0,대전,31.6,0,35
