day_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,location,temp,rain,humidity,,,행 레이블,평균 : H_text,평균 : HR_text,평균 : S_text,평균 : ST_text,평균 : DU_text,평균 : ER_text
4.1수,kt wiz,10,0,1,15,0,0,0,수원,15,0,54,,,5-15,8.04,0.596153846,0.615384615,7.076923077,1.019230769,0.75
4.3금,kt wiz,5,0,0,9,1,0,0,수원,12.3,0,77,,,15-25,9.35,0.891640867,0.702786378,7.229102167,0.786377709,0.773993808
4.4토,kt wiz,9,0,3,3,1,4,0,수원,14.3,0,70,,,25-35,9.77,1.003184713,0.633757962,6.863057325,0.818471338,0.789808917
4.5일,kt wiz,6,0,0,5,3,1,0,수원,10.7,0.1,98,,,35-45,7.00,1.25,0.5,8.25,0.75,1.25
4.7화,kt wiz,10,1,2,12,0,0,0,인천,10,0,64,,,총합계,9.43,0.922077922,0.663780664,7.057720058,0.818181818,0.782106782
4.8수,kt wiz,5,0,1,11,0,1,0,인천,10.1,0,61,,,,,,,,,
4.9목,kt wiz,7,1,0,8,0,0,0,인천,11,0,51,,,,,,,,,
4.10금,kt wiz,5,0,0,16,0,1,0,서울,15.9,0,33,,,,,,,,,
4.11토,kt wiz,10,0,1,6,0,0,1,서울,17.5,0,23,,,,,,,,,
4.12일,kt wiz,6,1,1,9,0,0,1,서울,18.8,0,18,,,,,,,,,
4.14화,kt wiz,4,0,2,4,2,1,0,수원,8.6,0,83,,,,,,,,,
4.15수,kt wiz,9,2,2,13,0,1,0,수원,16.3,0,55,,,,,,,,,
4.17금,kt wiz,7,0,2,9,0,0,0,대구,20.3,0,20,,,,,,,,,
4.18토,kt wiz,4,0,2,9,2,0,0,대구,21.2,0,23,,,,,,,,,
4.21화,kt wiz,9,0,1,10,1,1,0,수원,16.9,0,30,,,,,,,,,
4.22수,kt wiz,7,1,1,11,0,0,1,수원,16.4,0,53,,,,,,,,,
4.23목,kt wiz,7,1,1,8,1,2,0,수원,17.9,0,25,,,,,,,,,
4.24금,kt wiz,7,0,1,11,0,3,0,수원,18.8,0,24,,,,,,,,,
4.25토,kt wiz,4,0,0,7,1,1,0,수원,19.4,0,18,,,,,,,,,
4.26일,kt wiz,7,0,0,10,1,0,0,수원,22.7,0,40,,,,,,,,,
4.28화,kt wiz,5,1,0,10,1,2,0,서울,24.1,0,35,,,,,,,,,
4.30목,kt wiz,9,0,1,5,2,1,0,서울,25.6,0,44,,,,,,,,,
5.1금,kt wiz,8,1,0,10,0,1,0,수원,22.4,0,53,,,,,,,,,
5.2토,kt wiz,6,1,0,5,0,2,0,수원,22.1,0,59,,,,,,,,,
5.3일,kt wiz,6,1,0,6,0,1,0,수원,19.4,0,93,,,,,,,,,
5.5화,kt wiz,15,1,1,4,1,3,0,대전,18.7,0,29,,,,,,,,,
5.6수,kt wiz,14,1,2,6,1,2,1,대전,21.4,0,38,,,,,,,,,
5.7목,kt wiz,11,0,3,7,2,0,1,대전,22.4,0,36,,,,,,,,,
5.8금,kt wiz,12,0,2,5,2,0,1,수원,18.6,0,65,,,,,,,,,
5.9토,kt wiz,6,1,1,5,0,1,1,수원,19.6,0,51,,,,,,,,,
5.10일,kt wiz,7,0,1,12,0,1,0,수원,22.3,0,35,,,,,,,,,
5.12화,kt wiz,1,0,0,10,1,0,0,광주,18.1,0,57,,,,,,,,,
5.13수,kt wiz,14,1,4,7,0,1,0,광주,23.5,0,31,,,,,,,,,
5.14목,kt wiz,5,0,1,7,1,0,0,광주,24.8,0,56,,,,,,,,,
5.15금,kt wiz,16,0,5,12,0,1,0,수원,20.1,0,78,,,,,,,,,
5.16토,kt wiz,6,0,1,7,2,3,0,수원,20,0,43,,,,,,,,,
5.17일,kt wiz,7,0,2,7,1,2,0,수원,23.8,0,16,,,,,,,,,
5.19화,kt wiz,13,0,1,4,1,0,1,창원,22.3,0,57,,,,,,,,,
5.20수,kt wiz,4,0,0,10,0,0,0,창원,20.9,0,42,,,,,,,,,
5.21목,kt wiz,9,0,2,8,0,1,0,창원,22.7,0,33,,,,,,,,,
5.22금,kt wiz,11,0,1,8,0,1,0,수원,21.8,0,43,,,,,,,,,
5.23토,kt wiz,9,0,2,4,0,0,0,수원,24.3,0,29,,,,,,,,,
5.24일,kt wiz,14,1,0,3,2,0,1,수원,22.4,0,24,,,,,,,,,
5.26화,kt wiz,4,0,0,12,1,1,0,서울,26.5,0,24,,,,,,,,,
5.27수,kt wiz,7,1,1,10,2,1,0,서울,28.9,0,19,,,,,,,,,
5.28목,kt wiz,11,0,0,11,2,1,1,서울,28.5,0,20,,,,,,,,,
5.29금,kt wiz,7,0,1,9,0,2,0,수원,25.7,0,34,,,,,,,,,
5.30토,kt wiz,6,2,2,10,1,1,0,수원,20.1,0,72,,,,,,,,,
5.31일,kt wiz,9,2,0,8,0,1,0,수원,25.4,0,38,,,,,,,,,
6.2화,kt wiz,14,0,1,12,0,1,0,수원,24.4,0,49,,,,,,,,,
6.3수,kt wiz,7,0,1,4,1,0,1,수원,24.8,0,40,,,,,,,,,
6.4목,kt wiz,15,2,1,6,0,0,1,수원,24.2,0,33,,,,,,,,,
6.5금,kt wiz,5,1,3,8,0,0,0,대전,19.4,0,55,,,,,,,,,
6.6토,kt wiz,11,1,1,6,1,0,0,대전,28.3,0,37,,,,,,,,,
6.7일,kt wiz,10,1,1,2,0,1,1,대전,30.1,0,38,,,,,,,,,
6.9화,kt wiz,11,4,1,9,0,1,1,부산,22.9,0,76,,,,,,,,,
6.10수,kt wiz,14,3,1,5,0,0,1,부산,25.3,0,63,,,,,,,,,
