day_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,location,temp,rain,humidity
4.25,LG 트윈스,10,0,0,6,4,0,0,서울,17.8,0,53
4.26,LG 트윈스,14,0,0,3,2,0,1,서울,17.8,0,25
4.27,LG 트윈스,11,1,4,4,0,0,1,서울,16.6,0,25
4.28,LG 트윈스,5,0,2,5,0,0,1,수원,18.1,0,38
4.29,LG 트윈스,6,0,1,6,2,0,0,수원,21.5,0,25
4.3,LG 트윈스,13,2,1,5,0,0,1,수원,20.3,0,59
5.2,LG 트윈스,6,0,0,5,2,1,0,서울,23.5,0,33
5.3,LG 트윈스,17,1,0,4,2,0,1,서울,25.9,0,25
5.4,LG 트윈스,8,0,1,7,1,3,1,서울,23.3,0,40
5.5,LG 트윈스,6,2,1,8,0,0,1,서울,22.5,0,54
5.6,LG 트윈스,6,0,2,7,1,0,1,서울,16.8,0,41
5.7,LG 트윈스,16,0,1,5,1,0,1,서울,20.7,0,19
5.1,LG 트윈스,15,2,0,7,0,0,1,대구,20.6,0,55
5.11,LG 트윈스,10,1,1,9,0,1,1,대구,27.3,0,38
5.12,LG 트윈스,9,0,1,9,0,1,0,서울,19.8,0,65
5.13,LG 트윈스,7,0,0,5,4,2,0,서울,14.8,0,82
5.14,LG 트윈스,9,1,0,5,0,0,1,서울,18.9,0,40
5.16,LG 트윈스,8,0,0,10,4,0,0,광주,20.7,0,41
5.17,LG 트윈스,8,1,1,9,0,0,0,광주,24,0,41
5.18,LG 트윈스,15,0,0,6,4,0,0,광주,26,0,39
5.19,LG 트윈스,9,1,1,8,1,1,0,서울,25,0,24
5.2,LG 트윈스,8,0,0,3,0,0,1,서울,24.3,0,30
5.21,LG 트윈스,7,0,0,8,0,0,1,서울,25.9,0,41
5.24,LG 트윈스,6,0,2,8,0,1,0,서울,27,0,39
5.25,LG 트윈스,13,0,2,5,1,2,0,서울,22.2,0,29
5.26,LG 트윈스,6,1,1,8,2,0,0,인천,19.5,0,51
5.27,LG 트윈스,5,1,0,6,2,1,0,인천,20.2,0,34
5.28,LG 트윈스,10,1,1,9,2,1,0,인천,21.8,0,70
5.3,LG 트윈스,6,0,1,7,1,0,0,서울,28.7,0,8
5.31,LG 트윈스,13,0,2,4,1,2,1,서울,27.2,0,44
6.1,LG 트윈스,11,1,0,5,1,0,1,서울,26.3,0,32
6.2,LG 트윈스,5,1,0,12,1,1,0,서울,23.5,0,32
6.3,LG 트윈스,7,0,0,7,0,0,0,서울,23.4,0,34
