day_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,location,temp,rain,humidity,,,행 레이블,평균 : H_text,평균 : HR_text,평균 : S_text,평균 : ST_text,평균 : DU_text,평균 : ER_text
4.7,LG 트윈스,9,1,1,3,2,0,1,대구,14.6,0,16,,,5-15,9.361111111,0.819444444,0.763888889,6.736111111,0.930555556,0.736111111
4.8,LG 트윈스,7,0,3,9,1,0,1,대구,22.4,0,14,,,15-25,9.341004184,0.656903766,0.757322176,6.861924686,0.751046025,0.663179916
4.11,LG 트윈스,7,0,0,8,0,2,0,서울,15.9,0,52,,,25-35,9.752327747,0.744878957,0.787709497,6.519553073,0.765363128,0.709497207
4.12,LG 트윈스,5,0,1,5,0,0,1,서울,10.3,0,35,,,35-45,12.3,1.2,0.9,6.5,1,0.7
4.13,LG 트윈스,12,1,0,9,2,0,0,서울,11.6,0,50,,,총합계,9.57064722,0.715587967,0.773928897,6.682771194,0.772105743,0.690975387
4.14,LG 트윈스,11,0,3,7,0,2,0,서울,14.9,0,46,,,,,,,,,
4.15,LG 트윈스,10,1,2,4,1,1,1,서울,18,0,35,,,,,,,,,
4.17,LG 트윈스,11,3,4,7,1,1,0,대전,20.4,0,18,,,,,,,,,
4.18,LG 트윈스,12,1,2,7,1,0,1,대전,22.3,0,23,,,,,,,,,
4.19,LG 트윈스,8,1,0,11,0,0,1,대전,17.6,0,34,,,,,,,,,
4.2,LG 트윈스,7,0,2,10,0,0,1,서울,22.3,0,32,,,,,,,,,
4.24,LG 트윈스,6,1,1,9,1,3,0,서울,25.9,0,33,,,,,,,,,
4.26,LG 트윈스,6,1,3,6,1,1,0,서울,14.3,0,34,,,,,,,,,
4.27,LG 트윈스,22,3,1,8,0,1,1,부산,18.5,0,31,,,,,,,,,
4.28,LG 트윈스,6,1,3,9,1,0,0,부산,20.7,0,57,,,,,,,,,
4.29,LG 트윈스,1,0,0,7,1,1,0,부산,17.4,0,76,,,,,,,,,
5.1,LG 트윈스,6,1,2,3,0,0,1,서울,26.6,0,31,,,,,,,,,
5.2,LG 트윈스,9,1,2,10,0,0,1,서울,25.5,0,43,,,,,,,,,
5.3,LG 트윈스,5,0,4,10,0,2,0,서울,23.3,0,39,,,,,,,,,
5.4,LG 트윈스,6,1,1,6,0,0,0,서울,23,0,32,,,,,,,,,
5.5,LG 트윈스,9,0,3,5,1,0,1,서울,22.7,0,15,,,,,,,,,
5.6,LG 트윈스,11,0,0,4,1,0,1,서울,21.4,0,18,,,,,,,,,
5.8,LG 트윈스,9,0,4,10,0,0,1,서울,26.6,0,19,,,,,,,,,
5.9,LG 트윈스,12,0,1,11,1,1,0,서울,25,0,38,,,,,,,,,
5.1,LG 트윈스,7,1,1,7,1,4,0,서울,24.4,0,35,,,,,,,,,
5.11,LG 트윈스,10,0,0,4,1,0,0,서울,17.7,0,53,,,,,,,,,
5.12,LG 트윈스,9,0,2,3,0,1,1,서울,19.5,0,51,,,,,,,,,
5.13,LG 트윈스,10,0,0,6,1,2,0,서울,23.2,0,39,,,,,,,,,
5.15,LG 트윈스,9,1,1,5,2,0,1,인천,13.4,0,86,,,,,,,,,
5.16,LG 트윈스,9,2,1,3,0,1,0,인천,16.7,0,75,,,,,,,,,
5.17,LG 트윈스,3,1,0,4,1,0,1,인천,18.2,0,56,,,,,,,,,
5.18,LG 트윈스,6,0,0,7,1,2,1,서울,22,0,31,,,,,,,,,
5.19,LG 트윈스,8,2,0,6,1,1,1,서울,23.6,0,21,,,,,,,,,
5.2,LG 트윈스,11,0,0,4,1,4,1,서울,25.3,0,35,,,,,,,,,
5.22,LG 트윈스,5,0,1,4,2,1,0,서울,26.6,0,27,,,,,,,,,
5.23,LG 트윈스,11,2,1,3,3,2,0,서울,25.7,0,24,,,,,,,,,
5.24,LG 트윈스,12,0,1,3,3,0,1,서울,22,0,47,,,,,,,,,
5.25,LG 트윈스,8,0,0,9,0,0,0,광주,23.8,0,44,,,,,,,,,
5.26,LG 트윈스,10,0,1,8,0,0,0,광주,27.4,0,22,,,,,,,,,
5.27,LG 트윈스,13,0,0,4,2,3,0,광주,27.1,0,30,,,,,,,,,
5.29,LG 트윈스,16,0,1,5,0,0,1,부산,20.8,0,71,,,,,,,,,
5.3,LG 트윈스,7,0,0,14,0,0,0,부산,19.4,0,69,,,,,,,,,
5.31,LG 트윈스,7,0,0,9,0,1,1,부산,20,0,65,,,,,,,,,
6.1,LG 트윈스,7,0,0,7,1,2,0,서울,24.9,0,28,,,,,,,,,
6.2,LG 트윈스,8,1,2,2,1,2,1,서울,25.5,0,41,,,,,,,,,
6.5,LG 트윈스,7,1,1,5,2,0,1,서울,24.2,0,57,,,,,,,,,
