day_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,location,temp,rain,humidity
4.7토,NC 다이노스,8,1,1,11,0,1,0,서울,10.2,0,23
4.8일,NC 다이노스,13,1,1,11,1,2,0,서울,13.7,0,50
4.10화,NC 다이노스,5,1,2,10,0,1,0,창원,15.7,0,66
4.11수,NC 다이노스,7,3,1,10,1,3,0,창원,19.5,0,55
4.12목,NC 다이노스,6,1,0,8,2,1,0,창원,16.4,0,44
4.13금,NC 다이노스,7,0,3,11,0,0,0,인천,9.5,0,69
4.14토,NC 다이노스,3,0,0,10,1,0,0,인천,11,0,77
4.15일,NC 다이노스,12,0,0,7,2,0,0,인천,13.8,0,52
4.17화,NC 다이노스,9,1,0,9,2,0,1,서울,18.3,0,25
4.18수,NC 다이노스,2,0,0,8,0,0,1,서울,19.6,0,23
4.19목,NC 다이노스,6,1,1,9,3,1,0,서울,19.2,0,28
4.20금,NC 다이노스,8,1,0,3,2,0,0,창원,16.9,0,61
4.21토,NC 다이노스,5,2,1,10,0,0,0,창원,15.4,5.5,87
4.22일,NC 다이노스,13,1,0,4,1,1,0,창원,17.5,0,58
4.24화,NC 다이노스,5,0,0,9,1,1,0,대구,28,0,20
4.25수,NC 다이노스,13,1,0,7,1,0,1,대구,14,0,89
4.26목,NC 다이노스,9,0,2,5,0,0,1,대구,18.4,0,16
4.27금,NC 다이노스,6,0,1,10,0,1,0,창원,18.4,0,30
4.28토,NC 다이노스,10,0,0,4,0,1,1,창원,19.5,0,50
4.29일,NC 다이노스,6,0,0,3,1,2,0,창원,18,0,76
5.1화,NC 다이노스,9,1,0,9,1,0,0,창원,20.1,0,71
5.2수,NC 다이노스,17,6,0,3,1,0,1,창원,14.5,0,97
5.3목,NC 다이노스,13,1,0,8,1,0,0,창원,14.5,0,43
5.4금,NC 다이노스,14,3,3,10,0,1,1,광주,18.6,0,21
5.5토,NC 다이노스,8,1,0,5,0,1,0,광주,22,0,47
5.6일,NC 다이노스,6,2,0,10,0,0,0,광주,17.6,0,99
5.8화,NC 다이노스,9,2,0,8,0,0,1,창원,15.5,0,63
5.9수,NC 다이노스,7,1,0,9,0,0,0,창원,14.7,0,72
5.10목,NC 다이노스,5,0,0,10,0,0,0,창원,17.7,0,74
5.11금,NC 다이노스,7,2,0,9,0,1,1,대전,21.7,0,31
5.13일,NC 다이노스,5,0,0,10,0,2,0,대전,21.2,0,69
5.15화,NC 다이노스,11,0,3,10,1,1,0,창원,22.7,0,74
5.17목,NC 다이노스,6,0,0,12,1,1,0,창원,21.8,0.2,98
5.18금,NC 다이노스,11,0,0,2,1,1,1,수원,17.2,0,89
5.19토,NC 다이노스,10,0,0,9,1,0,0,수원,23.4,0,37
5.20일,NC 다이노스,11,1,0,6,1,1,0,수원,22.3,0,28
5.22화,NC 다이노스,7,0,0,8,0,0,0,서울,17.9,2,93
5.23수,NC 다이노스,5,0,0,7,1,2,0,서울,21.7,0,40
5.24목,NC 다이노스,4,0,0,14,0,0,0,서울,22.6,0,39
5.25금,NC 다이노스,12,1,0,10,1,0,0,창원,23.4,0,39
5.26토,NC 다이노스,11,1,2,8,0,0,1,창원,22.1,0,63
5.27일,NC 다이노스,4,0,0,6,2,1,0,창원,22,0,72
5.29화,NC 다이노스,9,1,0,6,1,1,0,대전,26.6,0,60
5.30수,NC 다이노스,8,3,1,8,0,4,0,대전,24.8,0,71
5.31목,NC 다이노스,9,1,0,11,0,2,1,대전,26,0,46
6.1금,NC 다이노스,8,0,0,4,0,1,0,창원,22.9,0,47
6.2토,NC 다이노스,10,2,0,7,1,0,0,창원,25.7,0,59
6.3일,NC 다이노스,13,0,0,7,0,0,0,창원,25.1,0,59
6.5화,NC 다이노스,5,1,0,6,1,1,0,창원,20.7,0,87
6.6수,NC 다이노스,9,1,2,9,0,0,0,창원,24,0,63
6.7목,NC 다이노스,9,1,1,6,1,0,1,창원,25.5,0,73
6.8금,NC 다이노스,7,0,0,10,1,0,0,서울,26.2,0,54
6.9토,NC 다이노스,4,0,1,7,2,0,0,서울,27.3,0,42
6.10일,NC 다이노스,4,0,0,6,1,1,0,서울,24.1,0,53
6.12화,NC 다이노스,6,0,3,8,0,0,1,창원,18.6,0,80
6.13수,NC 다이노스,8,3,1,12,0,0,1,창원,19.8,0,80
6.14목,NC 다이노스,15,2,4,11,0,1,1,창원,22.2,0,69
6.15금,NC 다이노스,14,2,2,7,0,3,1,창원,21.7,0,56
6.16토,NC 다이노스,10,0,1,3,2,0,1,창원,20.4,0,68
6.17일,NC 다이노스,8,2,0,12,2,0,0,창원,24.3,0,66
6.20수,NC 다이노스,13,0,1,4,1,0,0,광주,26.2,0,66
6.21목,NC 다이노스,7,2,0,4,1,0,1,광주,28.9,0,27
6.22금,NC 다이노스,1,0,0,9,0,0,0,창원,24.9,0,52
6.23토,NC 다이노스,5,0,1,12,0,2,0,창원,25,0,66
6.24일,NC 다이노스,11,1,0,10,0,0,0,창원,29.4,0,52
6.26화,NC 다이노스,11,0,0,4,2,0,1,창원,24.1,0,97
6.27수,NC 다이노스,7,1,2,6,0,2,0,창원,24,0,95
6.28목,NC 다이노스,8,0,0,10,1,0,0,창원,21.4,0,98
6.29금,NC 다이노스,9,0,0,8,1,1,0,수원,26.8,0,76
6.30토,NC 다이노스,2,0,0,3,4,0,0,수원,24.6,1.2,95
7.3화,NC 다이노스,18,1,2,8,0,1,1,서울,21,16.5,92
7.4수,NC 다이노스,5,0,2,5,0,1,0,서울,24.9,0,76
7.5목,NC 다이노스,13,0,0,8,0,1,1,서울,22.4,0.5,91
7.6금,NC 다이노스,5,0,0,6,0,1,0,서울,19.9,2,88
7.7토,NC 다이노스,12,2,0,8,3,0,0,서울,29.2,0,47
7.8일,NC 다이노스,8,0,0,6,0,0,1,서울,28.7,0,55
7.10화,NC 다이노스,7,1,2,7,0,1,1,창원,24.8,0,78
7.11수,NC 다이노스,8,1,0,13,0,1,1,창원,25.5,0,90
7.12목,NC 다이노스,6,2,0,6,0,0,1,창원,26.8,0,73
7.17화,NC 다이노스,12,1,0,8,2,2,0,인천,25.9,0,88
7.18수,NC 다이노스,8,0,0,8,0,1,1,인천,27,0,97
7.19목,NC 다이노스,7,0,1,6,2,0,0,인천,22.1,0,100
7.20금,NC 다이노스,12,0,0,9,0,0,1,창원,29.2,0,71
7.21토,NC 다이노스,7,3,0,4,2,1,0,창원,26,0,80
7.22일,NC 다이노스,8,0,0,3,2,1,0,창원,26.6,0,79
7.24화,NC 다이노스,10,0,1,10,1,0,1,부산,29.6,0,64
7.25수,NC 다이노스,12,1,0,7,0,1,1,부산,28.6,0,70
7.26목,NC 다이노스,6,0,0,2,1,1,0,부산,30.9,0,61
7.27금,NC 다이노스,7,0,4,10,0,1,1,창원,30.1,0,70
7.28토,NC 다이노스,7,1,0,2,1,2,0,창원,31.3,0,65
7.29일,NC 다이노스,6,1,0,11,1,2,1,창원,31.4,0,64
8.1수,NC 다이노스,12,4,0,7,0,1,1,대구,34.7,0,38
8.2목,NC 다이노스,11,0,0,7,1,1,0,대구,34,0,45
8.4토,NC 다이노스,8,2,0,12,0,1,1,대전,32.9,0,67
8.5일,NC 다이노스,14,3,0,11,1,2,1,대전,33.6,0,61
8.7화,NC 다이노스,14,2,0,8,1,0,0,창원,29.5,0,77
8.8수,NC 다이노스,14,2,0,5,0,0,1,창원,28.2,0,79
8.9목,NC 다이노스,10,3,0,9,0,1,1,창원,28.6,0,81
8.10금,NC 다이노스,10,2,0,7,1,2,0,창원,27,0,91
8.11토,NC 다이노스,10,1,1,7,0,0,1,대구,27.8,0,66
8.12일,NC 다이노스,8,1,0,10,1,1,0,대구,31.3,0,63
8.14화,NC 다이노스,7,0,1,7,2,0,0,수원,33.7,0,53
8.15수,NC 다이노스,19,5,1,5,2,0,1,수원,35,0,56
8.16목,NC 다이노스,10,1,0,9,2,0,0,수원,31.5,0,47
9.4화,NC 다이노스,6,1,0,6,2,2,0,창원,27,0,67
9.5수,NC 다이노스,2,1,0,8,2,1,0,창원,26,0,78
9.6목,NC 다이노스,9,2,0,7,1,2,0,서울,25.8,0,58
9.7금,NC 다이노스,15,0,1,9,1,1,1,서울,24.4,0,34
9.8토,NC 다이노스,11,1,0,2,1,0,1,창원,21,0,76
9.9일,NC 다이노스,16,2,2,8,0,1,1,창원,24.5,0,62
9.11화,NC 다이노스,11,0,3,5,4,0,1,창원,22.5,0,59
9.12수,NC 다이노스,9,3,0,8,0,0,1,창원,24.6,0,78
9.14금,NC 다이노스,10,1,0,6,1,0,1,창원,23.2,0,95
9.15토,NC 다이노스,14,2,0,4,0,3,1,서울,24.2,0,76
9.16일,NC 다이노스,5,0,1,3,1,0,0,서울,21.5,0,89
9.18화,NC 다이노스,13,0,1,7,2,0,1,창원,24.5,0,91
9.19수,NC 다이노스,9,0,0,6,1,2,0,창원,23.1,0,93
