day_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,location,temp,rain,humidity,,,행 레이블,평균 : temp
4.7,삼성 라이온즈,8,1,0,4,0,0,0,대구,14.6,0,16,,,5-15,12.3
4.8,삼성 라이온즈,9,0,3,6,1,0,0,대구,22.4,0,14,,,15-25,21.2
4.11,삼성 라이온즈,1,0,1,11,0,1,0,광주,11.8,0,71,,,25-35,28.7
4.12,삼성 라이온즈,12,0,0,4,0,1,1,광주,14.5,0,32,,,35-45,35.6
4.13,삼성 라이온즈,7,0,2,4,1,0,1,서울,11.6,0,50,,,총합계,24.6
4.14,삼성 라이온즈,7,0,1,2,0,1,1,대구,22.5,0,18,,,,
4.15,삼성 라이온즈,14,1,2,4,1,0,0,대구,24.8,0,16,,,,
4.17,삼성 라이온즈,5,0,1,5,0,0,0,서울,18.3,0,25,,,,
4.18,삼성 라이온즈,6,0,1,9,0,0,0,서울,19.6,0,23,,,,
4.19,삼성 라이온즈,3,2,1,9,1,0,0,서울,19.2,0,28,,,,
4.2,삼성 라이온즈,11,3,2,6,0,1,1,대전,19.5,0,45,,,,
4.22,삼성 라이온즈,9,2,2,3,1,0,1,대전,10.6,0,78,,,,
4.24,삼성 라이온즈,6,0,3,6,0,0,0,대구,28,0,20,,,,
4.26,삼성 라이온즈,9,2,2,2,0,0,1,대구,18.4,0,16,,,,
4.27,삼성 라이온즈,5,2,0,4,0,2,0,인천,17,0,25,,,,
4.28,삼성 라이온즈,13,1,1,9,2,2,0,인천,16.8,0,54,,,,
4.29,삼성 라이온즈,12,1,2,6,0,1,1,인천,20.9,0,54,,,,
5.2,삼성 라이온즈,6,0,0,8,1,0,0,대구,18,0,89,,,,
5.3,삼성 라이온즈,10,0,2,8,1,0,1,대구,18.6,0.3,82,,,,
5.4,삼성 라이온즈,3,0,1,5,1,0,0,대구,28,0,24,,,,
5.5,삼성 라이온즈,11,0,1,5,0,0,1,대구,27.5,0,16,,,,
5.6,삼성 라이온즈,7,0,4,3,1,1,0,대구,24.9,0,15,,,,
5.8,삼성 라이온즈,11,0,0,10,1,0,1,부산,20.4,0,77,,,,
5.9,삼성 라이온즈,11,0,1,2,1,1,1,부산,18.1,0,71,,,,
5.11,삼성 라이온즈,15,0,1,4,1,0,1,서울,17.7,0,53,,,,
5.12,삼성 라이온즈,6,0,0,7,1,1,0,서울,19.5,0,51,,,,
5.13,삼성 라이온즈,9,0,0,5,2,0,1,서울,23.2,0,39,,,,
5.15,삼성 라이온즈,10,0,3,2,2,1,1,대구,24.2,0,24,,,,
