지점명,일시,기온(°C),강수량(mm),습도(%)
서울,2014-04-01,19.2,,25
서울,2014-04-02,18.7,,21
서울,2014-04-03,10.1,,61
서울,2014-04-04,8.5,,37
서울,2014-04-05,6.5,0,71
서울,2014-04-06,10.7,,39
서울,2014-04-07,13.4,,54
서울,2014-04-08,17.2,,27
서울,2014-04-09,13.1,,75
서울,2014-04-10,17.6,,56
서울,2014-04-11,15.7,,67
서울,2014-04-12,15.6,,64
서울,2014-04-13,19.7,,48
서울,2014-04-14,19.3,,40
서울,2014-04-15,15.7,,71
서울,2014-04-16,18.6,,63
서울,2014-04-17,19.2,,37
서울,2014-04-18,19.6,,41
서울,2014-04-19,15.7,,51
서울,2014-04-20,16.9,,46
서울,2014-04-21,18.3,,34
서울,2014-04-22,20.4,,24
서울,2014-04-23,22.8,,32
서울,2014-04-24,23.2,,22
서울,2014-04-25,23.1,,22
서울,2014-04-26,20.6,,35
서울,2014-04-27,16.9,0,70
서울,2014-04-28,14.9,0,78
서울,2014-04-29,16.8,,62
서울,2014-04-30,19.8,,54
서울,2014-05-01,20,,45
서울,2014-05-02,14.9,0,93
서울,2014-05-03,17.1,,43
서울,2014-05-04,12.3,0.1,75
서울,2014-05-05,13.2,,42
서울,2014-05-06,16.7,,29
서울,2014-05-07,18.9,,37
서울,2014-05-08,16.1,,73
서울,2014-05-09,23,,31
서울,2014-05-10,25.8,,35
서울,2014-05-11,21.1,0.3,59
서울,2014-05-12,19.3,,59
서울,2014-05-13,23.9,,46
서울,2014-05-14,22.8,,45
서울,2014-05-15,21,,41
서울,2014-05-16,23.1,,28
서울,2014-05-17,25,,33
서울,2014-05-18,24.9,,39
서울,2014-05-19,22.2,,52
서울,2014-05-20,27.5,,30
서울,2014-05-21,22.6,,57
서울,2014-05-22,26.4,,37
서울,2014-05-23,24.8,,65
서울,2014-05-24,22.2,,70
서울,2014-05-25,19.1,0,97
서울,2014-05-26,23.4,,36
서울,2014-05-27,27,,40
서울,2014-05-28,26.9,,59
서울,2014-05-29,28.7,,33
서울,2014-05-30,29.6,,36
서울,2014-05-31,29.3,,46
서울,2014-06-01,26.3,,63
서울,2014-06-02,22.7,0.5,83
서울,2014-06-03,18.9,4.5,100
서울,2014-06-04,25.3,,53
서울,2014-06-05,24.2,,56
서울,2014-06-06,28.8,,51
서울,2014-06-07,25.8,,55
서울,2014-06-08,22.5,,72
서울,2014-06-09,25.5,,63
서울,2014-06-10,23.9,1,86
서울,2014-06-11,18.3,0,96
서울,2014-06-12,21.9,,74
서울,2014-06-13,24.8,,66
서울,2014-06-14,26.1,,58
서울,2014-06-15,26.8,,48
서울,2014-06-16,27.9,,46
서울,2014-06-17,26.5,,63
서울,2014-06-18,27.1,,63
서울,2014-06-19,23.5,0,76
서울,2014-06-20,26,0.2,77
서울,2014-06-21,25.7,0,73
서울,2014-06-22,27.3,,63
서울,2014-06-23,21.4,,86
서울,2014-06-24,26.3,,50
서울,2014-06-25,26.5,,61
서울,2014-06-26,27.3,,50
서울,2014-06-27,26.3,,59
서울,2014-06-28,25,,64
서울,2014-06-29,28.2,,54
서울,2014-06-30,29.1,,50
서울,2014-07-01,30.4,,56
서울,2014-07-02,26.7,,76
서울,2014-07-03,24,,76
서울,2014-07-04,31.6,,41
서울,2014-07-05,27.4,,66
서울,2014-07-06,28.1,,52
서울,2014-07-07,31.5,,54
서울,2014-07-08,29.1,,61
서울,2014-07-09,27.3,0,82
서울,2014-07-10,33.3,,30
서울,2014-07-11,29,,60
서울,2014-07-12,26.6,,71
서울,2014-07-13,26.3,,74
서울,2014-07-14,29.7,,54
서울,2014-07-15,29.5,,59
서울,2014-07-16,31.2,,46
서울,2014-07-17,27.6,0,74
서울,2014-07-18,29.7,,62
서울,2014-07-19,29.3,,71
서울,2014-07-20,29.4,,70
서울,2014-07-21,30,,62
서울,2014-07-22,25.9,0.2,85
서울,2014-07-23,23.4,0,89
서울,2014-07-24,24.5,,74
서울,2014-07-25,32.8,,52
서울,2014-07-26,24,,68
서울,2014-07-27,28.4,,68
서울,2014-07-28,29.2,,67
서울,2014-07-29,29.2,,63
서울,2014-07-30,33,,55
서울,2014-07-31,30.4,1.5,82
서울,2014-08-01,33.5,,51
서울,2014-08-02,32.5,,55
서울,2014-08-03,26.1,1.5,100
서울,2014-08-04,29.2,,80
서울,2014-08-05,28.4,,79
서울,2014-08-06,23.6,4,100
서울,2014-08-07,26.7,,79
서울,2014-08-08,29.5,,48
서울,2014-08-09,29.1,,38
서울,2014-08-10,20.8,19,100
서울,2014-08-11,26.9,,68
서울,2014-08-12,29,,61
서울,2014-08-13,24.7,0,61
서울,2014-08-14,22.3,,80
서울,2014-08-15,28.8,,62
서울,2014-08-16,28.9,,65
서울,2014-08-17,23.8,0,80
서울,2014-08-18,23.3,,85
서울,2014-08-19,24.6,,88
서울,2014-08-20,27,,75
서울,2014-08-21,23.7,,87
서울,2014-08-22,26.6,,71
서울,2014-08-23,27.5,,67
서울,2014-08-24,27.5,,68
서울,2014-08-25,27.3,,64
서울,2014-08-26,25.8,1,85
서울,2014-08-27,27.5,,60
서울,2014-08-28,28.8,,53
서울,2014-08-29,27.3,0,62
서울,2014-08-30,27.3,,69
서울,2014-08-31,26.7,,57
서울,2014-09-01,26.7,,65
서울,2014-09-02,25,,65
서울,2014-09-03,20.4,,100
서울,2014-09-04,24.8,,66
서울,2014-09-05,25.9,,65
서울,2014-09-06,29.1,,54
서울,2014-09-07,27.7,,63
서울,2014-09-08,27.3,,54
서울,2014-09-09,24.6,,44
서울,2014-09-10,26.5,,42
서울,2014-09-11,26.7,,49
서울,2014-09-12,21.2,0.1,84
서울,2014-09-13,27,,45
서울,2014-09-14,25.3,,56
서울,2014-09-15,24.9,,57
서울,2014-09-16,23.1,,35
서울,2014-09-17,22,,52
서울,2014-09-18,24.8,,43
서울,2014-09-19,25.5,,38
서울,2014-09-20,25.9,,27
서울,2014-09-21,24.1,,47
서울,2014-09-22,26.1,,36
서울,2014-09-23,25.7,,35
서울,2014-09-24,22.2,,67
서울,2014-09-25,25.3,,58
서울,2014-09-26,21.5,0,84
서울,2014-09-27,23.1,,74
서울,2014-09-28,23.5,,75
서울,2014-09-29,19.2,,96
서울,2014-09-30,20.6,,60
서울,2014-10-01,22.2,,60
서울,2014-10-02,18,1,99
서울,2014-10-03,18.5,,60
서울,2014-10-04,19.7,,49
서울,2014-10-05,20.6,,46
서울,2014-10-06,19.9,,45
서울,2014-10-07,18.3,,46
서울,2014-10-08,20.3,,54
서울,2014-10-09,22.1,,46
서울,2014-10-10,22,,58
서울,2014-10-11,23.1,,49
서울,2014-10-12,25.8,,35
서울,2014-10-13,15.5,,54
서울,2014-10-14,16.3,,43
서울,2014-10-15,15.3,,49
서울,2014-10-16,14.9,,26
서울,2014-10-17,16.9,,48
