지점,지점명,일시,기온(°C),강수량(mm),습도(%)
108,서울,2019-04-01 18:00,8.7,,32
108,서울,2019-04-02 18:00,9.8,,22
108,서울,2019-04-03 18:00,10.6,,25
108,서울,2019-04-04 18:00,12.3,,26
108,서울,2019-04-05 18:00,15,,15
108,서울,2019-04-06 18:00,9.9,0.1,42
108,서울,2019-04-07 18:00,17.6,,18
108,서울,2019-04-08 18:00,13.8,,30
108,서울,2019-04-09 18:00,7.4,1.9,83
108,서울,2019-04-10 18:00,9.9,,65
108,서울,2019-04-11 18:00,12.9,,36
108,서울,2019-04-12 18:00,14.9,,29
108,서울,2019-04-13 18:00,15.4,,18
108,서울,2019-04-14 18:00,12.7,,24
108,서울,2019-04-15 18:00,16.8,,17
108,서울,2019-04-16 18:00,20,,12
108,서울,2019-04-17 18:00,18.6,,43
108,서울,2019-04-18 18:00,12.7,,83
108,서울,2019-04-19 18:00,18.9,,34
108,서울,2019-04-20 18:00,16.1,,66
108,서울,2019-04-21 18:00,18,,59
108,서울,2019-04-22 18:00,25.8,,29
108,서울,2019-04-23 18:00,23.3,,50
108,서울,2019-04-24 18:00,22.8,,51
108,서울,2019-04-25 18:00,10.2,0.1,93
108,서울,2019-04-26 18:00,9.2,0,81
108,서울,2019-04-27 18:00,16.1,,37
108,서울,2019-04-28 18:00,14.5,,40
108,서울,2019-04-29 18:00,17.3,,38
108,서울,2019-04-30 18:00,19.6,,38
108,서울,2019-05-01 18:00,19.6,,48
108,서울,2019-05-02 18:00,20.3,,21
108,서울,2019-05-03 18:00,23.7,,25
108,서울,2019-05-04 18:00,24.7,,22
108,서울,2019-05-05 18:00,22.3,,19
108,서울,2019-05-06 18:00,18.2,,27
108,서울,2019-05-07 18:00,18.5,,26
108,서울,2019-05-08 18:00,19.1,,41
108,서울,2019-05-09 18:00,21.1,,19
108,서울,2019-05-10 18:00,22.1,,38
108,서울,2019-05-11 18:00,25.8,,27
108,서울,2019-05-12 18:00,26.6,,29
108,서울,2019-05-13 18:00,19.9,,47
108,서울,2019-05-14 18:00,24.2,,32
108,서울,2019-05-15 18:00,25.3,,39
108,서울,2019-05-16 18:00,28.1,,27
108,서울,2019-05-17 18:00,27,,35
108,서울,2019-05-18 18:00,25,,40
108,서울,2019-05-19 18:00,20.2,4.1,96
108,서울,2019-05-20 18:00,17.3,,44
108,서울,2019-05-21 18:00,21,,33
108,서울,2019-05-22 18:00,23.6,,30
108,서울,2019-05-23 18:00,28.2,,19
108,서울,2019-05-24 18:00,30.4,,40
108,서울,2019-05-25 18:00,27.1,,31
108,서울,2019-05-26 18:00,27.1,,23
108,서울,2019-05-27 18:00,16,0.1,96
108,서울,2019-05-28 18:00,23,,22
108,서울,2019-05-29 18:00,24.9,,30
108,서울,2019-05-30 18:00,21,,50
108,서울,2019-05-31 18:00,21.2,,44
108,서울,2019-06-01 18:00,23.1,,47
108,서울,2019-06-02 18:00,25.2,,22
108,서울,2019-06-03 18:00,29.2,,32
108,서울,2019-06-04 18:00,26,,50
108,서울,2019-06-05 18:00,25.8,,55
108,서울,2019-06-06 18:00,22.2,0,74
108,서울,2019-06-07 18:00,24.3,,52
108,서울,2019-06-08 18:00,24.5,,49
108,서울,2019-06-09 18:00,23.7,,64
108,서울,2019-06-10 18:00,21.4,,50
108,서울,2019-06-11 18:00,23.9,,42
108,서울,2019-06-12 18:00,24.8,,43
108,서울,2019-06-13 18:00,27.6,,36
108,서울,2019-06-14 18:00,26.7,,42
108,서울,2019-06-15 18:00,26.1,,47
108,서울,2019-06-16 18:00,26,,44
108,서울,2019-06-17 18:00,25.1,,43
108,서울,2019-06-18 18:00,22.8,,69
108,서울,2019-06-19 18:00,23.1,0,74
108,서울,2019-06-20 18:00,24.9,,59
108,서울,2019-06-21 18:00,25.1,,66
108,서울,2019-06-22 18:00,28.8,,32
108,서울,2019-06-23 18:00,29.6,,36
108,서울,2019-06-24 18:00,28.8,,38
108,서울,2019-06-25 18:00,29.7,,42
108,서울,2019-06-26 18:00,28.1,,46
108,서울,2019-06-27 18:00,28.2,,60
108,서울,2019-06-28 18:00,26.3,,62
108,서울,2019-06-29 18:00,26.8,,57
108,서울,2019-06-30 18:00,25.1,,74
108,서울,2019-07-01 18:00,27.2,,48
108,서울,2019-07-02 18:00,28.4,,47
108,서울,2019-07-03 18:00,26,,49
108,서울,2019-07-04 18:00,29.3,,31
108,서울,2019-07-05 18:00,32.3,,37
108,서울,2019-07-06 18:00,34.2,,28
108,서울,2019-07-07 18:00,29,,35
108,서울,2019-07-08 18:00,28.2,,40
108,서울,2019-07-09 18:00,28.2,,38
