day_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,지점명,기온(°C),강수량(mm),습도(%)
4.1,NC 다이노스,6,0,0,9,0,2,패,광주,19,0,33
4.1,KIA 타이거즈,4,0,0,8,0,0,승,광주,19,0,33
4.1,두산 베어스,3,0,3,4,0,0,패,서울,19.2,0,25
4.1,키움 히어로즈,13,2,0,8,1,1,승,서울,19.2,0,25
4.1,SK 와이번스,15,0,3,7,0,2,승,서울,19.2,0,25
4.1,LG 트윈스,10,2,2,9,2,2,패,서울,19.2,0,25
4.1,삼성 라이온즈,10,2,0,6,0,0,승,대전,21.4,0,25
4.1,한화 이글스,9,1,1,7,1,0,패,대전,21.4,0,25
4.2,NC 다이노스,12,1,5,1,2,1,승,광주,20.2,0,26
4.2,KIA 타이거즈,9,1,2,8,0,0,패,광주,20.2,0,26
4.2,두산 베어스,15,3,0,5,0,0,승,서울,18.7,0,21
4.2,키움 히어로즈,10,2,0,3,1,2,패,서울,18.7,0,21
4.2,SK 와이번스,8,0,0,7,0,3,패,서울,18.7,0,21
4.2,LG 트윈스,11,0,4,3,0,0,승,서울,18.7,0,21
4.2,삼성 라이온즈,10,1,2,2,1,2,패,대전,22.1,0,29
4.2,한화 이글스,14,3,0,6,2,0,승,대전,22.1,0,29
4.3,NC 다이노스,11,2,1,4,0,1,승,광주,11.8,0,65
4.3,KIA 타이거즈,9,1,1,8,2,0,패,광주,11.8,0,65
4.3,두산 베어스,6,0,2,8,0,1,패,서울,10.1,0,61
4.3,키움 히어로즈,8,0,1,7,2,0,승,서울,10.1,0,61
4.3,SK 와이번스,10,2,2,5,0,1,승,서울,10.1,0,61
4.3,LG 트윈스,10,2,0,8,1,2,패,서울,10.1,0,61
4.4,한화 이글스,7,1,0,8,0,4,패,인천,7.3,0,56
4.4,SK 와이번스,14,2,1,5,2,1,승,인천,7.3,0,56
4.4,KIA 타이거즈,12,0,4,9,0,0,승,서울,8.5,0,37
4.4,두산 베어스,6,0,0,5,1,1,패,서울,8.5,0,37
4.4,삼성 라이온즈,8,0,0,5,2,0,패,부산,11.2,0,46
4.4,롯데 자이언츠,7,0,0,5,1,0,승,부산,11.2,0,46
