day_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,지점명,기온(°C),강수량(mm),습도(%)
5.1,LG 트윈스,8,1,2,5,1,4,패,창원,20.2,0,58
5.1,NC 다이노스,12,0,1,4,1,1,승,창원,20.2,0,58
5.1,롯데 자이언츠,7,0,1,8,0,0,패,대전,20.7,0,51
5.1,한화 이글스,8,0,0,7,0,1,승,대전,20.7,0,51
5.1,SK 와이번스,10,0,1,8,2,8,패,광주,20.8,0,36
5.1,KIA 타이거즈,21,1,2,3,0,0,승,광주,20.8,0,36
5.1,키움 히어로즈,8,1,0,10,0,0,승,서울,20,0,45
5.1,두산 베어스,8,1,2,5,1,0,패,서울,20,0,45
5.3,롯데 자이언츠,11,0,3,9,1,1,승,인천,13.4,0,51
5.3,SK 와이번스,13,1,2,9,1,0,패,인천,13.4,0,51
5.3,NC 다이노스,13,0,2,6,0,0,승,대구,21.6,0,15
5.3,삼성 라이온즈,8,0,0,6,0,1,패,대구,21.6,0,15
5.3,두산 베어스,7,1,0,5,0,0,승,서울,17.1,0,43
5.3,LG 트윈스,7,1,0,5,0,1,패,서울,17.1,0,43
5.3,키움 히어로즈,7,1,1,5,2,1,승,광주,20.1,0,24
5.3,KIA 타이거즈,10,0,4,6,1,0,패,광주,20.1,0,24
5.4,롯데 자이언츠,18,4,2,5,1,0,승,인천,10.4,0.3,89
5.4,SK 와이번스,6,1,0,6,0,2,패,인천,10.4,0.3,89
5.4,NC 다이노스,8,0,0,6,1,0,패,대구,20,0,28
5.4,삼성 라이온즈,9,0,3,2,1,0,승,대구,20,0,28
5.4,두산 베어스,2,0,0,7,0,0,패,서울,12.3,0.1,75
5.4,LG 트윈스,15,0,1,5,0,1,승,서울,12.3,0.1,75
5.4,키움 히어로즈,14,3,1,3,0,2,패,광주,16.2,0,50
5.4,KIA 타이거즈,14,1,1,6,2,2,승,광주,16.2,0,50
5.5,롯데 자이언츠,9,1,1,11,1,0,패,인천,11.4,0,79
5.5,SK 와이번스,12,1,3,10,2,2,승,인천,11.4,0,79
5.5,NC 다이노스,9,0,2,4,0,1,패,대구,17.9,0,15
