day_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,,지점명,기온(°C),강수량(mm),습도(%)
10.1,NC 다이노스,17,0,1,7,1,3,패,41913,서울,22.2,0,60
10.1,두산 베어스,15,0,0,6,0,0,승,41913,서울,22.2,0,60
10.3,NC 다이노스,5,1,1,3,0,1,패,41915,서울,18.5,0,60
10.3,LG 트윈스,10,0,0,8,1,1,승,41915,서울,18.5,0,60
10.6,LG 트윈스,2,0,0,7,1,0,패,41918,서울,19.9,0,45
10.6,키움 히어로즈,9,1,0,7,1,0,승,41918,서울,19.9,0,45
10.7,LG 트윈스,13,1,0,4,0,1,패,41919,서울,18.3,0,46
10.7,키움 히어로즈,10,1,1,7,0,0,승,41919,서울,18.3,0,46
10.9,키움 히어로즈,6,0,0,6,0,1,패,41921,서울,22.1,0,46
10.9,LG 트윈스,6,2,0,3,0,0,승,41921,서울,22.1,0,46
10.1,키움 히어로즈,10,1,2,7,0,2,승,41913,서울,22.2,0,60
10.1,LG 트윈스,13,1,0,6,1,1,패,41913,서울,22.2,0,60
10.1,키움 히어로즈,13,0,1,16,0,0,승,41913,인천,20.5,0,96
10.1,SK 와이번스,6,0,0,8,0,0,패,41913,인천,20.5,0,96
10.1,키움 히어로즈,14,1,1,13,1,0,승,41913,인천,20.5,0,96
10.1,SK 와이번스,8,3,1,6,0,1,패,41913,인천,20.5,0,96
10.1,SK 와이번스,8,0,0,11,1,1,패,41913,서울,22.2,0,60
10.1,키움 히어로즈,13,0,1,4,0,2,승,41913,서울,22.2,0,60
10.2,키움 히어로즈,9,0,2,6,1,3,패,41914,서울,18,1,99
10.2,두산 베어스,12,0,1,5,1,1,승,41914,서울,18,1,99
10.2,키움 히어로즈,9,0,0,6,2,1,패,41914,서울,18,1,99
10.2,두산 베어스,9,1,0,8,1,1,승,41914,서울,18,1,99
10.2,두산 베어스,8,1,2,11,0,0,승,41914,서울,18,1,99
10.2,키움 히어로즈,4,0,0,2,1,2,패,41914,서울,18,1,99
10.2,두산 베어스,14,0,1,11,1,3,승,41914,서울,18,1,99
10.2,키움 히어로즈,12,0,0,4,1,0,패,41914,서울,18,1,99
