day_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,game_location,기온(°C),강수량(mm),습도(%),,,,,,,,
8.2,한화 이글스,16,0,1,4,0,0,패,광주,28.6,0,0,,,,,,,,
8.2,KIA 타이거즈,13,1,2,11,0,1,승,광주,28.6,0,0,,,,,,,,
8.2,LG 트윈스,7,1,0,6,1,3,패,서울,27.1,0,0,,,,,,,,
8.2,두산 베어스,13,0,0,5,1,0,승,서울,27.1,0,0,,,,,,,,
8.3,한화 이글스,13,0,0,5,2,1,승,광주,25.5,5.4,0,,,,,,,,
8.3,KIA 타이거즈,6,0,0,7,2,2,패,광주,25.5,5.4,0,,,,,,,,
8.3,LG 트윈스,11,1,1,8,0,0,승,서울,33.3,0,0,,,,,,,,
8.3,두산 베어스,8,2,4,11,0,0,패,서울,33.3,0,0,,,,,,,,
8.3,삼성 라이온즈,7,1,2,3,1,1,패,인천,30.5,0,0,,,,,,,,
8.3,SK 와이번스,13,1,0,6,0,2,승,인천,30.5,0,0,,,,,,,,
8.3,키움 히어로즈,14,1,1,6,2,1,패,부산,28.4,0,0,,,,,,,,
8.3,롯데 자이언츠,9,1,0,4,0,2,승,부산,28.4,0,0,,,,,,,,
8.4,한화 이글스,14,0,0,7,1,2,패,광주,31.1,0,0,,,,,,,,
8.4,KIA 타이거즈,8,1,3,6,0,1,승,광주,31.1,0,0,,,,,,,,
8.4,kt wiz,4,0,0,11,0,1,패,창원,28.8,0,0,,,,,,,,
8.4,NC 다이노스,12,2,0,7,0,0,승,창원,28.8,0,0,,,,,,,,
8.4,LG 트윈스,18,2,1,5,0,0,승,서울,35,0,0,,,,,,,,
8.4,두산 베어스,14,0,0,8,2,0,패,서울,35,0,0,,,,,,,,
8.4,삼성 라이온즈,10,1,0,10,1,2,승,인천,31.9,0,0,,,,,,,,
8.4,SK 와이번스,9,1,3,12,0,2,패,인천,31.9,0,0,,,,,,,,
8.4,키움 히어로즈,10,2,1,14,0,0,승,부산,29.2,0,0,,,,,,,,
8.4,롯데 자이언츠,8,2,1,8,0,0,패,부산,29.2,0,0,,,,,,,,
8.5,KIA 타이거즈,9,2,1,5,1,1,패,대구,33,0,0,,,,,,,,
8.5,삼성 라이온즈,13,2,0,3,1,2,승,대구,33,0,0,,,,,,,,
8.5,kt wiz,4,0,0,5,1,1,패,서울,35.1,0,0,,,,,,,,
8.5,LG 트윈스,14,1,2,13,0,0,승,서울,35.1,0,0,,,,,,,,
8.5,NC 다이노스,9,0,0,6,0,1,패,대전,34,0,0,,,,,,,,
8.5,한화 이글스,19,1,1,5,0,0,승,대전,34,0,0,,,,,,,,
8.5,두산 베어스,7,0,1,4,3,1,패,부산,29,0,0,,,,,,,,
8.5,롯데 자이언츠,6,1,3,7,2,0,승,부산,29,0,0,,,,,,,,
8.5,SK 와이번스,13,4,0,8,0,1,승,서울,35.1,0,0,,,,,,,,
8.5,키움 히어로즈,10,1,1,1,2,1,패,서울,35.1,0,0,,,,,,,,
8.6,KIA 타이거즈,16,4,0,4,1,1,승,대구,33.1,0,0,,,,,,,,
8.6,삼성 라이온즈,11,0,0,10,0,1,패,대구,33.1,0,0,,,,,,,,
8.6,kt wiz,9,0,0,7,1,0,패,서울,33.5,0,0,,,,,,,,
8.6,LG 트윈스,12,0,1,4,2,0,승,서울,33.5,0,0,,,,,,,,
8.6,NC 다이노스,16,2,1,4,0,0,승,대전,33.1,0,0,,,,,,,,
8.6,한화 이글스,7,0,0,6,0,0,패,대전,33.1,0,0,,,,,,,,
8.6,두산 베어스,4,0,1,2,1,1,패,부산,30.2,0,0,,,,,,,,
8.6,롯데 자이언츠,13,2,2,8,0,0,승,부산,30.2,0,0,,,,,,,,
8.6,SK 와이번스,16,1,3,4,1,0,승,서울,33.5,0,0,,,,,,,,
8.6,키움 히어로즈,12,2,0,5,2,2,패,서울,33.5,0,0,,,,,,,,
8.7,KIA 타이거즈,11,1,1,6,0,1,패,대구,32.9,0,0,,,,,,,,
8.7,삼성 라이온즈,16,0,2,7,1,1,승,대구,32.9,0,0,,,,,,,,
8.7,kt wiz,13,1,0,8,0,2,패,서울,33.5,0,0,,,,,,,,
8.7,LG 트윈스,15,2,1,6,1,1,승,서울,33.5,0,0,,,,,,,,
