day_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,location,temp,rain,humidity
5.1,한화 이글스,9,0,0,3,2,0,패,서울,26.6,0,31
5.1,LG 트윈스,6,1,2,3,0,0,승,서울,26.6,0,31
5.1,롯데 자이언츠,16,0,1,6,0,0,승,서울,26.6,0,31
5.1,키움 히어로즈,3,0,1,1,2,2,패,서울,26.6,0,31
5.2,한화 이글스,8,1,1,4,4,3,패,서울,25.5,0,43
5.2,LG 트윈스,9,1,2,10,0,0,승,서울,25.5,0,43
5.2,롯데 자이언츠,7,1,0,8,1,0,패,서울,25.5,0,43
5.2,키움 히어로즈,11,3,0,4,0,0,승,서울,25.5,0,43
5.2,두산 베어스,8,0,2,6,0,1,승,대구,18,0,89
5.2,삼성 라이온즈,6,0,0,8,1,0,패,대구,18,0,89
5.3,한화 이글스,6,0,0,3,1,0,승,서울,23.3,0,39
5.3,LG 트윈스,5,0,4,10,0,2,패,서울,23.3,0,39
5.3,롯데 자이언츠,10,0,1,6,1,0,승,서울,23.3,0,39
5.3,키움 히어로즈,7,0,3,5,0,0,패,서울,23.3,0,39
5.3,두산 베어스,6,0,0,2,1,0,패,대구,18.6,0.3,82
5.3,삼성 라이온즈,10,0,2,8,1,0,승,대구,18.6,0.3,82
5.3,SK 와이번스,11,1,2,9,3,0,무,광주,21.6,0,60
5.3,KIA 타이거즈,12,1,0,8,3,0,무,광주,21.6,0,60
5.4,한화 이글스,11,0,1,7,0,0,승,대구,28,0,24
5.4,삼성 라이온즈,3,0,1,5,1,0,패,대구,28,0,24
5.4,롯데 자이언츠,11,0,0,8,2,0,패,인천,17.8,0,52
5.4,SK 와이번스,8,3,0,13,0,0,승,인천,17.8,0,52
5.4,두산 베어스,8,0,2,5,2,0,승,서울,23,0,32
5.4,LG 트윈스,6,1,1,6,0,0,패,서울,23,0,32
5.4,키움 히어로즈,9,1,2,3,2,1,무,광주,25.1,0,40
5.4,KIA 타이거즈,6,0,0,14,0,1,무,광주,25.1,0,40
5.5,롯데 자이언츠,9,0,1,4,2,0,승,인천,18.5,0,34
5.5,SK 와이번스,6,0,0,7,1,1,패,인천,18.5,0,34
5.5,한화 이글스,7,0,0,6,0,0,패,대구,27.5,0,16
5.5,삼성 라이온즈,11,0,1,5,0,0,승,대구,27.5,0,16
5.5,두산 베어스,10,0,1,3,2,3,패,서울,22.7,0,15
5.5,LG 트윈스,9,0,3,5,1,0,승,서울,22.7,0,15
5.5,키움 히어로즈,10,0,0,4,0,1,패,광주,22.8,0,38
5.5,KIA 타이거즈,12,0,3,4,1,1,승,광주,22.8,0,38
5.6,한화 이글스,14,0,3,5,0,0,승,대구,24.9,0,15
5.6,삼성 라이온즈,7,0,4,3,1,1,패,대구,24.9,0,15
5.6,롯데 자이언츠,3,2,0,10,1,0,패,인천,15.6,0,47
5.6,SK 와이번스,9,3,1,8,1,0,승,인천,15.6,0,47
5.6,두산 베어스,11,0,0,2,2,2,패,서울,21.4,0,18
5.6,LG 트윈스,11,0,0,4,1,0,승,서울,21.4,0,18
5.6,키움 히어로즈,11,2,0,5,0,1,패,광주,24,0,28
5.6,KIA 타이거즈,18,1,3,2,1,2,승,광주,24,0,28
5.8,KIA 타이거즈,7,0,2,15,0,1,패,대전,25.9,0,41
5.8,한화 이글스,8,1,1,1,2,0,승,대전,25.9,0,41
5.8,LG 트윈스,9,0,4,10,0,0,승,서울,26.6,0,19
5.8,키움 히어로즈,6,1,0,7,0,1,패,서울,26.6,0,19
5.8,SK 와이번스,7,0,0,7,1,0,승,서울,26.6,0,19
5.8,두산 베어스,5,0,0,5,4,0,패,서울,26.6,0,19
5.8,삼성 라이온즈,11,0,0,10,1,0,승,부산,20.4,0,77
5.8,롯데 자이언츠,4,0,1,6,0,2,패,부산,20.4,0,77
5.9,KIA 타이거즈,11,2,3,10,1,0,승,대전,26.1,0,26
5.9,한화 이글스,8,1,0,8,2,1,패,대전,26.1,0,26
5.9,LG 트윈스,12,0,1,11,1,1,패,서울,25,0,38
5.9,키움 히어로즈,13,2,5,5,0,0,승,서울,25,0,38
5.9,SK 와이번스,14,2,0,5,1,0,승,서울,25,0,38
5.9,두산 베어스,9,1,1,3,3,0,패,서울,25,0,38
5.9,삼성 라이온즈,11,0,1,2,1,1,승,부산,18.1,0,71
5.9,롯데 자이언츠,10,0,2,7,1,0,패,부산,18.1,0,71
5.1,KIA 타이거즈,7,0,5,5,2,0,승,대전,22.7,0,50
5.1,한화 이글스,5,0,0,8,1,1,패,대전,22.7,0,50
5.1,LG 트윈스,7,1,1,7,1,4,패,서울,24.4,0,35
5.1,키움 히어로즈,6,0,0,5,2,0,승,서울,24.4,0,35
5.1,SK 와이번스,11,1,2,3,1,2,패,서울,24.4,0,35
5.1,두산 베어스,15,1,2,5,1,1,승,서울,24.4,0,35
5.1,삼성 라이온즈,8,2,4,10,1,1,무,부산,15.3,0,67
5.1,롯데 자이언츠,5,0,0,13,0,0,무,부산,15.3,0,67
5.11,롯데 자이언츠,12,3,2,6,0,2,패,대전,18.3,0,56
5.11,한화 이글스,18,2,1,5,0,1,승,대전,18.3,0,56
5.11,두산 베어스,1,0,0,5,0,0,패,광주,19.9,0,67
5.11,KIA 타이거즈,7,0,2,3,0,0,승,광주,19.9,0,67
5.11,삼성 라이온즈,15,0,1,4,1,0,승,서울,17.7,0,53
5.11,LG 트윈스,10,0,0,4,1,0,패,서울,17.7,0,53
5.11,키움 히어로즈,12,2,1,5,0,1,승,인천,17.9,0,64
5.11,SK 와이번스,9,2,1,6,0,0,패,인천,17.9,0,64
5.12,롯데 자이언츠,10,0,0,10,0,0,승,대전,21.7,0,45
5.12,한화 이글스,8,0,0,5,0,0,패,대전,21.7,0,45
5.12,두산 베어스,10,2,1,3,0,0,승,광주,21.4,0,48
5.12,KIA 타이거즈,9,1,0,4,0,1,패,광주,21.4,0,48
5.12,삼성 라이온즈,6,0,0,7,1,1,패,서울,19.5,0,51
5.12,LG 트윈스,9,0,2,3,0,1,승,서울,19.5,0,51
