day_text,team_text,score_text
8.1화,한화 이글스,6점
8.1화,NC 다이노스,7점
8.1화,kt wiz,15점
8.1화,KIA 타이거즈,7점
8.1화,롯데 자이언츠,0점
8.1화,LG 트윈스,2점
8.1화,두산 베어스,12점
8.1화,삼성 라이온즈,5점
8.1화,SK 와이번스,0점
8.1화,키움 히어로즈,3점
8.2수,한화 이글스,6점
8.2수,NC 다이노스,2점
8.2수,롯데 자이언츠,4점
8.2수,LG 트윈스,5점
8.2수,두산 베어스,5점
8.2수,삼성 라이온즈,2점
8.2수,SK 와이번스,4점
8.2수,키움 히어로즈,5점
8.3목,한화 이글스,2점
8.3목,NC 다이노스,10점
8.3목,kt wiz,3점
8.3목,KIA 타이거즈,9점
8.3목,롯데 자이언츠,6점
8.3목,LG 트윈스,9점
8.3목,두산 베어스,14점
8.3목,삼성 라이온즈,4점
8.3목,SK 와이번스,3점
8.3목,키움 히어로즈,11점
8.4금,KIA 타이거즈,3점
8.4금,한화 이글스,7점
8.4금,두산 베어스,11점
8.4금,LG 트윈스,4점
8.4금,SK 와이번스,6점
8.4금,kt wiz,5점
8.4금,삼성 라이온즈,4점
8.4금,NC 다이노스,3점
8.4금,키움 히어로즈,8점
8.4금,롯데 자이언츠,10점
8.5토,KIA 타이거즈,7점
8.5토,한화 이글스,1점
8.5토,두산 베어스,2점
8.5토,LG 트윈스,1점
8.5토,SK 와이번스,3점
8.5토,kt wiz,4점
8.5토,삼성 라이온즈,9점
8.5토,NC 다이노스,3점
8.5토,키움 히어로즈,4점
8.5토,롯데 자이언츠,5점
8.6일,두산 베어스,10점
8.6일,LG 트윈스,3점
8.6일,SK 와이번스,3점
8.6일,kt wiz,6점
8.6일,삼성 라이온즈,1점
8.6일,NC 다이노스,4점
8.6일,키움 히어로즈,4점
8.6일,롯데 자이언츠,6점
8.8화,한화 이글스,1점
8.8화,두산 베어스,8점
8.8화,kt wiz,4점
8.8화,롯데 자이언츠,5점
8.8화,LG 트윈스,10점
8.8화,삼성 라이온즈,8점
8.8화,NC 다이노스,0점
8.8화,SK 와이번스,4점
8.8화,키움 히어로즈,5점
8.8화,KIA 타이거즈,3점
8.9수,한화 이글스,12점
8.9수,두산 베어스,6점
8.9수,kt wiz,6점
8.9수,롯데 자이언츠,7점
8.9수,LG 트윈스,4점
8.9수,삼성 라이온즈,7점
8.9수,NC 다이노스,10점
8.9수,SK 와이번스,5점
8.9수,키움 히어로즈,1점
8.9수,KIA 타이거즈,10점
8.10목,롯데 자이언츠,2점
8.10목,NC 다이노스,3점
8.10목,두산 베어스,7점
8.10목,키움 히어로즈,4점
8.10목,SK 와이번스,2점
8.10목,LG 트윈스,1점
8.11금,KIA 타이거즈,8점
8.11금,kt wiz,9점
8.11금,롯데 자이언츠,5점
8.11금,NC 다이노스,3점
8.11금,두산 베어스,3점
8.11금,키움 히어로즈,6점
8.11금,SK 와이번스,2점
8.11금,LG 트윈스,6점
8.11금,삼성 라이온즈,3점
8.11금,한화 이글스,8점
8.12토,한화 이글스,6점
