day_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,location,temp,rain,humidity,,
10.1,KIA 타이거즈,6,0,0,6,2,1,패,수원,16.1,0.8,97,,
10.1,kt wiz,25,3,1,8,1,0,승,수원,16.1,0.8,97,,
10.1,두산 베어스,10,2,0,6,1,0,승,대전,15.9,0.7,94,,
10.1,한화 이글스,9,2,0,4,0,0,패,대전,15.9,0.7,94,,
10.1,삼성 라이온즈,10,0,0,7,1,0,승,서울,18.5,0,67,,
10.1,LG 트윈스,10,0,0,8,0,0,패,서울,18.5,0,67,,
10.2,KIA 타이거즈,8,2,0,8,0,4,승,수원,24.5,0,52,,
10.2,kt wiz,9,0,0,8,0,1,패,수원,24.5,0,52,,
10.3,KIA 타이거즈,13,2,2,5,0,0,승,수원,19.1,0,60,,
10.3,kt wiz,12,1,0,9,1,0,패,수원,19.1,0,60,,
10.3,SK 와이번스,8,0,1,8,0,0,승,서울,19.5,0,47,,s
10.3,두산 베어스,6,1,0,5,1,2,패,서울,19.5,0,47,,
10.3,LG 트윈스,6,1,0,9,0,1,패,부산,20.2,0,72,,
10.3,롯데 자이언츠,6,0,0,4,0,0,승,부산,20.2,0,72,,
10.3,NC 다이노스,16,1,1,8,1,1,무,대전,19,0,71,,
10.3,한화 이글스,15,2,0,6,0,2,무,대전,19,0,71,,
10.3,키움 히어로즈,15,3,0,12,1,2,패,대구,19,0,72,,
10.3,삼성 라이온즈,12,2,0,5,0,1,승,대구,19,0,72,,
10.5,SK 와이번스,6,2,0,3,1,0,패,창원,18.7,0,64,,
10.5,NC 다이노스,13,2,1,8,0,0,승,창원,18.7,0,64,,
10.8,NC 다이노스,10,1,4,14,1,0,승,부산,22.5,0,79,,
10.8,롯데 자이언츠,9,1,1,8,0,1,패,부산,22.5,0,79,,
10.9,NC 다이노스,7,0,0,5,0,1,패,부산,22.7,0,82,,
10.9,롯데 자이언츠,3,0,1,5,1,1,승,부산,22.7,0,82,,
10.11,롯데 자이언츠,12,1,0,9,0,0,패,창원,23.7,0,80,,
10.11,NC 다이노스,13,5,0,10,0,2,승,창원,23.7,0,80,,
10.13,롯데 자이언츠,10,4,0,3,0,0,승,창원,17.6,0,38,,
10.13,NC 다이노스,6,0,1,11,0,0,패,창원,17.6,0,38,,
10.15,NC 다이노스,15,0,0,7,1,0,승,부산,15.8,0.5,87,,
10.15,롯데 자이언츠,8,0,0,9,0,1,패,부산,15.8,0.5,87,,
10.17,NC 다이노스,17,1,1,14,0,0,승,서울,19.8,0,44,,
10.17,두산 베어스,9,1,0,11,2,2,패,서울,19.8,0,44,,
10.18,NC 다이노스,11,4,0,7,1,1,패,서울,16.9,0,60,,
10.18,두산 베어스,15,4,2,6,0,1,승,서울,16.9,0,60,,
10.2,두산 베어스,13,2,2,9,2,0,승,창원,18,0,59,,
10.2,NC 다이노스,9,0,0,7,1,1,패,창원,18,0,59,,
10.21,두산 베어스,17,5,2,7,0,0,승,창원,19.6,0,54,,
10.21,NC 다이노스,12,1,0,5,2,0,패,창원,19.6,0,54,,
10.25,두산 베어스,7,2,0,7,0,1,승,광주,16.6,0,59,,
10.25,KIA 타이거즈,6,1,1,6,1,1,패,광주,16.6,0,59,,
10.26,두산 베어스,4,0,0,11,0,1,패,광주,18.1,0,51,,
10.26,KIA 타이거즈,5,0,1,4,2,0,승,광주,18.1,0,51,,
10.28,KIA 타이거즈,9,1,0,3,1,0,승,서울,20.2,0,44,,
10.28,두산 베어스,7,1,0,5,0,0,패,서울,20.2,0,44,,
10.29,KIA 타이거즈,9,0,1,6,1,1,승,서울,10.2,0,29,,
10.29,두산 베어스,9,0,0,8,0,3,패,서울,10.2,0,29,,
10.3,KIA 타이거즈,10,1,0,7,0,1,승,서울,10,0,22,,
10.3,두산 베어스,11,0,0,9,1,2,패,서울,10,0,22,,
