day_test,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,location,temp,rain,humidity
5.2,한화 이글스,13,0,5,6,0,0,승,인천,20.1,0,38
5.2,SK 와이번스,13,2,0,5,0,1,패,인천,20.1,0,38
5.2,KIA 타이거즈,14,1,0,1,1,0,승,서울,23.5,0,33
5.2,키움 히어로즈,12,0,0,10,1,4,패,서울,23.5,0,33
5.2,롯데 자이언츠,15,0,1,4,0,0,승,수원,21.5,0,37
5.2,kt wiz,3,0,0,12,2,2,패,수원,21.5,0,37
5.2,NC 다이노스,6,1,1,10,1,0,승,서울,23.5,0,33
5.2,LG 트윈스,6,0,0,5,2,1,패,서울,23.5,0,33
5.2,두산 베어스,10,1,0,9,0,1,패,대구,22.4,0,30
5.2,삼성 라이온즈,9,3,0,9,0,0,승,대구,22.4,0,30
5.3,한화 이글스,12,3,0,7,0,1,승,인천,21.6,0,42
5.3,SK 와이번스,10,3,0,6,0,0,패,인천,21.6,0,42
5.3,KIA 타이거즈,5,0,0,7,1,2,승,서울,25.9,0,25
5.3,키움 히어로즈,11,0,0,9,1,0,패,서울,25.9,0,25
5.3,롯데 자이언츠,11,0,0,7,2,1,패,수원,22.1,0,38
5.3,kt wiz,12,1,0,2,1,0,승,수원,22.1,0,38
5.3,NC 다이노스,5,0,0,7,3,1,패,서울,25.9,0,25
5.3,LG 트윈스,17,1,0,4,2,0,승,서울,25.9,0,25
5.3,두산 베어스,14,3,0,11,1,0,승,대구,27.3,0,18
5.3,삼성 라이온즈,8,1,0,4,1,0,패,대구,27.3,0,18
5.4,한화 이글스,10,0,1,8,1,0,패,인천,21.6,0,49
5.4,SK 와이번스,8,2,0,8,1,0,승,인천,21.6,0,49
5.4,KIA 타이거즈,9,1,0,6,1,1,패,서울,23.3,0,40
5.4,키움 히어로즈,9,2,0,4,0,0,승,서울,23.3,0,40
5.4,롯데 자이언츠,9,2,0,6,1,0,승,수원,22.3,0,48
5.4,kt wiz,12,0,2,7,1,1,패,수원,22.3,0,48
5.4,NC 다이노스,6,0,0,9,0,2,패,서울,23.3,0,40
5.4,LG 트윈스,8,0,1,7,1,3,승,서울,23.3,0,40
5.4,두산 베어스,13,4,0,6,1,0,승,대구,25.2,0,43
5.4,삼성 라이온즈,8,0,0,5,2,1,패,대구,25.2,0,43
5.5,KIA 타이거즈,13,1,1,10,0,2,승,부산,18.7,0.6,93
5.5,롯데 자이언츠,9,0,1,10,1,0,패,부산,18.7,0.6,93
5.5,kt wiz,6,0,0,6,1,3,패,대전,23.2,0,61
5.5,한화 이글스,18,1,0,4,1,0,승,대전,23.2,0,61
5.5,LG 트윈스,6,2,1,8,0,0,승,서울,22.5,0,54
5.5,두산 베어스,9,0,1,7,2,0,패,서울,22.5,0,54
5.5,SK 와이번스,11,0,1,8,0,0,패,서울,22.5,0,54
5.5,키움 히어로즈,8,0,0,5,0,0,승,서울,22.5,0,54
5.5,삼성 라이온즈,8,1,0,2,1,0,패,창원,18.1,4.1,96
5.5,NC 다이노스,11,1,0,4,0,1,승,창원,18.1,4.1,96
5.6,KIA 타이거즈,12,0,0,8,3,0,승,부산,21.4,0,35
5.6,롯데 자이언츠,9,0,0,5,3,1,패,부산,21.4,0,35
5.6,kt wiz,7,1,0,7,1,1,패,대전,19.3,0,23
5.6,한화 이글스,14,3,0,5,2,0,승,대전,19.3,0,23
5.6,LG 트윈스,6,0,2,7,1,0,승,서울,16.8,0,41
5.6,두산 베어스,7,2,1,7,0,0,패,서울,16.8,0,41
5.6,SK 와이번스,20,0,2,5,2,1,승,서울,16.8,0,41
5.6,키움 히어로즈,11,0,1,10,0,0,패,서울,16.8,0,41
5.6,삼성 라이온즈,10,3,1,8,2,0,승,창원,22.9,0,16
5.6,NC 다이노스,8,0,0,11,1,4,패,창원,22.9,0,16
5.7,KIA 타이거즈,8,1,0,6,0,1,승,부산,22.4,0,52
5.7,롯데 자이언츠,13,2,0,7,3,2,패,부산,22.4,0,52
5.7,kt wiz,11,2,1,8,0,0,승,대전,23.2,0,16
5.7,한화 이글스,4,0,2,9,1,0,패,대전,23.2,0,16
5.7,LG 트윈스,16,0,1,5,1,0,승,서울,20.7,0,19
5.7,두산 베어스,8,1,0,8,0,0,패,서울,20.7,0,19
5.7,SK 와이번스,12,1,0,13,1,2,무,서울,20.7,0,19
5.7,키움 히어로즈,16,0,1,9,0,1,무,서울,20.7,0,19
5.7,삼성 라이온즈,8,0,2,7,1,2,패,창원,26,0,17
5.7,NC 다이노스,14,2,0,5,1,1,승,창원,26,0,17
5.9,kt wiz,12,1,0,10,2,2,패,광주,15.3,0,94
5.9,KIA 타이거즈,14,3,0,5,0,0,승,광주,15.3,0,94
5.1,kt wiz,9,0,0,4,1,2,승,광주,18.3,0,72
5.1,KIA 타이거즈,3,0,0,11,1,0,패,광주,18.3,0,72
5.1,LG 트윈스,15,2,0,7,0,0,승,대구,20.6,0,55
5.1,삼성 라이온즈,4,1,0,5,0,1,패,대구,20.6,0,55
5.1,롯데 자이언츠,15,2,4,11,0,1,승,대전,17.4,0,74
5.1,한화 이글스,5,0,1,8,1,1,패,대전,17.4,0,74
5.1,SK 와이번스,5,0,0,14,0,0,패,서울,18.9,0,59
