day_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,stadium_location,기온(°C),강수량(mm),습도(%)
10.1화,NC 다이노스,17,0,1,7,1,3,패,서울,26.6,0,59
10.1화,두산 베어스,15,0,0,6,0,0,승,서울,26.6,0,59
10.3목,NC 다이노스,5,1,1,3,0,1,패,서울,25,0,59
10.3목,LG 트윈스,10,0,0,8,1,1,승,서울,25,0,59
10.6일,LG 트윈스,2,0,0,7,1,0,패,서울,20.4,0,50
10.6일,키움 히어로즈,9,1,0,7,1,0,승,서울,20.4,0,50
10.7월,LG 트윈스,13,1,0,4,0,1,패,서울,14.8,0.1,96
10.7월,키움 히어로즈,10,1,1,7,0,0,승,서울,14.8,0.1,96
10.9수,키움 히어로즈,6,0,0,6,0,1,패,서울,17.1,0,39
10.9수,LG 트윈스,6,2,0,3,0,0,승,서울,17.1,0,39
10.10목,키움 히어로즈,10,1,2,7,0,2,승,서울,18.4,0,58
10.10목,LG 트윈스,13,1,0,6,1,1,패,서울,18.4,0,58
10.14월,키움 히어로즈,13,0,1,16,0,0,승,인천,14.5,0,49
10.14월,SK 와이번스,6,0,0,8,0,0,패,인천,14.5,0,49
10.15화,키움 히어로즈,14,1,1,13,1,0,승,인천,16.8,0,64
10.15화,SK 와이번스,8,3,1,6,0,1,패,인천,16.8,0,64
10.17목,SK 와이번스,8,0,0,11,1,1,패,서울,18.5,0,42
10.17목,키움 히어로즈,13,0,1,4,0,2,승,서울,18.5,0,42
10.22화,키움 히어로즈,9,0,2,6,1,3,패,서울,21.1,0,51
10.22화,두산 베어스,12,0,1,5,1,1,승,서울,21.1,0,51
10.23수,키움 히어로즈,9,0,0,6,2,1,패,서울,18.6,0,55
10.23수,두산 베어스,9,1,0,8,1,1,승,서울,18.6,0,55
10.25금,두산 베어스,8,1,2,11,0,0,승,서울,17.7,0,66
10.25금,키움 히어로즈,4,0,0,2,1,2,패,서울,17.7,0,66
10.26토,두산 베어스,14,0,1,11,1,3,승,서울,11,0,56
10.26토,키움 히어로즈,12,0,0,4,1,0,패,서울,11,0,56
