day_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,location,temp,rain,humidity
5.14,롯데 자이언츠,8,0,0,7,0,0,0,부산,21.7,0,53
5.16,롯데 자이언츠,12,1,0,6,1,2,1,부산,18,0,61
5.17,롯데 자이언츠,14,2,2,4,2,2,1,부산,18.1,0,75
5.18,롯데 자이언츠,19,3,4,6,2,1,1,부산,21.8,0,59
5.19,롯데 자이언츠,11,2,0,5,0,1,1,서울,25,0,24
5.2,롯데 자이언츠,7,0,3,7,2,0,0,서울,24.3,0,30
5.21,롯데 자이언츠,7,0,0,5,0,0,0,서울,25.9,0,41
5.23,롯데 자이언츠,9,3,0,1,1,0,1,부산,21.6,0,64
5.24,롯데 자이언츠,12,1,0,7,1,0,1,부산,19,0,83
5.25,롯데 자이언츠,18,4,0,6,1,1,1,부산,23.3,0,52
5.26,롯데 자이언츠,11,1,0,8,0,0,1,광주,19.5,0,34
5.27,롯데 자이언츠,10,0,0,2,2,2,0,광주,24.5,0,36
5.28,롯데 자이언츠,12,1,0,8,1,0,0,광주,26.5,0,37
5.3,롯데 자이언츠,7,0,1,5,2,0,1,대구,30.5,0,30
5.31,롯데 자이언츠,7,2,0,6,0,3,0,대구,27.8,0,37
6.1,롯데 자이언츠,6,0,0,2,1,2,0,대구,28.6,0,35
6.2,롯데 자이언츠,13,1,0,7,1,0,0,부산,18.7,0,69
6.3,롯데 자이언츠,8,0,0,6,1,1,0,부산,20.5,0,69
6.4,롯데 자이언츠,14,4,0,6,1,0,1,부산,21.7,0,44
6.6,롯데 자이언츠,7,1,1,9,0,0,1,창원,16.9,0,94
6.7,롯데 자이언츠,11,1,0,6,1,0,0,창원,22,0,82
6.8,롯데 자이언츠,5,0,0,5,1,1,0,창원,28,0,27
6.9,롯데 자이언츠,5,0,1,11,0,1,0,부산,24.2,0,56
6.1,롯데 자이언츠,15,1,1,8,1,0,1,부산,20.4,0,44
6.11,롯데 자이언츠,12,1,0,5,0,2,1,부산,20.8,0,57
6.13,롯데 자이언츠,12,1,0,8,1,1,0,부산,19.1,0,72
6.14,롯데 자이언츠,6,1,0,10,0,1,0,부산,21.1,0,71
6.15,롯데 자이언츠,14,3,0,3,1,0,0,부산,24.2,0,58
6.16,롯데 자이언츠,5,1,0,6,3,0,0,서울,29.1,0,49
6.17,롯데 자이언츠,2,1,0,7,1,0,0,서울,26.9,0,42
6.18,롯데 자이언츠,11,2,0,10,1,0,0,서울,28,0,33
6.2,롯데 자이언츠,16,1,0,6,1,2,1,수원,27.1,0,43
6.21,롯데 자이언츠,13,3,2,8,0,1,1,수원,25.1,0,56
6.22,롯데 자이언츠,8,1,1,9,1,2,0,수원,27.5,0,43
6.23,롯데 자이언츠,7,0,0,5,1,0,0,서울,29.2,0,44
6.24,롯데 자이언츠,13,0,0,7,2,1,1,서울,24.7,0,64
6.25,롯데 자이언츠,11,2,1,6,0,0,1,서울,25.5,0,71
6.27,롯데 자이언츠,19,2,1,11,3,1,1,부산,23.3,0,73
6.3,롯데 자이언츠,9,3,1,7,0,0,1,부산,25.4,0,80
7.1,롯데 자이언츠,10,1,0,4,1,0,1,부산,26.4,0,76
7.2,롯데 자이언츠,8,0,0,6,0,0,1,부산,25.7,0,86
7.4,롯데 자이언츠,6,0,0,11,1,0,0,대구,27.9,0,79
7.5,롯데 자이언츠,10,0,1,5,0,2,0,대구,30,0,61
7.6,롯데 자이언츠,9,2,0,6,2,1,1,대구,27.6,0,76
7.7,롯데 자이언츠,9,1,0,6,2,0,0,부산,25.5,0,93
7.8,롯데 자이언츠,8,1,2,9,0,1,1,부산,25.7,0,90
7.9,롯데 자이언츠,9,0,0,7,2,2,0,부산,24.9,0,94
7.11,롯데 자이언츠,11,2,2,8,3,1,1,대전,29,0,81
7.12,롯데 자이언츠,10,1,0,4,1,1,1,대전,31.8,0,65
7.13,롯데 자이언츠,12,1,0,6,1,0,0,대전,32.1,0,63
7.18,롯데 자이언츠,7,2,2,8,1,0,1,부산,27.3,0,80
7.19,롯데 자이언츠,8,0,1,10,2,0,0,부산,28,0,76
7.21,롯데 자이언츠,10,1,2,9,1,0,1,광주,33.5,0,76
7.22,롯데 자이언츠,2,0,1,14,0,0,1,광주,31.6,0,82
