day_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,location,temp,rain,humidity
5.3목,kt wiz,8,0,0,10,1,0,1,서울,13.4,0,49
5.4금,kt wiz,9,1,0,11,2,0,0,수원,15.7,0,45
5.5토,kt wiz,8,0,0,10,3,2,0,수원,21.3,0,46
5.8화,kt wiz,7,0,0,10,0,1,0,수원,20.6,0,46
5.9수,kt wiz,13,0,0,10,0,0,0,수원,18.8,0,49
5.10목,kt wiz,10,0,1,8,2,0,1,수원,16.6,0,70
5.11금,kt wiz,6,1,1,9,2,1,0,부산,17.5,0,53
5.13일,kt wiz,4,1,0,10,2,0,0,부산,20.7,0,78
5.15화,kt wiz,8,1,1,12,1,0,1,대전,27.2,0,61
5.16수,kt wiz,9,1,0,8,2,1,0,대전,26.5,0,79
5.17목,kt wiz,11,2,0,6,0,2,0,대전,26.2,0,84
5.18금,kt wiz,4,0,0,6,1,1,0,수원,17.2,0,89
5.19토,kt wiz,8,0,0,3,1,0,1,수원,23.4,0,37
5.20일,kt wiz,25,5,1,2,0,1,1,수원,22.3,0,28
5.22화,kt wiz,4,1,1,6,0,0,0,광주,20.7,0,77
5.23수,kt wiz,10,1,0,6,0,1,1,광주,20.9,0,35
5.24목,kt wiz,19,1,0,5,1,0,1,광주,24.8,0,39
5.25금,kt wiz,14,2,0,6,0,0,1,수원,21.9,0,33
5.26토,kt wiz,3,0,0,5,0,0,0,수원,24,0,43
5.27일,kt wiz,9,4,0,5,0,0,1,수원,21.9,0,46
5.29화,kt wiz,21,2,0,4,0,2,1,대구,28.5,0,45
5.30수,kt wiz,9,0,0,10,1,1,0,대구,22.2,0,77
5.31목,kt wiz,5,0,0,9,0,2,0,대구,26.3,0,34
6.1금,kt wiz,8,1,1,12,1,1,0,인천,23.5,0,49
6.2토,kt wiz,8,1,0,9,1,1,0,인천,23.3,0,47
6.3일,kt wiz,9,2,2,6,0,0,1,인천,26.9,0,32
6.5화,kt wiz,9,0,1,8,0,2,0,수원,25.5,0,48
6.6수,kt wiz,6,2,1,5,4,1,0,수원,24.3,0,68
6.7목,kt wiz,4,0,1,6,0,1,0,수원,23.8,0,65
6.8금,kt wiz,10,4,0,8,1,1,0,수원,23.4,0,64
6.9토,kt wiz,7,0,0,9,0,1,1,수원,26.8,0,49
6.10일,kt wiz,5,1,0,10,1,1,0,수원,24.1,0,54
6.12화,kt wiz,7,0,1,4,2,1,0,서울,24.9,0,53
6.13수,kt wiz,10,2,1,9,1,0,0,서울,23.4,0,63
6.14목,kt wiz,11,2,0,4,2,0,0,서울,24,0,61
6.15금,kt wiz,6,1,0,6,0,0,0,창원,21.7,0,56
6.16토,kt wiz,4,0,0,8,0,2,0,창원,20.4,0,68
6.17일,kt wiz,11,2,1,4,2,0,1,창원,24.3,0,66
6.19화,kt wiz,11,1,1,10,1,0,0,수원,23.7,0,63
6.20수,kt wiz,11,0,0,9,1,0,0,수원,24.6,0,66
6.22금,kt wiz,14,2,1,10,0,0,0,수원,27.8,0,36
6.23토,kt wiz,10,3,0,4,0,0,0,수원,26,0,63
6.24일,kt wiz,8,1,0,9,0,0,1,수원,27.5,0,58
6.27수,kt wiz,6,0,0,13,0,2,0,서울,25,0,69
6.29금,kt wiz,13,1,0,5,0,0,1,수원,26.8,0,76
6.30토,kt wiz,2,0,0,4,0,0,1,수원,24.6,1.2,95
7.4수,kt wiz,13,0,0,3,1,1,1,수원,24.7,0,85
7.6금,kt wiz,13,2,0,10,0,1,0,부산,23.2,0,90
7.7토,kt wiz,15,3,1,5,1,1,1,부산,22.8,0,67
7.8일,kt wiz,10,2,0,11,2,1,0,부산,23.7,0,69
7.10화,kt wiz,10,3,0,7,1,0,1,수원,26.9,0,69
7.11수,kt wiz,6,0,0,8,1,0,0,수원,24,0,88
7.12목,kt wiz,14,4,0,5,2,0,1,수원,28,0,72
7.17화,kt wiz,8,1,2,7,1,1,0,수원,28,0,72
