day_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,location,temp,rain,humidity,,,,,,,,,
4.7,키움 히어로즈,8,1,0,6,1,2,1,서울,10.2,0,23,,,,,,키움히어로즈,,,
4.8,키움 히어로즈,18,0,3,3,1,1,0,서울,13.7,0,50,,,행 레이블,평균 : H_text,평균 : HR_text,평균 : S_text,평균 : ST_text,평균 : ER_text,평균 : DU_text
4.11,키움 히어로즈,3,1,0,8,0,0,0,서울,15.9,0,52,,,5-15,9.284090909,0.965909091,0.681818182,7.647727273,0.693181818,0.829545455
4.12,키움 히어로즈,6,1,1,1,1,1,1,서울,10.3,0,35,,,15-25,9.576200418,1.014613779,0.807933194,7.223382046,0.734864301,0.707724426
4.13,키움 히어로즈,3,0,1,9,0,0,0,서울,11.6,0,50,,,25-35,10.03717472,1.117100372,0.897769517,6.975836431,0.643122677,0.804832714
4.14,키움 히어로즈,3,0,1,5,1,0,0,대구,22.5,0,18,,,35-45,11.6,1,0.8,5.6,0.8,0.8
4.15,키움 히어로즈,10,3,2,10,1,1,1,대구,24.8,0,16,,,총합계,9.785585586,1.06036036,0.841441441,7.12972973,0.687387387,0.764864865
4.17,키움 히어로즈,3,1,0,14,0,0,0,서울,18.3,0,25,,,,,,,,,
4.18,키움 히어로즈,11,0,1,7,0,1,1,서울,19.6,0,23,,,,,,,,,
4.19,키움 히어로즈,3,0,1,7,2,0,0,서울,19.2,0,28,,,,,,,,,
4.2,키움 히어로즈,9,0,3,9,1,0,1,서울,22.3,0,32,,,,,,,,,
4.24,키움 히어로즈,12,0,2,11,0,2,1,서울,25.9,0,33,,,,,,,,,
4.26,키움 히어로즈,11,1,1,9,0,3,1,서울,14.3,0,34,,,,,,,,,
4.27,키움 히어로즈,18,3,1,2,3,1,1,대전,21.8,0,22,,,,,,,,,
4.28,키움 히어로즈,8,2,1,3,0,1,1,대전,24.7,0,20,,,,,,,,,
4.29,키움 히어로즈,7,1,2,9,1,2,0,대전,20.2,0,42,,,,,,,,,
5.1,키움 히어로즈,3,0,1,1,2,2,0,서울,26.6,0,31,,,,,,,,,
5.2,키움 히어로즈,11,3,0,4,0,0,1,서울,25.5,0,43,,,,,,,,,
5.3,키움 히어로즈,7,0,3,5,0,0,0,서울,23.3,0,39,,,,,,,,,
5.5,키움 히어로즈,10,0,0,4,0,1,0,광주,22.8,0,38,,,,,,,,,
5.6,키움 히어로즈,11,2,0,5,0,1,0,광주,24,0,28,,,,,,,,,
5.8,키움 히어로즈,6,1,0,7,0,1,0,서울,26.6,0,19,,,,,,,,,
5.9,키움 히어로즈,13,2,5,5,0,0,1,서울,25,0,38,,,,,,,,,
5.1,키움 히어로즈,6,0,0,5,2,0,1,서울,24.4,0,35,,,,,,,,,
5.11,키움 히어로즈,12,2,1,5,0,1,1,인천,17.9,0,64,,,,,,,,,
5.12,키움 히어로즈,7,0,2,7,0,1,0,인천,17.9,0,59,,,,,,,,,
5.13,키움 히어로즈,3,1,0,13,1,1,0,대전,20.5,0,43,,,,,,,,,
5.15,키움 히어로즈,11,3,0,5,1,0,1,부산,21.5,0,62,,,,,,,,,
5.16,키움 히어로즈,8,1,0,5,1,1,1,부산,19.9,0,70,,,,,,,,,
5.17,키움 히어로즈,12,1,1,5,1,0,1,부산,21.8,0,32,,,,,,,,,
5.18,키움 히어로즈,13,1,0,4,0,1,1,서울,22,0,31,,,,,,,,,
5.19,키움 히어로즈,16,2,2,5,0,0,1,서울,23.6,0,21,,,,,,,,,
5.2,키움 히어로즈,7,2,1,7,0,0,1,서울,25.3,0,35,,,,,,,,,
5.22,키움 히어로즈,6,0,1,7,0,0,1,서울,26.6,0,27,,,,,,,,,
5.23,키움 히어로즈,12,2,3,6,1,0,1,서울,25.7,0,24,,,,,,,,,
5.24,키움 히어로즈,4,0,5,5,1,0,0,서울,22,0,47,,,,,,,,,
5.25,키움 히어로즈,8,0,0,15,1,0,0,서울,23.9,0,36,,,,,,,,,
5.26,키움 히어로즈,4,1,1,11,0,1,0,서울,22.8,0,40,,,,,,,,,
5.27,키움 히어로즈,8,1,1,8,0,0,0,서울,21.1,0,57,,,,,,,,,
5.29,키움 히어로즈,10,0,2,5,1,0,1,서울,23.9,0,32,,,,,,,,,
5.3,키움 히어로즈,7,0,3,7,1,1,0,서울,22.5,0,37,,,,,,,,,
5.31,키움 히어로즈,12,2,2,1,1,0,1,서울,23.6,0,44,,,,,,,,,
6.1,키움 히어로즈,8,1,0,7,1,2,0,부산,20.6,0,61,,,,,,,,,
6.2,키움 히어로즈,4,0,0,5,2,0,0,부산,21.3,0,59,,,,,,,,,
6.3,키움 히어로즈,7,1,3,4,1,0,1,부산,21.2,0,67,,,,,,,,,
6.5,키움 히어로즈,7,0,1,7,1,0,0,서울,24.2,0,57,,,,,,,,,
