day_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text
4.1금,한화 이글스,13,0,0,10,1,2,패
4.1금,LG 트윈스,9,1,2,11,0,0,승
4.1금,KIA 타이거즈,8,1,0,10,1,0,패
4.1금,NC 다이노스,9,2,0,9,1,1,승
4.1금,kt wiz,11,2,2,7,0,0,승
4.1금,SK 와이번스,10,1,0,7,1,1,패
4.1금,롯데 자이언츠,11,0,1,6,2,1,승
4.1금,키움 히어로즈,6,0,0,6,0,1,패
4.1금,두산 베어스,8,2,2,3,1,0,승
4.1금,삼성 라이온즈,8,0,1,6,2,2,패
4.2토,롯데 자이언츠,8,0,2,9,0,1,패
4.2토,키움 히어로즈,9,0,1,6,1,0,승
4.2토,한화 이글스,13,0,0,9,0,2,패
4.2토,LG 트윈스,12,1,1,9,0,1,승
4.2토,KIA 타이거즈,8,1,1,8,0,0,승
4.2토,NC 다이노스,7,1,1,5,1,0,패
4.2토,kt wiz,8,0,0,3,2,1,패
4.2토,SK 와이번스,10,1,2,6,1,2,승
4.2토,두산 베어스,12,1,1,6,1,1,패
4.2토,삼성 라이온즈,16,2,1,7,1,0,승
4.3일,kt wiz,7,1,0,9,0,0,승
4.3일,SK 와이번스,8,0,1,4,0,1,패
4.3일,롯데 자이언츠,12,0,0,5,1,0,패
4.3일,키움 히어로즈,11,0,3,7,0,1,승
4.5화,LG 트윈스,7,0,1,9,0,1,패
4.5화,KIA 타이거즈,6,1,0,10,2,0,승
4.5화,NC 다이노스,5,0,0,9,1,0,패
4.5화,두산 베어스,6,0,2,5,0,0,승
4.5화,SK 와이번스,4,0,1,12,0,2,패
4.5화,롯데 자이언츠,5,0,0,7,0,1,승
4.5화,삼성 라이온즈,10,0,0,6,1,0,패
4.5화,kt wiz,11,1,2,6,1,3,승
4.5화,키움 히어로즈,7,1,2,11,1,1,패
4.5화,한화 이글스,13,0,1,1,1,2,승
4.6수,NC 다이노스,2,0,0,12,1,3,패
4.6수,두산 베어스,5,1,0,8,0,0,승
4.6수,SK 와이번스,1,0,0,2,1,1,패
4.6수,롯데 자이언츠,14,3,1,2,0,1,승
4.6수,삼성 라이온즈,14,0,2,3,1,2,승
4.6수,kt wiz,7,3,0,6,0,2,패
4.6수,키움 히어로즈,6,0,0,12,0,0,승
4.6수,한화 이글스,11,2,1,5,1,1,패
4.7목,LG 트윈스,11,2,2,9,0,0,승
4.7목,KIA 타이거즈,9,0,1,6,1,0,패
4.7목,NC 다이노스,15,0,0,4,0,0,승
4.7목,두산 베어스,10,0,0,9,1,0,패
4.7목,SK 와이번스,12,3,2,5,0,0,승
4.7목,롯데 자이언츠,5,1,0,8,0,0,패
4.7목,삼성 라이온즈,9,1,3,4,0,1,승
4.7목,kt wiz,4,0,0,9,0,1,패
4.7목,키움 히어로즈,7,2,1,4,1,0,승
4.7목,한화 이글스,12,2,0,10,0,1,패
4.8금,한화 이글스,5,1,0,9,1,1,패
4.8금,NC 다이노스,9,1,3,6,2,0,승
4.8금,KIA 타이거즈,3,0,1,7,2,4,패
4.8금,kt wiz,8,0,1,3,3,1,승
4.8금,LG 트윈스,4,1,0,4,1,3,패
4.8금,SK 와이번스,8,0,0,4,0,1,승
4.8금,삼성 라이온즈,10,3,0,8,1,0,승
4.8금,롯데 자이언츠,10,1,1,9,2,2,패
4.8금,키움 히어로즈,9,1,2,12,1,2,패
4.8금,두산 베어스,8,1,2,7,0,0,승
4.9토,삼성 라이온즈,11,1,1,9,1,0,패
4.9토,롯데 자이언츠,15,1,1,6,2,1,승
4.9토,한화 이글스,7,0,0,8,3,0,패
4.9토,NC 다이노스,13,2,0,4,0,0,승
4.9토,KIA 타이거즈,9,0,3,9,0,0,승
4.9토,kt wiz,11,0,2,7,1,3,패
4.9토,LG 트윈스,8,1,0,5,3,0,패
4.9토,SK 와이번스,5,3,0,7,1,1,승
4.9토,키움 히어로즈,16,0,2,9,1,1,무
4.9토,두산 베어스,13,2,0,11,2,0,무
4.10일,한화 이글스,6,0,0,12,0,1,승
4.10일,NC 다이노스,2,0,2,9,0,0,패
4.10일,KIA 타이거즈,14,1,0,6,2,3,패
4.10일,kt wiz,11,2,1,10,1,0,승
