day_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text
4.3토,삼성 라이온즈,6,0,0,3,1,1,패
4.3토,키움 히어로즈,8,0,0,8,0,0,승
4.4일,한화 이글스,6,0,1,10,0,0,패
4.4일,kt wiz,6,1,3,6,0,0,승
4.4일,KIA 타이거즈,9,0,0,6,3,0,패
4.4일,두산 베어스,8,1,1,3,1,1,승
4.4일,LG 트윈스,8,0,1,9,0,0,승
4.4일,NC 다이노스,6,1,0,10,2,2,패
4.4일,롯데 자이언츠,12,2,0,5,1,0,패
4.4일,SSG 랜더스,9,4,2,8,2,0,승
4.4일,삼성 라이온즈,8,0,2,9,0,0,패
4.4일,키움 히어로즈,11,2,1,6,1,1,승
4.6화,한화 이글스,2,1,1,8,0,0,패
4.6화,SSG 랜더스,5,1,1,12,0,1,승
4.6화,KIA 타이거즈,13,1,1,10,0,0,승
4.6화,키움 히어로즈,5,0,2,13,0,2,패
4.6화,LG 트윈스,4,0,0,6,1,1,승
4.6화,kt wiz,4,0,0,10,2,2,패
4.6화,롯데 자이언츠,15,3,0,10,0,0,승
4.6화,NC 다이노스,8,1,1,7,1,3,패
4.6화,삼성 라이온즈,9,0,0,7,1,1,패
4.6화,두산 베어스,8,2,1,5,0,0,승
4.7수,한화 이글스,18,0,0,11,0,0,승
4.7수,SSG 랜더스,4,0,0,6,1,1,패
4.7수,KIA 타이거즈,15,0,1,5,0,2,승
4.7수,키움 히어로즈,8,0,1,10,1,1,패
4.7수,LG 트윈스,6,0,2,5,1,0,패
4.7수,kt wiz,13,0,3,1,2,1,승
4.7수,롯데 자이언츠,9,0,0,8,0,1,패
4.7수,NC 다이노스,9,3,0,8,0,2,승
4.7수,삼성 라이온즈,9,0,0,6,1,0,패
4.7수,두산 베어스,7,0,0,5,1,0,승
4.8목,한화 이글스,4,0,0,11,1,1,패
4.8목,SSG 랜더스,8,2,1,7,0,2,승
4.8목,KIA 타이거즈,7,0,1,7,1,0,승
4.8목,키움 히어로즈,4,1,0,5,0,0,패
4.8목,LG 트윈스,10,1,2,3,1,1,승
4.8목,kt wiz,8,1,1,8,2,1,패
4.8목,롯데 자이언츠,13,0,0,5,1,1,승
4.8목,NC 다이노스,6,1,0,9,2,1,패
4.8목,삼성 라이온즈,9,2,2,5,2,0,승
4.8목,두산 베어스,5,0,0,5,0,1,패
