날짜,요일,구장,관중수
2021/04/03,토,고척,"1,665"
2021/04/04,일,수원,"1,956"
2021/04/04,일,잠실,"2,410"
2021/04/04,일,창원,"4,375"
2021/04/04,일,문학,"2,300"
2021/04/04,일,고척,"1,655"
2021/04/06,화,문학,"2,268"
2021/04/06,화,고척,"1,614"
2021/04/06,화,수원,"1,956"
2021/04/06,화,창원,"2,326"
2021/04/06,화,잠실,"2,245"
2021/04/07,수,문학,"2,264"
2021/04/07,수,고척,"1,628"
2021/04/07,수,수원,"1,706"
2021/04/07,수,창원,"2,224"
2021/04/07,수,잠실,"2,142"
2021/04/08,목,문학,"2,278"
2021/04/08,목,고척,"1,660"
2021/04/08,목,수원,"1,605"
2021/04/08,목,창원,"2,260"
2021/04/08,목,잠실,"2,273"
2021/04/09,금,대구,"2,724"
2021/04/09,금,광주,"3,869"
2021/04/09,금,대전,"1,300"
2021/04/09,금,잠실,"2,414"
2021/04/09,금,사직,"2,364"
2021/04/10,토,대구,"3,813"
2021/04/10,토,광주,"4,114"
2021/04/10,토,대전,"1,300"
2021/04/10,토,잠실,"2,431"
2021/04/10,토,사직,"2,364"
2021/04/11,일,대구,"4,658"
2021/04/11,일,광주,"4,264"
2021/04/11,일,대전,"1,300"
2021/04/11,일,잠실,"2,454"
2021/04/11,일,사직,"2,364"
2021/04/13,화,대구,"1,363"
2021/04/13,화,잠실,"1,128"
2021/04/13,화,고척,"1,479"
2021/04/13,화,광주,808
2021/04/13,화,문학,"1,632"
2021/04/14,수,대구,"1,564"
2021/04/14,수,잠실,"1,038"
2021/04/14,수,고척,"1,311"
2021/04/14,수,광주,884
2021/04/14,수,문학,"1,571"
2021/04/15,목,대구,"1,728"
2021/04/15,목,잠실,"1,124"
2021/04/15,목,고척,"1,354"
2021/04/15,목,광주,"1,503"
2021/04/15,목,문학,"1,539"
2021/04/16,금,창원,"5,061"
2021/04/16,금,문학,"2,300"
2021/04/16,금,잠실,"2,442"
2021/04/16,금,사직,"1,927"
2021/04/16,금,수원,929
2021/04/17,토,창원,"3,494"
2021/04/17,토,문학,"2,300"
2021/04/17,토,잠실,"2,472"
2021/04/17,토,사직,"2,364"
2021/04/17,토,수원,"1,658"
2021/04/18,일,창원,"2,631"
2021/04/18,일,문학,"2,300"
2021/04/18,일,잠실,"2,472"
2021/04/18,일,사직,"2,364"
2021/04/18,일,수원,"1,956"
2021/04/20,화,잠실,"2,453"
2021/04/20,화,창원,"1,229"
2021/04/20,화,사직,"1,197"
2021/04/20,화,대구,"2,104"
2021/04/20,화,대전,"1,003"
2021/04/21,수,잠실,"2,457"
2021/04/21,수,창원,"1,103"
2021/04/21,수,사직,"1,278"
2021/04/21,수,대구,"2,823"
2021/04/21,수,대전,"1,007"
2021/04/22,목,잠실,"2,472"
2021/04/22,목,창원,"1,393"
2021/04/22,목,사직,"1,686"
2021/04/22,목,대구,"2,636"
2021/04/22,목,대전,"1,071"
2021/04/23,금,대전,"1,300"
2021/04/23,금,수원,"1,544"
2021/04/23,금,잠실,"2,225"
2021/04/23,금,고척,"1,258"
2021/04/23,금,광주,"1,318"
2021/04/24,토,대전,"1,300"
2021/04/24,토,수원,"1,956"
2021/04/24,토,잠실,"2,410"
2021/04/24,토,고척,"1,638"
2021/04/24,토,광주,"2,808"
2021/04/25,일,대전,"1,300"
2021/04/25,일,수원,"1,956"
2021/04/25,일,잠실,"2,410"
2021/04/25,일,고척,"1,640"
2021/04/25,일,광주,"2,749"
2021/04/27,화,광주,898
2021/04/27,화,문학,"1,756"
2021/04/27,화,잠실,"2,347"
2021/04/27,화,대구,"2,528"
2021/04/27,화,고척,"1,166"
2021/04/28,수,광주,"1,502"
2021/04/28,수,문학,"1,797"
2021/04/28,수,잠실,"2,455"
2021/04/28,수,대구,"2,130"
2021/04/28,수,고척,"1,213"
