day_text,day_text,times_text,team_text,location,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text
2016-04-01 19:00,4.1금,19:00,한화 이글스,대전,13,0,0,10,1,2,패
2016-04-01 19:00,4.1금,19:00,LG 트윈스,대전,9,1,2,11,0,0,승
2016-04-01 19:00,4.1금,19:00,KIA 타이거즈,광주,8,1,0,10,1,0,패
2016-04-01 19:00,4.1금,19:00,NC 다이노스,광주,9,2,0,9,1,1,승
2016-04-01 19:00,4.1금,19:00,kt wiz,수원,11,2,2,7,0,0,승
2016-04-01 19:00,4.1금,19:00,SK 와이번스,수원,10,1,0,7,1,1,패
2016-04-01 19:00,4.1금,19:00,롯데 자이언츠,부산,11,0,1,6,2,1,승
2016-04-01 19:00,4.1금,19:00,키움 히어로즈,부산,6,0,0,6,0,1,패
2016-04-01 19:00,4.1금,19:00,두산 베어스,서울,8,2,2,3,1,0,승
2016-04-01 19:00,4.1금,19:00,삼성 라이온즈,서울,8,0,1,6,2,2,패
2016-04-02 14:00,4.2토,14:00,롯데 자이언츠,부산,8,0,2,9,0,1,패
2016-04-02 14:00,4.2토,14:00,키움 히어로즈,부산,9,0,1,6,1,0,승
2016-04-02 17:00,4.2토,17:00,한화 이글스,대전,13,0,0,9,0,2,패
2016-04-02 17:00,4.2토,17:00,LG 트윈스,대전,12,1,1,9,0,1,승
2016-04-02 17:00,4.2토,17:00,KIA 타이거즈,광주,8,1,1,8,0,0,승
2016-04-02 17:00,4.2토,17:00,NC 다이노스,광주,7,1,1,5,1,0,패
2016-04-02 17:00,4.2토,17:00,kt wiz,수원,8,0,0,3,2,1,패
2016-04-02 17:00,4.2토,17:00,SK 와이번스,수원,10,1,2,6,1,2,승
2016-04-02 17:00,4.2토,17:00,두산 베어스,서울,12,1,1,6,1,1,패
2016-04-02 17:00,4.2토,17:00,삼성 라이온즈,서울,16,2,1,7,1,0,승
2016-04-03 14:00,4.3일,14:00,kt wiz,수원,7,1,0,9,0,0,승
