day_text,times_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text
8.1토,18:00,KIA 타이거즈,13,2,2,7,0,0,승
8.1토,18:00,한화 이글스,17,0,2,8,0,2,패
8.1토,18:00,LG 트윈스,12,2,1,12,0,0,승
8.1토,18:00,SK 와이번스,8,1,0,9,2,2,패
8.1토,18:00,롯데 자이언츠,10,1,1,7,0,1,패
8.1토,18:00,kt wiz,23,4,0,3,1,1,승
8.1토,18:00,삼성 라이온즈,11,2,3,6,0,2,승
8.1토,18:00,두산 베어스,11,0,1,3,1,1,패
8.1토,18:00,키움 히어로즈,6,1,0,7,0,1,패
8.1토,18:00,NC 다이노스,6,0,2,7,1,0,승
8.2일,18:00,KIA 타이거즈,8,0,0,7,0,0,승
8.2일,18:00,한화 이글스,5,0,0,4,2,0,패
8.2일,18:00,LG 트윈스,6,0,0,7,1,1,패
8.2일,18:00,SK 와이번스,16,1,0,9,1,1,승
8.2일,18:00,롯데 자이언츠,17,1,2,9,1,0,패
8.2일,18:00,kt wiz,20,3,0,9,4,0,승
8.2일,18:00,삼성 라이온즈,7,1,1,5,1,0,패
8.2일,18:00,두산 베어스,7,1,0,6,1,1,승
8.2일,18:00,키움 히어로즈,8,1,0,9,1,0,패
8.2일,18:00,NC 다이노스,8,1,1,4,0,2,승
8.4화,18:30,한화 이글스,8,1,1,9,1,0,패
8.4화,18:30,SK 와이번스,13,0,1,5,2,0,승
8.4화,18:30,KIA 타이거즈,10,2,0,8,0,1,패
8.4화,18:30,키움 히어로즈,15,4,1,8,2,0,승
8.4화,18:30,NC 다이노스,9,0,2,5,1,1,승
8.4화,18:30,LG 트윈스,7,1,0,5,2,0,패
8.4화,18:30,두산 베어스,5,1,1,11,0,0,승
8.4화,18:30,롯데 자이언츠,5,0,0,9,1,0,패
8.4화,18:30,삼성 라이온즈,11,1,2,7,1,0,승
8.4화,18:30,kt wiz,8,1,1,10,0,1,패
8.5수,18:30,한화 이글스,8,0,2,9,2,0,패
8.5수,18:30,SK 와이번스,8,1,3,3,0,1,승
8.5수,18:30,KIA 타이거즈,6,0,1,6,1,3,패
8.5수,18:30,키움 히어로즈,10,2,1,8,1,1,승
8.5수,18:30,NC 다이노스,8,1,2,3,1,0,승
8.5수,18:30,LG 트윈스,6,0,0,3,1,0,패
8.5수,18:30,두산 베어스,10,1,2,7,2,0,패
8.5수,18:30,롯데 자이언츠,9,1,0,7,0,1,승
8.5수,18:30,삼성 라이온즈,16,1,4,3,2,1,승
8.5수,18:30,kt wiz,10,1,0,2,1,2,패
8.6목,18:30,kt wiz,12,1,1,7,1,1,승
8.6목,18:30,KIA 타이거즈,6,0,3,9,0,1,패
8.6목,18:30,LG 트윈스,3,0,1,7,0,0,패
8.6목,18:30,한화 이글스,13,0,0,6,1,0,승
8.6목,18:30,롯데 자이언츠,10,1,1,10,0,2,패
8.6목,18:30,NC 다이노스,10,2,1,3,1,0,승
8.6목,18:30,SK 와이번스,10,2,1,10,0,1,패
8.6목,18:30,삼성 라이온즈,17,3,1,12,0,0,승
8.6목,18:30,키움 히어로즈,6,1,0,6,0,1,패
8.6목,18:30,두산 베어스,17,2,0,3,0,1,승
8.7금,18:30,kt wiz,7,1,1,5,0,2,패
8.7금,18:30,KIA 타이거즈,12,0,2,10,1,1,승
8.7금,18:30,LG 트윈스,13,2,1,2,0,0,승
