day_text,location,day,times_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,지점,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),현지기압(hPa),지면온도(°C)
2012-04-07 14:00,대전,4.7토,13:55,한화 이글스,11,0,2,6,2,2,패,133,12.8,,2.4,340.0,17.0,1013.5,23.2
2012-04-07 14:00,대전,4.7토,13:55,롯데 자이언츠,10,1,2,6,1,1,승,133,12.8,,2.4,340.0,17.0,1013.5,23.2
2012-04-07 14:00,광주,4.7토,13:55,KIA 타이거즈,6,0,2,8,0,3,패,156,14.6,,2.3,270.0,24.0,1013.9,29.5
2012-04-07 14:00,광주,4.7토,13:55,SK 와이번스,10,0,1,2,1,0,승,156,14.6,,2.3,270.0,24.0,1013.9,29.5
2012-04-07 14:00,서울,4.7토,14:00,LG 트윈스,9,1,1,3,2,0,승,108,11.1,,4.1,250.0,19.0,1010.8,27.6
2012-04-07 14:00,서울,4.7토,14:00,삼성 라이온즈,8,1,0,4,0,0,패,108,11.1,,4.1,250.0,19.0,1010.8,27.6
2012-04-07 14:00,서울,4.7토,14:00,키움 히어로즈,8,1,0,6,1,2,승,108,11.1,,4.1,250.0,19.0,1010.8,27.6
2012-04-07 14:00,서울,4.7토,14:00,두산 베어스,6,0,1,6,0,1,패,108,11.1,,4.1,250.0,19.0,1010.8,27.6
2012-04-08 14:00,대전,4.8일,14:00,한화 이글스,8,0,0,5,0,1,패,133,19.0,,3.9,230.0,27.0,1011.0,25.0
2012-04-08 14:00,대전,4.8일,14:00,롯데 자이언츠,15,0,2,5,0,2,승,133,19.0,,3.9,230.0,27.0,1011.0,25.0
2012-04-08 14:00,광주,4.8일,14:00,KIA 타이거즈,6,0,0,3,2,0,패,156,22.6,,5.1,250.0,31.0,1012.2,32.1
2012-04-08 14:00,광주,4.8일,14:00,SK 와이번스,8,0,0,5,1,0,승,156,22.6,,5.1,250.0,31.0,1012.2,32.1
2012-04-08 14:00,서울,4.8일,14:00,LG 트윈스,7,0,3,9,1,0,승,108,16.1,,10.3,230.0,31.0,1006.7,25.4
2012-04-08 14:00,서울,4.8일,14:00,삼성 라이온즈,9,0,3,6,1,0,패,108,16.1,,10.3,230.0,31.0,1006.7,25.4
2012-04-08 14:00,서울,4.8일,14:00,키움 히어로즈,18,0,3,3,1,1,패,108,16.1,,10.3,230.0,31.0,1006.7,25.4
2012-04-08 14:00,서울,4.8일,14:00,두산 베어스,22,0,1,4,1,1,승,108,16.1,,10.3,230.0,31.0,1006.7,25.4
2012-04-11 19:00,부산,4.11수,18:30,롯데 자이언츠,18,0,1,6,1,0,승,159,13.3,,1.5,90.0,80.0,995.7,14.1
2012-04-11 19:00,부산,4.11수,18:30,LG 트윈스,7,0,0,8,0,2,패,159,13.3,,1.5,90.0,80.0,995.7,14.1
2012-04-11 19:00,서울,4.11수,18:30,두산 베어스,11,1,0,3,1,0,승,108,14.4,,5.8,270.0,55.0,994.6,11.9
2012-04-11 19:00,서울,4.11수,18:30,한화 이글스,7,0,0,9,1,0,패,108,14.4,,5.8,270.0,55.0,994.6,11.9
2012-04-11 19:00,인천,4.11수,18:30,SK 와이번스,6,1,3,13,0,0,승,112,13.1,,5.9,320.0,60.0,997.3,12.4
2012-04-11 19:00,인천,4.11수,18:30,키움 히어로즈,3,1,0,8,0,0,패,112,13.1,,5.9,320.0,60.0,997.3,12.4
2012-04-11 19:00,대구,4.11수,18:30,삼성 라이온즈,1,0,1,11,0,1,패,143,17.2,,1.7,290.0,52.0,996.8,15.3
2012-04-11 19:00,대구,4.11수,18:30,KIA 타이거즈,7,0,2,8,1,0,승,143,17.2,,1.7,290.0,52.0,996.8,15.3
2012-04-12 19:00,부산,4.12목,18:30,롯데 자이언츠,6,0,1,4,0,1,패,159,15.5,,5.7,230.0,46.0,999.7,12.9
