day_text,location,day_text.1,times_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,지점,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),현지기압(hPa),지면온도(°C)
2015-04-01 19:00,광주,4.1수,18:30,KIA 타이거즈,5,0,0,12,0,0,승,156,15.1,0.0,4.6,180.0,79.0,1006.1,16.1
2015-04-01 19:00,광주,4.1수,18:30,SK 와이번스,4,0,0,10,1,2,패,156,15.1,0.0,4.6,180.0,79.0,1006.1,16.1
2015-04-01 19:00,부산,4.1수,18:30,롯데 자이언츠,8,1,1,9,1,0,패,159,11.0,,4.4,50.0,74.0,1009.9,10.9
2015-04-01 19:00,부산,4.1수,18:30,LG 트윈스,9,0,0,8,1,2,승,159,11.0,,4.4,50.0,74.0,1009.9,10.9
2015-04-01 19:00,서울,4.1수,18:30,두산 베어스,8,2,1,6,1,1,승,108,13.6,,5.1,70.0,51.0,1005.8,12.5
2015-04-01 19:00,서울,4.1수,18:30,한화 이글스,7,0,0,9,0,0,패,108,13.6,,5.1,70.0,51.0,1005.8,12.5
2015-04-01 19:00,서울,4.1수,18:30,키움 히어로즈,6,0,0,6,4,2,패,108,13.6,,5.1,70.0,51.0,1005.8,12.5
2015-04-01 19:00,서울,4.1수,18:30,NC 다이노스,18,3,1,6,0,1,승,108,13.6,,5.1,70.0,51.0,1005.8,12.5
2015-04-01 19:00,대구,4.1수,18:30,삼성 라이온즈,9,1,1,4,1,2,승,143,10.2,,4.4,110.0,78.0,1011.9,9.4
2015-04-01 19:00,대구,4.1수,18:30,kt wiz,10,0,1,15,0,0,패,143,10.2,,4.4,110.0,78.0,1011.9,9.4
2015-04-02 19:00,서울,4.2목,18:30,두산 베어스,5,0,0,10,1,0,패,108,17.9,2.5,4.5,180.0,83.0,986.7,16.1
2015-04-02 19:00,서울,4.2목,18:30,한화 이글스,7,0,0,11,1,1,승,108,17.9,2.5,4.5,180.0,83.0,986.7,16.1
2015-04-03 19:00,대전,4.3금,18:30,한화 이글스,8,1,0,8,1,1,패,133,12.4,,1.8,360.0,80.0,1001.5,11.3
2015-04-03 19:00,대전,4.3금,18:30,NC 다이노스,11,1,4,5,1,1,승,133,12.4,,1.8,360.0,80.0,1001.5,11.3
2015-04-03 19:00,광주,4.3금,18:30,KIA 타이거즈,12,2,0,8,1,0,승,156,11.3,,2.4,70.0,76.0,1000.7,12.5
2015-04-03 19:00,광주,4.3금,18:30,kt wiz,5,0,0,9,1,0,패,156,11.3,,2.4,70.0,76.0,1000.7,12.5
2015-04-03 19:00,서울,4.3금,18:30,두산 베어스,6,0,0,7,1,0,패,108,13.2,,0.7,340.0,67.0,999.3,11.7
2015-04-03 19:00,서울,4.3금,18:30,롯데 자이언츠,8,1,0,8,0,0,승,108,13.2,,0.7,340.0,67.0,999.3,11.7
2015-04-03 19:00,인천,4.3금,18:30,SK 와이번스,6,2,0,13,1,0,패,112,9.8,,1.4,250.0,97.0,1001.2,9.7
2015-04-03 19:00,인천,4.3금,18:30,키움 히어로즈,16,3,1,8,1,0,승,112,9.8,,1.4,250.0,97.0,1001.2,9.7
2015-04-03 19:00,대구,4.3금,18:30,삼성 라이온즈,9,2,0,3,1,1,승,143,14.4,,6.3,90.0,70.0,1002.7,15.1
2015-04-03 19:00,대구,4.3금,18:30,LG 트윈스,7,0,0,8,1,1,패,143,14.4,,6.3,90.0,70.0,1002.7,15.1
2015-04-04 17:00,광주,4.4토,17:00,KIA 타이거즈,14,2,4,10,1,0,승,156,11.6,1.5,2.6,70.0,91.0,1003.9,13.1
2015-04-04 17:00,광주,4.4토,17:00,kt wiz,9,0,3,3,1,4,패,156,11.6,1.5,2.6,70.0,91.0,1003.9,13.1
2015-04-04 17:00,인천,4.4토,17:00,SK 와이번스,11,1,1,9,0,1,승,112,15.3,0.0,0.5,180.0,55.0,1004.3,14.2
2015-04-04 17:00,인천,4.4토,17:00,키움 히어로즈,7,0,2,9,1,1,패,112,15.3,0.0,0.5,180.0,55.0,1004.3,14.2
2015-04-04 17:00,대구,4.4토,17:00,삼성 라이온즈,1,1,1,11,1,1,패,143,9.0,5.0,5.1,90.0,85.0,1010.1,10.0
2015-04-04 17:00,대구,4.4토,17:00,LG 트윈스,9,0,1,5,1,1,승,143,9.0,5.0,5.1,90.0,85.0,1010.1,10.0
2015-04-05 14:00,대전,4.5일,14:00,한화 이글스,8,0,0,6,2,0,패,133,11.0,0.1,1.5,90.0,98.0,1005.4,13.6
2015-04-05 14:00,대전,4.5일,14:00,NC 다이노스,11,3,2,6,0,2,승,133,11.0,0.1,1.5,90.0,98.0,1005.4,13.6
2015-04-05 14:00,광주,4.5일,14:00,KIA 타이거즈,8,0,0,5,2,1,승,156,13.6,,2.8,230.0,84.0,1004.8,15.5
2015-04-05 14:00,광주,4.5일,14:00,kt wiz,6,0,0,5,3,1,패,156,13.6,,2.8,230.0,84.0,1004.8,15.5
2015-04-05 14:00,서울,4.5일,14:00,두산 베어스,8,1,2,7,0,2,패,108,10.1,0.5,1.9,70.0,90.0,1003.3,12.4
2015-04-05 14:00,서울,4.5일,14:00,롯데 자이언츠,14,4,0,10,3,2,승,108,10.1,0.5,1.9,70.0,90.0,1003.3,12.4
2015-04-05 14:00,대구,4.5일,14:00,삼성 라이온즈,4,0,2,8,1,2,패,143,12.4,,1.8,140.0,79.0,1007.3,16.7
2015-04-05 14:00,대구,4.5일,14:00,LG 트윈스,12,0,1,7,1,0,승,143,12.4,,1.8,140.0,79.0,1007.3,16.7
2015-04-05 17:00,인천,4.5일,17:00,SK 와이번스,13,2,5,9,1,0,승,112,10.9,,1.8,20.0,99.0,1004.9,11.5
