day_text,time_text,team_text,location,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,temp,rain,wind,d_wind,humidity,atmosphere,surface
4.7토,14:00,한화 이글스,대전,11,0,2,6,2,2,패,12.8,,2.4,340,17,1013.5,23.2
4.7토,14:00,롯데 자이언츠,대전,10,1,2,6,1,1,승,12.8,,2.4,340,17,1013.5,23.2
4.7토,14:00,KIA 타이거즈,광주,6,0,2,8,0,3,패,14.6,,2.3,270,24,1013.9,29.5
4.7토,14:00,SK 와이번스,광주,10,0,1,2,1,0,승,14.6,,2.3,270,24,1013.9,29.5
4.7토,14:00,LG 트윈스,서울,9,1,1,3,2,0,승,11.1,,4.1,250,19,1010.8,27.6
4.7토,14:00,삼성 라이온즈,서울,8,1,0,4,0,0,패,11.1,,4.1,250,19,1010.8,27.6
4.7토,14:00,키움 히어로즈,서울,8,1,0,6,1,2,승,11.1,,4.1,250,19,1010.8,27.6
4.7토,14:00,두산 베어스,서울,6,0,1,6,0,1,패,11.1,,4.1,250,19,1010.8,27.6
4.8일,14:00,한화 이글스,대전,8,0,0,5,0,1,패,19,,3.9,230,27,1011,25
4.8일,14:00,롯데 자이언츠,대전,15,0,2,5,0,2,승,19,,3.9,230,27,1011,25
4.8일,14:00,KIA 타이거즈,광주,6,0,0,3,2,0,패,22.6,,5.1,250,31,1012.2,32.1
4.8일,14:00,SK 와이번스,광주,8,0,0,5,1,0,승,22.6,,5.1,250,31,1012.2,32.1
4.8일,14:00,LG 트윈스,서울,7,0,3,9,1,0,승,16.1,,10.3,230,31,1006.7,25.4
4.8일,14:00,삼성 라이온즈,서울,9,0,3,6,1,0,패,16.1,,10.3,230,31,1006.7,25.4
4.8일,14:00,키움 히어로즈,서울,18,0,3,3,1,1,패,16.1,,10.3,230,31,1006.7,25.4
4.8일,14:00,두산 베어스,서울,22,0,1,4,1,1,승,16.1,,10.3,230,31,1006.7,25.4
4.11수,19:00,롯데 자이언츠,부산,18,0,1,6,1,0,승,13.3,,1.5,90,80,995.7,14.1
4.11수,19:00,LG 트윈스,부산,7,0,0,8,0,2,패,13.3,,1.5,90,80,995.7,14.1
4.11수,19:00,두산 베어스,서울,11,1,0,3,1,0,승,14.4,,5.8,270,55,994.6,11.9
4.11수,19:00,한화 이글스,서울,7,0,0,9,1,0,패,14.4,,5.8,270,55,994.6,11.9
4.11수,19:00,SK 와이번스,인천,6,1,3,13,0,0,승,13.1,,5.9,320,60,997.3,12.4
4.11수,19:00,키움 히어로즈,인천,3,1,0,8,0,0,패,13.1,,5.9,320,60,997.3,12.4
4.11수,19:00,삼성 라이온즈,대구,1,0,1,11,0,1,패,17.2,,1.7,290,52,996.8,15.3
4.11수,19:00,KIA 타이거즈,대구,7,0,2,8,1,0,승,17.2,,1.7,290,52,996.8,15.3
4.12목,19:00,롯데 자이언츠,부산,6,0,1,4,0,1,패,15.5,,5.7,230,46,999.7,12.9
4.12목,19:00,LG 트윈스,부산,5,0,1,5,0,0,승,15.5,,5.7,230,46,999.7,12.9
4.12목,19:00,두산 베어스,서울,6,0,1,8,0,0,패,10.1,,4.6,250,26,1000.8,7.7
