day,time_text,team_text,location,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,temp,rain,wind,d_wind,humidity,atmosphere,surface
4.2화,19:00,KIA 타이거즈,광주,8,0,2,5,1,1,승,5.2,,1.7,340,73,1006.2,7
4.2화,19:00,한화 이글스,광주,11,0,1,8,1,2,패,5.2,,1.7,340,73,1006.2,7
4.2화,19:00,LG 트윈스,서울,6,0,0,2,1,0,패,7.5,,2.7,270,78,1002.9,7.4
4.2화,19:00,키움 히어로즈,서울,4,1,0,4,3,1,승,7.5,,2.7,270,78,1002.9,7.4
4.2화,19:00,롯데 자이언츠,부산,11,1,3,5,0,2,승,13.3,,5,360,40,999.7,13.2
4.2화,19:00,NC 다이노스,부산,4,0,2,7,2,2,패,13.3,,5,360,40,999.7,13.2
4.2화,19:00,SK 와이번스,인천,4,1,0,6,1,0,패,7.7,,4.3,340,84,1005.1,7
4.2화,19:00,두산 베어스,인천,13,0,1,4,1,1,승,7.7,,4.3,340,84,1005.1,7
4.3수,19:00,KIA 타이거즈,광주,16,0,1,6,3,1,승,12.2,,1.4,290,29,1007.5,12.6
4.3수,19:00,한화 이글스,광주,5,0,0,3,3,0,패,12.2,,1.4,290,29,1007.5,12.6
4.3수,19:00,LG 트윈스,서울,16,1,4,5,1,1,승,9.2,,4,290,43,1005.4,8
4.3수,19:00,키움 히어로즈,서울,12,3,0,11,2,1,패,9.2,,4,290,43,1005.4,8
4.3수,19:00,롯데 자이언츠,부산,6,0,1,8,0,2,승,14.3,,6.3,250,45,1004.4,13.5
4.3수,19:00,NC 다이노스,부산,8,0,0,4,1,3,패,14.3,,6.3,250,45,1004.4,13.5
4.3수,19:00,SK 와이번스,인천,8,0,0,4,0,2,승,7,,3.5,250,80,1007.5,7.1
4.3수,19:00,두산 베어스,인천,3,0,1,7,1,1,패,7,,3.5,250,80,1007.5,7.1
4.4목,19:00,KIA 타이거즈,광주,17,0,3,16,0,0,승,17.2,,3.4,200,31,1006.1,15.4
4.4목,19:00,한화 이글스,광주,10,0,0,10,1,1,패,17.2,,3.4,200,31,1006.1,15.4
4.4목,19:00,LG 트윈스,서울,6,0,1,3,1,1,패,16.5,,3,290,31,1004.5,12.3
4.4목,19:00,키움 히어로즈,서울,7,1,2,6,0,1,승,16.5,,3,290,31,1004.5,12.3
4.4목,19:00,롯데 자이언츠,부산,8,0,3,3,0,0,승,12.5,,3,90,61,1009.1,12.3
4.4목,19:00,NC 다이노스,부산,6,0,1,9,1,3,패,12.5,,3,90,61,1009.1,12.3
4.4목,19:00,SK 와이번스,인천,11,0,2,6,2,1,승,13.8,,1.8,20,52,1006.4,10.9
4.4목,19:00,두산 베어스,인천,7,2,0,4,1,0,패,13.8,,1.8,20,52,1006.4,10.9
4.5금,19:00,KIA 타이거즈,광주,12,0,2,6,2,1,승,17.5,,2.5,180,64,1002.1,17
4.5금,19:00,롯데 자이언츠,광주,10,0,2,10,1,1,패,17.5,,2.5,180,64,1002.1,17
4.5금,19:00,NC 다이노스,창원,11,3,1,5,0,0,패,13.8,,1.6,140,68,1007.6,13.2
4.5금,19:00,삼성 라이온즈,창원,14,1,0,3,1,0,승,13.8,,1.6,140,68,1007.6,13.2
4.5금,19:00,두산 베어스,서울,6,1,1,5,1,2,패,15.6,,4.6,320,36,1000,13.1
4.5금,19:00,LG 트윈스,서울,13,0,2,8,0,0,승,15.6,,4.6,320,36,1000,13.1
4.5금,19:00,키움 히어로즈,서울,8,0,0,7,2,1,승,15.6,,4.6,320,36,1000,13.1
4.5금,19:00,한화 이글스,서울,10,0,0,7,0,0,패,15.6,,4.6,320,36,1000,13.1
4.7일,14:00,KIA 타이거즈,광주,7,0,0,8,0,0,승,6.8,,4.1,320,50,1001.5,20.5
4.7일,14:00,롯데 자이언츠,광주,10,1,0,4,2,0,패,6.8,,4.1,320,50,1001.5,20.5
4.7일,14:00,NC 다이노스,창원,7,0,0,8,1,0,패,10.8,,3.6,320,40,1000.7,22.9
4.7일,14:00,삼성 라이온즈,창원,7,0,2,5,0,0,승,10.8,,3.6,320,40,1000.7,22.9
4.7일,14:00,두산 베어스,서울,12,0,3,5,2,2,승,8.6,,4.5,270,36,995.9,22.1
4.7일,14:00,LG 트윈스,서울,11,0,1,9,1,4,패,8.6,,4.5,270,36,995.9,22.1
4.7일,14:00,키움 히어로즈,서울,10,0,1,4,0,0,승,8.6,,4.5,270,36,995.9,22.1
4.7일,14:00,한화 이글스,서울,3,0,0,10,2,1,패,8.6,,4.5,270,36,995.9,22.1
4.9화,19:00,한화 이글스,대전,8,1,0,8,2,0,패,7.1,,4,290,46,1007.4,7.9
4.9화,19:00,삼성 라이온즈,대전,13,0,1,1,0,1,승,7.1,,4,290,46,1007.4,7.9
4.9화,19:00,NC 다이노스,창원,10,0,5,5,0,4,패,10.5,,3.9,290,14,1010,6.3
4.9화,19:00,LG 트윈스,창원,12,0,0,5,1,2,승,10.5,,3.9,290,14,1010,6.3
4.9화,19:00,두산 베어스,서울,17,4,1,6,1,0,승,5.8,,5.6,250,56,1003.6,5.4
4.9화,19:00,KIA 타이거즈,서울,8,1,2,8,0,1,패,5.8,,5.6,250,56,1003.6,5.4
4.9화,19:00,키움 히어로즈,서울,6,0,0,11,1,0,패,5.8,,5.6,250,56,1003.6,5.4
4.9화,19:00,SK 와이번스,서울,7,1,0,8,0,0,승,5.8,,5.6,250,56,1003.6,5.4
4.10수,19:00,한화 이글스,대전,6,0,1,10,0,0,패,7.3,,2.1,290,37,1008.5,6.8
4.10수,19:00,삼성 라이온즈,대전,5,2,2,10,0,0,승,7.3,,2.1,290,37,1008.5,6.8
4.10수,19:00,NC 다이노스,창원,9,0,1,7,0,1,패,8.2,,2.3,290,30,1012.3,6
4.10수,19:00,LG 트윈스,창원,7,0,2,8,0,0,승,8.2,,2.3,290,30,1012.3,6
4.10수,19:00,두산 베어스,서울,9,1,3,9,2,2,패,6.4,,5.4,230,38,1005.3,3.9
4.10수,19:00,KIA 타이거즈,서울,9,0,0,10,1,0,승,6.4,,5.4,230,38,1005.3,3.9
4.10수,19:00,키움 히어로즈,서울,2,0,0,8,1,0,패,6.4,,5.4,230,38,1005.3,3.9
4.10수,19:00,SK 와이번스,서울,9,2,1,3,0,0,승,6.4,,5.4,230,38,1005.3,3.9
4.11목,19:00,한화 이글스,대전,8,0,1,12,0,1,패,7.9,,3.8,320,29,1008.6,6
4.11목,19:00,삼성 라이온즈,대전,15,0,0,5,0,3,승,7.9,,3.8,320,29,1008.6,6
4.11목,19:00,NC 다이노스,창원,12,0,2,5,1,0,승,10.9,,1.9,270,19,1011,7
4.11목,19:00,LG 트윈스,창원,9,0,0,3,1,0,패,10.9,,1.9,270,19,1011,7
4.11목,19:00,두산 베어스,서울,13,1,1,6,2,0,승,6,,5.6,270,43,1005.2,4.8
4.11목,19:00,KIA 타이거즈,서울,2,0,2,11,0,0,패,6,,5.6,270,43,1005.2,4.8
4.11목,19:00,키움 히어로즈,서울,7,0,1,9,0,0,승,6,,5.6,270,43,1005.2,4.8
4.11목,19:00,SK 와이번스,서울,7,0,0,9,0,3,패,6,,5.6,270,43,1005.2,4.8
4.12금,19:00,LG 트윈스,서울,12,1,1,6,0,0,승,8.3,,3.6,270,32,1006.5,7.9
4.12금,19:00,한화 이글스,서울,5,0,0,5,2,0,패,8.3,,3.6,270,32,1006.5,7.9
4.12금,19:00,롯데 자이언츠,부산,7,0,2,14,0,0,무,11,,3.9,250,44,1007.9,10.6
4.12금,19:00,두산 베어스,부산,10,0,1,11,0,0,무,11,,3.9,250,44,1007.9,10.6
4.12금,19:00,SK 와이번스,인천,10,1,1,6,1,1,승,6.6,,3.9,230,69,1008.6,6.1
4.12금,19:00,NC 다이노스,인천,8,0,0,6,1,1,패,6.6,,3.9,230,69,1008.6,6.1
4.12금,19:00,삼성 라이온즈,대구,6,0,2,9,1,0,패,11.4,,4,290,25,1009.6,11.5
4.12금,19:00,키움 히어로즈,대구,5,1,2,5,0,1,승,11.4,,4,290,25,1009.6,11.5
4.13토,17:00,LG 트윈스,서울,11,1,3,4,0,0,승,16.8,,5.6,230,20,996.6,18
4.13토,17:00,한화 이글스,서울,9,0,1,7,1,1,패,16.8,,5.6,230,20,996.6,18
4.13토,17:00,롯데 자이언츠,부산,12,0,0,9,0,2,패,14.5,,10.7,250,45,1005.2,16.7
4.13토,17:00,두산 베어스,부산,6,0,2,3,0,1,승,14.5,,10.7,250,45,1005.2,16.7
4.13토,17:00,SK 와이번스,인천,2,0,0,4,0,1,패,14.7,,6.5,200,39,998.6,16.3
4.13토,17:00,NC 다이노스,인천,5,1,0,3,1,0,승,14.7,,6.5,200,39,998.6,16.3
