day_text.1,time_text,team_text,location,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,temp,rain,wind,d_wind,humidity,atmosphere,surface
4.1수,19:00,KIA 타이거즈,광주,5,0,0,12,0,0,승,15.1,0,4.6,180,79,1006.1,16.1
4.1수,19:00,SK 와이번스,광주,4,0,0,10,1,2,패,15.1,0,4.6,180,79,1006.1,16.1
4.1수,19:00,롯데 자이언츠,부산,8,1,1,9,1,0,패,11,,4.4,50,74,1009.9,10.9
4.1수,19:00,LG 트윈스,부산,9,0,0,8,1,2,승,11,,4.4,50,74,1009.9,10.9
4.1수,19:00,두산 베어스,서울,8,2,1,6,1,1,승,13.6,,5.1,70,51,1005.8,12.5
4.1수,19:00,한화 이글스,서울,7,0,0,9,0,0,패,13.6,,5.1,70,51,1005.8,12.5
4.1수,19:00,키움 히어로즈,서울,6,0,0,6,4,2,패,13.6,,5.1,70,51,1005.8,12.5
4.1수,19:00,NC 다이노스,서울,18,3,1,6,0,1,승,13.6,,5.1,70,51,1005.8,12.5
4.1수,19:00,삼성 라이온즈,대구,9,1,1,4,1,2,승,10.2,,4.4,110,78,1011.9,9.4
4.1수,19:00,kt wiz,대구,10,0,1,15,0,0,패,10.2,,4.4,110,78,1011.9,9.4
4.2목,19:00,두산 베어스,서울,5,0,0,10,1,0,패,17.9,2.5,4.5,180,83,986.7,16.1
4.2목,19:00,한화 이글스,서울,7,0,0,11,1,1,승,17.9,2.5,4.5,180,83,986.7,16.1
4.3금,19:00,한화 이글스,대전,8,1,0,8,1,1,패,12.4,,1.8,360,80,1001.5,11.3
4.3금,19:00,NC 다이노스,대전,11,1,4,5,1,1,승,12.4,,1.8,360,80,1001.5,11.3
4.3금,19:00,KIA 타이거즈,광주,12,2,0,8,1,0,승,11.3,,2.4,70,76,1000.7,12.5
4.3금,19:00,kt wiz,광주,5,0,0,9,1,0,패,11.3,,2.4,70,76,1000.7,12.5
4.3금,19:00,두산 베어스,서울,6,0,0,7,1,0,패,13.2,,0.7,340,67,999.3,11.7
4.3금,19:00,롯데 자이언츠,서울,8,1,0,8,0,0,승,13.2,,0.7,340,67,999.3,11.7
4.3금,19:00,SK 와이번스,인천,6,2,0,13,1,0,패,9.8,,1.4,250,97,1001.2,9.7
4.3금,19:00,키움 히어로즈,인천,16,3,1,8,1,0,승,9.8,,1.4,250,97,1001.2,9.7
4.3금,19:00,삼성 라이온즈,대구,9,2,0,3,1,1,승,14.4,,6.3,90,70,1002.7,15.1
4.3금,19:00,LG 트윈스,대구,7,0,0,8,1,1,패,14.4,,6.3,90,70,1002.7,15.1
4.4토,17:00,KIA 타이거즈,광주,14,2,4,10,1,0,승,11.6,1.5,2.6,70,91,1003.9,13.1
4.4토,17:00,kt wiz,광주,9,0,3,3,1,4,패,11.6,1.5,2.6,70,91,1003.9,13.1
4.4토,17:00,SK 와이번스,인천,11,1,1,9,0,1,승,15.3,0,0.5,180,55,1004.3,14.2
4.4토,17:00,키움 히어로즈,인천,7,0,2,9,1,1,패,15.3,0,0.5,180,55,1004.3,14.2
4.4토,17:00,삼성 라이온즈,대구,1,1,1,11,1,1,패,9,5,5.1,90,85,1010.1,10
4.4토,17:00,LG 트윈스,대구,9,0,1,5,1,1,승,9,5,5.1,90,85,1010.1,10
4.5일,14:00,한화 이글스,대전,8,0,0,6,2,0,패,11,0.1,1.5,90,98,1005.4,13.6
4.5일,14:00,NC 다이노스,대전,11,3,2,6,0,2,승,11,0.1,1.5,90,98,1005.4,13.6
4.5일,14:00,KIA 타이거즈,광주,8,0,0,5,2,1,승,13.6,,2.8,230,84,1004.8,15.5
4.5일,14:00,kt wiz,광주,6,0,0,5,3,1,패,13.6,,2.8,230,84,1004.8,15.5
4.5일,14:00,두산 베어스,서울,8,1,2,7,0,2,패,10.1,0.5,1.9,70,90,1003.3,12.4
4.5일,14:00,롯데 자이언츠,서울,14,4,0,10,3,2,승,10.1,0.5,1.9,70,90,1003.3,12.4
4.5일,14:00,삼성 라이온즈,대구,4,0,2,8,1,2,패,12.4,,1.8,140,79,1007.3,16.7
4.5일,14:00,LG 트윈스,대구,12,0,1,7,1,0,승,12.4,,1.8,140,79,1007.3,16.7
4.5일,17:00,SK 와이번스,인천,13,2,5,9,1,0,승,10.9,,1.8,20,99,1004.9,11.5
4.5일,17:00,키움 히어로즈,인천,13,3,0,9,0,4,패,10.9,,1.8,20,99,1004.9,11.5
4.7화,19:00,kt wiz,수원,10,1,2,12,0,0,패,10.4,,2.4,360,56,1018.9,10.1
4.7화,19:00,SK 와이번스,수원,9,0,0,5,0,0,승,10.4,,2.4,360,56,1018.9,10.1
4.7화,19:00,LG 트윈스,서울,10,1,1,15,1,1,패,8.9,,3.6,50,61,1012.8,8.8
4.7화,19:00,한화 이글스,서울,14,0,1,6,1,0,승,8.9,,3.6,50,61,1012.8,8.8
4.7화,19:00,키움 히어로즈,서울,27,4,0,10,1,0,승,8.9,,3.6,50,61,1012.8,8.8
4.7화,19:00,두산 베어스,서울,10,0,1,9,2,2,패,8.9,,3.6,50,61,1012.8,8.8
4.7화,19:00,롯데 자이언츠,부산,4,1,0,10,1,0,패,8.9,,2.7,50,71,1015.7,10.2
4.7화,19:00,삼성 라이온즈,부산,8,1,2,9,0,0,승,8.9,,2.7,50,71,1015.7,10.2
