day,time_Text,team_text,location,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,temp,rain,wind,d_wind,humidity,atmosphere,surface
4.1토,14:00,한화 이글스,대전,16,1,0,8,0,1,승,12.5,0.3,1.5,270,53,1006,21.9
4.1토,14:00,두산 베어스,대전,9,1,1,7,0,0,패,12.5,0.3,1.5,270,53,1006,21.9
4.1토,14:00,KIA 타이거즈,광주,14,0,0,9,0,1,승,14.3,,3,340,41,1005.9,26
4.1토,14:00,삼성 라이온즈,광주,10,1,1,8,0,2,패,14.3,,3,340,41,1005.9,26
4.1토,14:00,LG 트윈스,서울,11,2,1,9,0,0,승,13.2,,4.6,270,34,1003.4,32.3
4.1토,14:00,키움 히어로즈,서울,12,0,1,9,1,0,패,13.2,,4.6,270,34,1003.4,32.3
4.1토,17:00,kt wiz,수원,3,1,0,6,0,0,승,13.1,,2,340,41,1009.8,15.3
4.1토,17:00,SK 와이번스,수원,7,0,0,5,1,0,패,13.1,,2,340,41,1009.8,15.3
4.1토,17:00,롯데 자이언츠,부산,6,0,0,11,0,1,승,9,0.2,2.6,140,82,1005.5,12
4.1토,17:00,NC 다이노스,부산,7,0,0,9,0,1,패,9,0.2,2.6,140,82,1005.5,12
4.2일,14:00,한화 이글스,대전,8,1,2,9,0,2,패,16,,2.8,340,29,1010,29.1
4.2일,14:00,두산 베어스,대전,8,2,0,7,2,1,승,16,,2.8,340,29,1010,29.1
4.2일,14:00,KIA 타이거즈,광주,10,1,0,12,0,2,패,15.6,,3.1,340,23,1010.4,29.4
4.2일,14:00,삼성 라이온즈,광주,17,2,1,6,1,1,승,15.6,,3.1,340,23,1010.4,29.4
4.2일,14:00,kt wiz,수원,11,2,1,6,0,0,승,15.3,,4.2,270,28,1014.4,24.3
4.2일,14:00,SK 와이번스,수원,3,1,0,4,2,2,패,15.3,,4.2,270,28,1014.4,24.3
4.2일,14:00,LG 트윈스,서울,10,1,1,9,0,1,승,15,,5,250,29,1007.6,35
4.2일,14:00,키움 히어로즈,서울,3,0,1,6,0,1,패,15,,5,250,29,1007.6,35
4.2일,14:00,롯데 자이언츠,부산,13,5,1,10,1,1,승,13.6,,4.5,180,47,1009.3,23.5
4.2일,14:00,NC 다이노스,부산,4,0,2,10,1,0,패,13.6,,4.5,180,47,1009.3,23.5
4.4화,19:00,NC 다이노스,창원,3,0,0,10,0,1,패,15.3,,2,200,35,1018.1,13.8
4.4화,19:00,한화 이글스,창원,10,1,0,5,2,1,승,15.3,,2,200,35,1018.1,13.8
4.4화,19:00,SK 와이번스,인천,5,0,0,10,2,1,패,13.7,,1.4,230,52,1013.8,12.4
4.4화,19:00,KIA 타이거즈,인천,6,0,1,4,1,0,승,13.7,,1.4,230,52,1013.8,12.4
4.4화,19:00,삼성 라이온즈,대구,7,0,0,12,0,2,패,20.4,,2.1,250,23,1014.3,15.8
4.4화,19:00,LG 트윈스,대구,16,0,2,5,0,1,승,20.4,,2.1,250,23,1014.3,15.8
4.4화,19:00,키움 히어로즈,서울,9,1,0,5,1,0,패,15.6,,3.2,250,30,1011.8,14
4.4화,19:00,롯데 자이언츠,서울,9,2,1,7,1,0,승,15.6,,3.2,250,30,1011.8,14
4.4화,19:00,두산 베어스,서울,8,0,3,4,1,1,승,15.6,,3.2,250,30,1011.8,14
4.4화,19:00,kt wiz,서울,3,0,0,7,0,0,패,15.6,,3.2,250,30,1011.8,14
4.6목,19:00,NC 다이노스,창원,11,0,0,8,3,1,승,15.1,,1,180,95,1006.3,15.1
4.6목,19:00,한화 이글스,창원,8,1,0,7,2,1,패,15.1,,1,180,95,1006.3,15.1
4.6목,19:00,두산 베어스,서울,7,1,0,11,0,0,패,10.4,,1.7,270,84,1002.1,11
4.6목,19:00,kt wiz,서울,8,1,1,10,1,0,승,10.4,,1.7,270,84,1002.1,11
4.6목,19:00,키움 히어로즈,서울,8,2,0,5,0,0,패,10.4,,1.7,270,84,1002.1,11
4.6목,19:00,롯데 자이언츠,서울,17,2,0,7,0,0,승,10.4,,1.7,270,84,1002.1,11
4.6목,19:00,SK 와이번스,인천,8,2,2,5,0,0,패,8.5,,1.9,230,96,1004.1,10
4.6목,19:00,KIA 타이거즈,인천,10,0,3,10,1,0,승,8.5,,1.9,230,96,1004.1,10
4.6목,19:00,삼성 라이온즈,대구,4,0,0,7,0,2,패,17.8,,2.2,340,77,1003.9,16.4
4.6목,19:00,LG 트윈스,대구,8,1,0,6,0,0,승,17.8,,2.2,340,77,1003.9,16.4
4.7금,19:00,한화 이글스,대전,10,0,0,3,1,0,패,21.9,,1.4,20,42,1003.3,17.7
4.7금,19:00,KIA 타이거즈,대전,7,0,0,3,0,1,승,21.9,,1.4,20,42,1003.3,17.7
4.7금,19:00,LG 트윈스,서울,10,0,0,8,1,2,승,16.9,,3.5,270,64,1001.6,14.6
4.7금,19:00,롯데 자이언츠,서울,5,1,0,12,1,0,패,16.9,,3.5,270,64,1001.6,14.6
4.7금,19:00,키움 히어로즈,서울,11,1,2,4,1,1,승,16.9,,3.5,270,64,1001.6,14.6
4.7금,19:00,두산 베어스,서울,9,0,0,6,0,0,패,16.9,,3.5,270,64,1001.6,14.6
4.7금,19:00,NC 다이노스,창원,10,1,2,8,1,1,승,15.6,,2.1,250,77,1008.5,15.1
4.7금,19:00,SK 와이번스,창원,6,1,1,9,1,0,패,15.6,,2.1,250,77,1008.5,15.1
4.7금,19:00,삼성 라이온즈,대구,8,1,1,7,1,0,패,17.6,,3.3,140,55,1006.2,16.1
4.7금,19:00,kt wiz,대구,7,0,1,7,1,1,승,17.6,,3.3,140,55,1006.2,16.1
4.8토,17:00,한화 이글스,대전,12,0,0,7,1,0,승,22.9,,2.9,340,41,1001.3,23.6
4.8토,17:00,KIA 타이거즈,대전,3,0,2,3,1,1,패,22.9,,2.9,340,41,1001.3,23.6
4.8토,17:00,LG 트윈스,서울,14,1,1,7,1,0,패,16.9,,2.4,270,64,1000.1,20.7
4.8토,17:00,롯데 자이언츠,서울,15,4,0,4,1,0,승,16.9,,2.4,270,64,1000.1,20.7
4.8토,17:00,키움 히어로즈,서울,20,2,0,6,1,1,승,16.9,,2.4,270,64,1000.1,20.7
4.8토,17:00,두산 베어스,서울,16,0,1,6,0,1,패,16.9,,2.4,270,64,1000.1,20.7
4.8토,17:00,NC 다이노스,창원,4,0,0,10,0,1,패,21.1,,2.9,140,53,1003.4,20.2
4.8토,17:00,SK 와이번스,창원,13,6,0,10,1,0,승,21.1,,2.9,140,53,1003.4,20.2
4.8토,17:00,삼성 라이온즈,대구,7,0,0,4,1,1,패,25.6,,1.7,320,24,1000.8,25.6
4.8토,17:00,kt wiz,대구,3,0,0,5,0,0,승,25.6,,1.7,320,24,1000.8,25.6
4.9일,14:00,한화 이글스,대전,13,0,0,4,1,0,패,18,,7,90,60,1005.3,27.6
4.9일,14:00,KIA 타이거즈,대전,9,1,1,4,3,1,승,18,,7,90,60,1005.3,27.6
4.9일,14:00,LG 트윈스,서울,5,0,1,9,1,0,패,20,,4,90,39,1003.6,30.2
4.9일,14:00,롯데 자이언츠,서울,10,2,1,12,0,0,승,20,,4,90,39,1003.6,30.2
4.9일,14:00,키움 히어로즈,서울,19,1,0,5,2,1,승,20,,4,90,39,1003.6,30.2
4.9일,14:00,두산 베어스,서울,3,1,0,5,0,1,패,20,,4,90,39,1003.6,30.2
4.9일,14:00,NC 다이노스,창원,12,0,1,10,1,1,패,17.2,,3.3,50,57,1009,19.9
4.9일,14:00,SK 와이번스,창원,13,2,0,7,0,1,승,17.2,,3.3,50,57,1009,19.9
4.9일,14:00,삼성 라이온즈,대구,4,0,0,11,2,0,패,14.4,,6.2,110,50,1009.3,18.2
4.9일,14:00,kt wiz,대구,7,0,0,4,1,0,승,14.4,,6.2,110,50,1009.3,18.2
4.11화,19:00,한화 이글스,대전,14,1,1,7,0,2,승,15.6,,1.7,290,47,997.8,14.1
4.11화,19:00,삼성 라이온즈,대전,15,1,0,8,0,1,패,15.6,,1.7,290,47,997.8,14.1
4.11화,19:00,KIA 타이거즈,광주,8,0,0,5,0,1,패,12.4,,1.5,290,57,999.8,11.2
4.11화,19:00,두산 베어스,광주,21,0,5,3,0,0,승,12.4,,1.5,290,57,999.8,11.2
4.11화,19:00,kt wiz,수원,8,0,1,5,0,0,패,12.8,,3.3,270,54,1001.4,12.3
4.11화,19:00,키움 히어로즈,수원,17,2,0,6,1,0,승,12.8,,3.3,270,54,1001.4,12.3
4.11화,19:00,LG 트윈스,서울,6,0,3,15,0,0,패,17.4,,3.5,290,30,994.3,15.2
4.11화,19:00,NC 다이노스,서울,7,0,0,9,0,1,승,17.4,,3.5,290,30,994.3,15.2
4.11화,19:00,롯데 자이언츠,부산,8,1,1,8,1,0,승,14.5,,2.1,200,66,996.5,12.8
4.11화,19:00,SK 와이번스,부산,10,2,0,9,1,2,패,14.5,,2.1,200,66,996.5,12.8
4.12수,19:00,한화 이글스,대전,7,0,0,9,3,1,승,13.9,,3.1,290,21,1006.9,12.9
4.12수,19:00,삼성 라이온즈,대전,8,1,0,8,1,1,패,13.9,,3.1,290,21,1006.9,12.9
4.12수,19:00,KIA 타이거즈,광주,9,0,2,5,0,1,승,13.5,,2.8,320,15,1008.2,11.1
4.12수,19:00,두산 베어스,광주,7,0,0,11,2,3,패,13.5,,2.8,320,15,1008.2,11.1
4.12수,19:00,kt wiz,수원,8,0,1,7,2,4,패,11,,2.4,270,18,1011.2,8.5
4.12수,19:00,키움 히어로즈,수원,8,0,1,8,1,1,승,11,,2.4,270,18,1011.2,8.5
4.12수,19:00,LG 트윈스,서울,5,0,0,10,1,1,패,11.3,,3.6,250,16,1004.4,10.9
4.12수,19:00,NC 다이노스,서울,10,2,0,9,0,1,승,11.3,,3.6,250,16,1004.4,10.9
4.12수,19:00,롯데 자이언츠,부산,12,0,1,15,3,2,패,13.6,,3.9,230,59,1005.4,14
4.12수,19:00,SK 와이번스,부산,9,0,0,14,2,0,승,13.6,,3.9,230,59,1005.4,14
4.13목,19:00,한화 이글스,대전,4,1,0,10,1,2,패,15.2,,3.5,180,66,1007.4,15.3
4.13목,19:00,삼성 라이온즈,대전,6,0,1,3,2,0,승,15.2,,3.5,180,66,1007.4,15.3
4.13목,19:00,KIA 타이거즈,광주,8,0,0,7,0,0,승,16.2,,2.3,250,41,1008.7,14.4
4.13목,19:00,두산 베어스,광주,12,1,0,4,0,1,패,16.2,,2.3,250,41,1008.7,14.4
4.13목,19:00,kt wiz,수원,13,1,2,2,1,3,승,14.3,,3.8,250,64,1010.4,13.7
4.13목,19:00,키움 히어로즈,수원,9,0,0,9,1,0,패,14.3,,3.8,250,64,1010.4,13.7
4.13목,19:00,LG 트윈스,서울,5,0,1,11,2,0,패,14,,4.9,200,65,1003.8,13.8
4.13목,19:00,NC 다이노스,서울,7,1,0,1,1,0,승,14,,4.9,200,65,1003.8,13.8
4.13목,19:00,롯데 자이언츠,부산,12,3,1,8,1,0,패,16.6,,4.3,200,57,1007,16.5
4.13목,19:00,SK 와이번스,부산,13,3,0,7,1,1,승,16.6,,4.3,200,57,1007,16.5
4.14금,19:00,kt wiz,수원,9,1,0,8,2,1,패,13.5,,2.3,230,68,1006.3,11.5
4.14금,19:00,LG 트윈스,수원,10,1,0,4,2,0,승,13.5,,2.3,230,68,1006.3,11.5
4.14금,19:00,두산 베어스,서울,13,2,0,5,0,2,승,12.9,,4,200,70,999.6,11.3
4.14금,19:00,NC 다이노스,서울,10,0,0,10,0,0,패,12.9,,4,200,70,999.6,11.3
4.14금,19:00,키움 히어로즈,서울,7,1,0,9,0,0,패,12.9,,4,200,70,999.6,11.3
4.14금,19:00,KIA 타이거즈,서울,7,1,2,1,0,1,승,12.9,,4,200,70,999.6,11.3
4.14금,19:00,SK 와이번스,인천,11,1,1,4,0,1,승,11.8,,4.4,250,79,1001.5,10.5
4.14금,19:00,한화 이글스,인천,6,1,1,12,1,1,패,11.8,,4.4,250,79,1001.5,10.5
4.14금,19:00,삼성 라이온즈,대구,10,1,1,12,1,2,패,18.8,,3.5,250,46,1004,16.5
4.14금,19:00,롯데 자이언츠,대구,9,0,2,4,2,1,승,18.8,,3.5,250,46,1004,16.5
4.15토,17:00,kt wiz,수원,3,0,2,6,0,0,승,21.4,,2.2,270,46,1009.4,21.5
4.15토,17:00,LG 트윈스,수원,7,0,0,6,1,0,패,21.4,,2.2,270,46,1009.4,21.5
4.15토,17:00,두산 베어스,서울,14,3,0,6,0,0,승,22.1,,3,250,41,1002.9,25.4
4.15토,17:00,NC 다이노스,서울,11,0,0,6,2,0,패,22.1,,3,250,41,1002.9,25.4
4.15토,17:00,키움 히어로즈,서울,13,0,0,6,3,0,패,22.1,,3,250,41,1002.9,25.4
4.15토,17:00,KIA 타이거즈,서울,12,1,2,2,2,0,승,22.1,,3,250,41,1002.9,25.4
4.15토,17:00,SK 와이번스,인천,17,3,2,8,1,1,승,18.3,,1.8,250,57,1005.1,21.3
4.15토,17:00,한화 이글스,인천,13,0,0,8,0,1,패,18.3,,1.8,250,57,1005.1,21.3
4.15토,17:00,삼성 라이온즈,대구,11,1,0,8,1,1,패,26.3,,3.8,290,23,1004.8,30.1
4.15토,17:00,롯데 자이언츠,대구,9,0,0,6,1,1,승,26.3,,3.8,290,23,1004.8,30.1
4.16일,14:00,kt wiz,수원,14,1,0,8,1,1,패,25.1,,2.1,270,35,1010.6,37
4.16일,14:00,LG 트윈스,수원,16,2,0,4,1,1,승,25.1,,2.1,270,35,1010.6,37
4.16일,14:00,두산 베어스,서울,6,0,1,7,2,1,패,23.9,,3.4,270,40,1004.5,35.8
4.16일,14:00,NC 다이노스,서울,11,0,1,6,3,0,승,23.9,,3.4,270,40,1004.5,35.8
4.16일,14:00,키움 히어로즈,서울,13,0,1,9,0,0,패,23.9,,3.4,270,40,1004.5,35.8
4.16일,14:00,KIA 타이거즈,서울,11,0,1,4,0,0,승,23.9,,3.4,270,40,1004.5,35.8
4.16일,14:00,SK 와이번스,인천,12,1,0,7,1,0,승,18.8,,2.6,250,59,1006.7,27.2
4.16일,14:00,한화 이글스,인천,6,0,0,8,0,1,패,18.8,,2.6,250,59,1006.7,27.2
4.16일,14:00,삼성 라이온즈,대구,10,0,0,6,0,1,승,27.8,,2.3,320,14,1007.7,43.5
4.16일,14:00,롯데 자이언츠,대구,8,0,0,7,1,0,패,27.8,,2.3,320,14,1007.7,43.5
4.18화,19:00,KIA 타이거즈,광주,11,1,0,7,1,0,승,14.3,,1.7,320,75,993.1,13.3
4.18화,19:00,kt wiz,광주,7,0,0,6,1,2,패,14.3,,1.7,320,75,993.1,13.3
4.18화,19:00,LG 트윈스,서울,9,0,1,11,1,3,패,11.4,,2.5,270,85,987.9,11.5
4.18화,19:00,한화 이글스,서울,6,0,0,4,2,0,승,11.4,,2.5,270,85,987.9,11.5
4.18화,19:00,키움 히어로즈,서울,8,1,0,9,0,1,패,11.4,,2.5,270,85,987.9,11.5
4.18화,19:00,SK 와이번스,서울,9,2,0,5,1,1,승,11.4,,2.5,270,85,987.9,11.5
4.18화,19:00,NC 다이노스,창원,14,4,0,7,0,0,승,15.9,0,1.4,200,84,992.5,15.8
4.18화,19:00,롯데 자이언츠,창원,11,0,0,9,1,0,패,15.9,0,1.4,200,84,992.5,15.8
4.18화,19:00,삼성 라이온즈,대구,10,2,1,9,2,0,무,16.7,0,4.1,290,83,989.6,16.7
4.18화,19:00,두산 베어스,대구,10,0,0,9,2,0,무,16.7,0,4.1,290,83,989.6,16.7
4.19수,19:00,KIA 타이거즈,광주,9,0,0,6,1,2,패,15.7,,1.2,340,27,1004.4,14.4
4.19수,19:00,kt wiz,광주,10,0,0,5,1,0,승,15.7,,1.2,340,27,1004.4,14.4
4.19수,19:00,LG 트윈스,서울,4,0,1,6,2,0,패,14.2,,3.6,270,33,1001.9,12.2
4.19수,19:00,한화 이글스,서울,8,0,0,4,1,2,승,14.2,,3.6,270,33,1001.9,12.2
4.19수,19:00,키움 히어로즈,서울,6,0,0,5,3,2,패,14.2,,3.6,270,33,1001.9,12.2
4.19수,19:00,SK 와이번스,서울,7,2,1,7,0,2,승,14.2,,3.6,270,33,1001.9,12.2
4.19수,19:00,NC 다이노스,창원,16,2,1,11,0,0,승,18.1,,1.1,270,31,1005.8,14.4
4.19수,19:00,롯데 자이언츠,창원,7,0,1,9,1,1,패,18.1,,1.1,270,31,1005.8,14.4
4.19수,19:00,삼성 라이온즈,대구,4,0,0,8,0,0,패,18.8,,3.6,320,28,1003.8,16.1
4.19수,19:00,두산 베어스,대구,9,1,1,6,2,0,승,18.8,,3.6,320,28,1003.8,16.1
4.20목,19:00,KIA 타이거즈,광주,13,0,2,5,3,1,승,11.7,0.2,0.9,360,79,1002.1,11.5
4.20목,19:00,kt wiz,광주,6,2,0,14,0,0,패,11.7,0.2,0.9,360,79,1002.1,11.5
4.20목,19:00,LG 트윈스,서울,10,0,0,6,1,1,승,14,,4.3,290,44,1000.7,12.6
4.20목,19:00,한화 이글스,서울,7,0,1,10,0,0,패,14,,4.3,290,44,1000.7,12.6
4.20목,19:00,키움 히어로즈,서울,11,1,0,8,0,2,승,14,,4.3,290,44,1000.7,12.6
4.20목,19:00,SK 와이번스,서울,6,1,0,10,1,2,패,14,,4.3,290,44,1000.7,12.6
4.20목,19:00,NC 다이노스,창원,9,2,0,8,1,2,승,16.3,,1,360,39,1005.8,14
4.20목,19:00,롯데 자이언츠,창원,8,0,0,6,2,1,패,16.3,,1,360,39,1005.8,14
4.20목,19:00,삼성 라이온즈,대구,5,0,0,6,1,0,패,11.8,,0.4,0,80,1004.1,13
4.20목,19:00,두산 베어스,대구,8,0,0,9,0,1,승,11.8,,0.4,0,80,1004.1,13
4.21금,19:00,한화 이글스,대전,10,2,0,4,0,0,승,16.5,,1.3,360,39,1001.7,15.8
4.21금,19:00,kt wiz,대전,8,0,1,7,0,0,패,16.5,,1.3,360,39,1001.7,15.8
4.21금,19:00,KIA 타이거즈,광주,8,1,0,10,2,1,패,16,,0.8,20,44,1001.6,15.5
4.21금,19:00,LG 트윈스,광주,10,2,0,7,1,0,승,16,,0.8,20,44,1001.6,15.5
4.21금,19:00,롯데 자이언츠,부산,4,0,1,8,1,2,패,15.4,,3.1,70,57,1001.5,18.2
4.21금,19:00,키움 히어로즈,부산,8,3,2,8,0,0,승,15.4,,3.1,70,57,1001.5,18.2
4.21금,19:00,NC 다이노스,창원,8,0,1,13,2,4,무,15.4,,2,180,56,1004.8,14.3
4.21금,19:00,삼성 라이온즈,창원,7,0,2,15,0,0,무,15.4,,2,180,56,1004.8,14.3
4.21금,19:00,두산 베어스,서울,10,1,0,7,0,2,패,14.5,,2.9,290,54,999.6,14.1
4.21금,19:00,SK 와이번스,서울,11,3,0,7,1,0,승,14.5,,2.9,290,54,999.6,14.1
4.22토,17:00,한화 이글스,대전,17,0,2,7,2,2,패,20.7,,1,340,29,1003.7,24.5
4.22토,17:00,kt wiz,대전,13,2,1,4,0,0,승,20.7,,1,340,29,1003.7,24.5
4.22토,17:00,KIA 타이거즈,광주,10,2,1,9,0,2,승,19.7,,2.1,290,29,1003.5,23.4
4.22토,17:00,LG 트윈스,광주,12,0,1,11,1,0,패,19.7,,2.1,290,29,1003.5,23.4
4.22토,17:00,롯데 자이언츠,부산,12,0,4,3,2,0,승,15.1,,4,110,61,1005.4,21.2
4.22토,17:00,키움 히어로즈,부산,6,0,1,10,0,1,패,15.1,,4,110,61,1005.4,21.2
4.22토,17:00,NC 다이노스,창원,17,1,0,4,1,0,승,15.1,,3.6,160,58,1008.7,21.1
4.22토,17:00,삼성 라이온즈,창원,8,1,1,7,1,0,패,15.1,,3.6,160,58,1008.7,21.1
4.22토,17:00,두산 베어스,서울,10,0,1,3,1,1,패,20.3,,4.7,270,25,1001.8,26.5
4.22토,17:00,SK 와이번스,서울,11,3,0,6,1,1,승,20.3,,4.7,270,25,1001.8,26.5
4.23일,14:00,한화 이글스,대전,19,2,0,10,0,0,승,22.4,,2.2,250,29,1008.7,36.7
4.23일,14:00,kt wiz,대전,7,0,0,5,0,1,패,22.4,,2.2,250,29,1008.7,36.7
4.23일,14:00,KIA 타이거즈,광주,8,0,0,6,0,2,패,22.3,,2.6,250,42,1008.7,42.3
4.23일,14:00,LG 트윈스,광주,15,1,4,5,2,0,승,22.3,,2.6,250,42,1008.7,42.3
4.23일,14:00,롯데 자이언츠,부산,10,1,0,8,3,0,패,17.6,,5.6,200,58,1009.7,38.7
4.23일,14:00,키움 히어로즈,부산,11,2,0,11,0,0,승,17.6,,5.6,200,58,1009.7,38.7
4.23일,14:00,NC 다이노스,창원,10,3,0,9,0,1,승,20,,3.6,110,49,1012.9,38.7
4.23일,14:00,삼성 라이온즈,창원,8,1,0,7,0,0,패,20,,3.6,110,49,1012.9,38.7
4.23일,14:00,두산 베어스,서울,14,4,0,11,0,1,승,21.1,,6,200,19,1006.3,40.6
4.23일,14:00,SK 와이번스,서울,6,1,0,10,1,3,패,21.1,,6,200,19,1006.3,40.6
4.25화,19:00,한화 이글스,대전,6,1,0,7,0,0,패,19.4,,1.5,230,60,1009.9,19.5
4.25화,19:00,롯데 자이언츠,대전,8,1,1,6,0,0,승,19.4,,1.5,230,60,1009.9,19.5
4.25화,19:00,kt wiz,수원,6,0,0,11,0,0,패,14.4,,3.2,270,73,1014.7,16
4.25화,19:00,NC 다이노스,수원,5,1,0,4,0,3,승,14.4,,3.2,270,73,1014.7,16
4.25화,19:00,두산 베어스,서울,14,0,1,4,0,1,패,16.9,,2.4,290,55,1008,16.9
4.25화,19:00,키움 히어로즈,서울,17,1,0,2,1,0,승,16.9,,2.4,290,55,1008,16.9
4.25화,19:00,SK 와이번스,인천,12,3,1,6,0,0,승,13.5,,2.9,270,80,1010.7,13.7
4.25화,19:00,LG 트윈스,인천,10,0,0,6,4,0,패,13.5,,2.9,270,80,1010.7,13.7
4.25화,19:00,삼성 라이온즈,대구,12,1,0,6,2,1,패,21.3,,1.5,230,53,1010.9,20.6
4.25화,19:00,KIA 타이거즈,대구,12,1,1,9,0,0,승,21.3,,1.5,230,53,1010.9,20.6
4.26수,19:00,한화 이글스,대전,7,1,1,8,1,1,패,16.2,,3.6,340,27,1005.7,19
4.26수,19:00,롯데 자이언츠,대전,9,0,2,6,1,0,승,16.2,,3.6,340,27,1005.7,19
4.26수,19:00,kt wiz,수원,4,2,0,6,0,1,패,14.4,,3.3,270,32,1009.9,14.1
4.26수,19:00,NC 다이노스,수원,13,3,1,2,0,0,승,14.4,,3.3,270,32,1009.9,14.1
4.26수,19:00,두산 베어스,서울,9,0,1,7,1,1,승,16.1,,4.3,270,24,1003,15.3
4.26수,19:00,키움 히어로즈,서울,10,0,0,4,0,1,패,16.1,,4.3,270,24,1003,15.3
4.26수,19:00,SK 와이번스,인천,2,0,0,12,0,1,패,14.6,,6.1,320,31,1005.4,12.1
4.26수,19:00,LG 트윈스,인천,14,0,0,3,2,0,승,14.6,,6.1,320,31,1005.4,12.1
4.26수,19:00,삼성 라이온즈,대구,6,0,0,7,0,0,패,19.3,,3.5,320,18,1004.7,16.3
4.26수,19:00,KIA 타이거즈,대구,11,1,0,3,2,0,승,19.3,,3.5,320,18,1004.7,16.3
4.27목,19:00,한화 이글스,대전,11,0,1,6,1,0,승,16,,1.5,290,25,1002.3,18.6
4.27목,19:00,롯데 자이언츠,대전,6,0,1,12,0,1,패,16,,1.5,290,25,1002.3,18.6
4.27목,19:00,kt wiz,수원,4,0,1,11,0,1,패,13.5,,4,270,46,1005.5,13.8
4.27목,19:00,NC 다이노스,수원,7,2,2,8,0,0,승,13.5,,4,270,46,1005.5,13.8
4.27목,19:00,두산 베어스,서울,8,2,0,8,1,0,패,15,,4.4,230,35,998.6,14.4
4.27목,19:00,키움 히어로즈,서울,10,0,2,4,1,0,승,15,,4.4,230,35,998.6,14.4
4.27목,19:00,SK 와이번스,인천,6,0,0,8,0,0,패,12.6,,4.4,250,62,1000.8,12.6
4.27목,19:00,LG 트윈스,인천,11,1,4,4,0,0,승,12.6,,4.4,250,62,1000.8,12.6
4.27목,19:00,삼성 라이온즈,대구,18,2,0,11,1,0,패,18,,3.6,320,18,1002.2,16.9
4.27목,19:00,KIA 타이거즈,대구,19,2,0,5,0,0,승,18,,3.6,320,18,1002.2,16.9
4.28금,19:00,LG 트윈스,서울,5,0,2,5,0,0,승,15.5,,2.9,200,57,992.5,15.6
4.28금,19:00,kt wiz,서울,5,1,0,7,1,0,패,15.5,,2.9,200,57,992.5,15.6
4.28금,19:00,키움 히어로즈,서울,13,3,0,7,1,0,승,15.5,,2.9,200,57,992.5,15.6
4.28금,19:00,한화 이글스,서울,6,1,0,10,0,0,패,15.5,,2.9,200,57,992.5,15.6
4.28금,19:00,롯데 자이언츠,부산,6,0,0,10,0,0,패,17.1,,6.6,230,56,996,18.4
4.28금,19:00,두산 베어스,부산,5,1,0,3,1,0,승,17.1,,6.6,230,56,996,18.4
4.28금,19:00,NC 다이노스,창원,8,0,3,10,0,1,패,17.3,,1.7,230,61,999.7,16.4
4.28금,19:00,KIA 타이거즈,창원,11,0,1,8,0,0,승,17.3,,1.7,230,61,999.7,16.4
4.28금,19:00,SK 와이번스,인천,9,2,1,5,2,0,승,12.6,,2.9,230,78,994.6,13.2
4.28금,19:00,삼성 라이온즈,인천,11,3,1,7,2,0,패,12.6,,2.9,230,78,994.6,13.2
4.29토,17:00,LG 트윈스,서울,6,0,1,6,2,0,패,22.6,,5.4,200,18,995.6,29.6
4.29토,17:00,kt wiz,서울,12,0,1,6,1,0,승,22.6,,5.4,200,18,995.6,29.6
4.29토,17:00,키움 히어로즈,서울,14,0,1,6,0,0,승,22.6,,5.4,200,18,995.6,29.6
4.29토,17:00,한화 이글스,서울,9,0,1,9,0,3,패,22.6,,5.4,200,18,995.6,29.6
