day_text,time_text,team_text,location,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,temp,rain,wind,d_wind,humidity,atmosphere,surface
4.2화,19:00,KIA 타이거즈,광주,7,0,1,9,0,2,1,9.2,0,1.9,290,29,1013.9,7.5
4.2화,19:00,삼성 라이온즈,광주,6,0,1,8,1,0,0,9.2,0,1.9,290,29,1013.9,7.5
4.2화,19:00,kt wiz,수원,5,0,0,3,3,2,0,7.3,0,3.7,270,28,1018.1,5.7
4.2화,19:00,두산 베어스,수원,10,1,1,5,1,0,1,7.3,0,3.7,270,28,1018.1,5.7
4.2화,19:00,LG 트윈스,서울,6,0,1,10,3,1,0,8.1,0,2.7,270,28,1011.1,9.4
4.2화,19:00,한화 이글스,서울,6,1,1,6,0,1,1,8.1,0,2.7,270,28,1011.1,9.4
4.2화,19:00,롯데 자이언츠,부산,10,1,1,7,0,0,1,10.1,0,6.9,250,49,1010.9,10.6
4.2화,19:00,SK 와이번스,부산,7,0,1,9,0,1,0,10.1,0,6.9,250,49,1010.9,10.6
4.2화,19:00,키움 히어로즈,서울,13,1,1,12,1,2,1,8.1,0,2.7,270,28,1011.1,9.4
4.2화,19:00,NC 다이노스,서울,11,0,4,6,2,1,0,8.1,0,2.7,270,28,1011.1,9.4
4.3수,19:00,KIA 타이거즈,광주,9,0,0,13,1,1,0,8.8,0,1.8,340,22,1014.5,7
4.3수,19:00,삼성 라이온즈,광주,3,1,2,4,0,2,1,8.8,0,1.8,340,22,1014.5,7
4.3수,19:00,kt wiz,수원,11,0,1,6,3,0,0,7.8,0,2.6,290,31,1017.9,6.7
4.3수,19:00,두산 베어스,수원,6,1,0,6,0,0,1,7.8,0,2.6,290,31,1017.9,6.7
4.3수,19:00,LG 트윈스,서울,11,1,2,8,0,0,1,8.7,0,4.1,290,28,1011,10.1
4.3수,19:00,한화 이글스,서울,5,0,0,10,0,2,0,8.7,0,4.1,290,28,1011,10.1
4.3수,19:00,롯데 자이언츠,부산,8,0,0,12,0,0,1,10.3,0,6.1,250,39,1011.7,10.3
4.3수,19:00,SK 와이번스,부산,3,0,0,9,0,0,0,10.3,0,6.1,250,39,1011.7,10.3
4.3수,19:00,키움 히어로즈,서울,8,0,1,4,2,2,0,8.7,0,4.1,290,28,1011,10.1
4.3수,19:00,NC 다이노스,서울,19,2,1,9,0,0,1,8.7,0,4.1,290,28,1011,10.1
4.4목,19:00,KIA 타이거즈,광주,8,1,2,6,0,0,0,12.5,0,2.5,250,28,1007.8,10.2
4.4목,19:00,삼성 라이온즈,광주,14,3,1,6,0,2,1,12.5,0,2.5,250,28,1007.8,10.2
4.4목,19:00,kt wiz,수원,8,1,0,8,1,0,0,11.5,0,3.4,230,34,1010.2,9
4.4목,19:00,두산 베어스,수원,8,2,0,5,0,2,1,11.5,0,3.4,230,34,1010.2,9
4.4목,19:00,LG 트윈스,서울,5,0,1,6,3,0,0,11,0,2.8,250,28,1003.2,11.4
4.4목,19:00,한화 이글스,서울,6,0,2,9,1,1,1,11,0,2.8,250,28,1003.2,11.4
4.4목,19:00,롯데 자이언츠,부산,12,1,0,13,1,0,0,13.4,0,5.2,230,44,1005.7,12.6
4.4목,19:00,SK 와이번스,부산,14,3,0,7,0,0,1,13.4,0,5.2,230,44,1005.7,12.6
4.4목,19:00,키움 히어로즈,서울,12,1,2,8,1,1,1,11,0,2.8,250,28,1003.2,11.4
4.4목,19:00,NC 다이노스,서울,6,2,1,7,0,1,0,11,0,2.8,250,28,1003.2,11.4
4.5금,19:00,한화 이글스,대전,11,1,0,7,2,2,0,14.2,0,2.5,200,31,1001.4,11.3
4.5금,19:00,롯데 자이언츠,대전,12,2,0,7,0,0,1,14.2,0,2.5,200,31,1001.4,11.3
4.5금,19:00,LG 트윈스,서울,16,1,1,5,1,1,1,13,0,3.3,270,21,998.5,12.8
4.5금,19:00,kt wiz,서울,2,0,0,10,1,1,0,13,0,3.3,270,21,998.5,12.8
4.5금,19:00,NC 다이노스,창원,10,4,0,3,1,0,1,15.3,0,1.8,270,56,1003.3,12.6
