player_list,team_list,win_list,loose_list,save_list,hold_list,starting_list,inning_list,strike_list,bb_list,homerun_list,era_list,fip_list,war_list,연봉(2020),연봉(2021)
브룩스,KIA,1,3,0,0,7,42.2,27,10,0,3.38,2.8,1.24,47900,1000000
정해영,KIA,3,2,5,0,0,16.2,9,13,0,1.62,4.8,1.41,2700,7000
장현식,KIA,0,1,1,5,0,19.0,19,15,2,2.37,5.1,1.02,6400,15000
이민우,KIA,0,2,0,0,2,8.1,5,3,2,11.88,6.72,-0.29,4300,6000
박준표,KIA,1,1,0,3,0,10.0,7,9,0,8.1,5.56,-0.25,11000,16000
이준영,KIA,0,0,1,4,0,6.2,4,6,2,12.15,8.76,-0.55,4000,4000
박진태,KIA,0,1,0,0,0,22.0,17,7,0,3.27,3.18,0.51,6000,5000
임기영,KIA,0,2,0,0,5,24.1,14,12,3,8.14,5.91,-0.41,7000,10000
홍성민,NC,0,0,0,4,0,11.2,10,2,0,0.77,2.42,0.72,10000,11000
김건태,NC,0,0,0,0,0,0.2,0,2,1,40.5,31.86,-0.25,9000,8000
임정호,NC,0,1,0,1,0,9.2,6,5,0,3.72,3.36,0.14,9200,13000
루친스키,NC,3,1,0,0,7,40.0,41,20,1,3.15,3.21,0.99,100000,130000
임창민,NC,0,1,0,5,0,13.1,11,10,1,2.7,4.94,0.33,16000,14000
원종현,NC,0,1,5,0,0,10.2,9,3,1,4.22,3.74,0.24,26000,30000
이승현,삼성,0,1,0,1,0,5.1,5,4,1,11.81,6.17,-0.25,10000,10000
이승현,삼성,0,1,0,1,0,5.1,5,4,1,11.81,6.17,-0.25,10000,10000
김진성,NC,1,2,0,5,0,17.0,15,10,3,6.35,5.48,-0.23,16000,20000
문경찬,NC,0,0,0,1,0,13.2,11,6,4,4.61,6.87,0.07,3100,15000
김영규,NC,1,2,0,0,4,17.0,8,11,5,9.53,8.18,-0.59,6300,8300
