player_list,연봉(2020),연봉(2021)
브룩스,47900,1000000
정해영,2700,7000
장현식,6400,15000
이준영,4000,4000
박진태,6000,5000
임기영,7000,10000
이민우,4300,6000
박준표,11000,16000
홍성민,10000,11000
김건태,9000,8000
임정호,9200,13000
루친스키,100000,130000
임창민,16000,14000
원종현,26000,30000
이승헌,2700,3000
김진성,16000,20000
문경찬,3100,15000
김영규,6300,8300
송명기,2700,11000
박치국,8000,16000
남호,2700,3300
홍건희,8000,11000
김민규,2900,5500
김강률,15000,11000
윤명준,21000,15600
김명신,2700,4500
이승진,2700,10000
최원준,5900,16000
배제성,11000,17000
김민수,6500,7000
하준호,4500,6000
소형준,2700,14000
전유수,10000,10500
주권,15000,25000
데스파이네,45000,50000
이보근,20000,20000
안영명,35000,7000
유원상,4000,8000
조현우,3000,7500
김재윤,12000,17000
켈리,90000,700000
최동환,7000,12000
정우영,8000,18000
고우석,22000,18000
진해수,25000,25000
이정용,2700,5000
수아레즈,4000,400000
송은범,27000,27000
함덕주,21000,16500
김윤식,2700,5000
이상규,2900,4000
채지선,2800,3500
김대유,4500,4500
오주원,15000,20000
김태훈,7500,10000
최원태,15000,29000
김성민,5500,6000
김재웅,2700,5200
양현,8400,12000
안우진,2700,9000
요키시,700000,750000
김선기,2700,5300
김동혁,2670,3000
박관진,2670,3000
구승민,8000,15000
박세웅,11000,156500
김원중,10000,17000
이인복,3000,4800
서준원,4600,8500
박진형,9000,12000
김대우,2900,5000
김건국,5400,600
김유영,6200,4500
최준용,2700,4200
스트레일리,500000,900000
우규민,70000,20000
뷰캐넌,60000,60000
홍정우,3000,3000
양창섭,5000,5000
심창민,28000,28000
이승현,10000,10000
오승환,120000,120000
장필준,21500,21500
김윤수,3700,3700
라이블리,50000,50000
최지광,6000,12000
임현준,10000,10000
조영우,3300,5000
이태양,7300,10000
서진용,20000,17000
김상수,16500,30000
김세현,12000,8000
정수민,4200,3600
김택형,3700,3000
오원석,2700,3000
박종훈,29000,32000
김태훈,24000,16000
김종수,3800,6100
윤대경,2800,7700
윤호솔,2900,2900
킹엄,50000,250000
김진영,3200,7900
문동욱,3200,3600
박주홍,3500,3300
김이환,3700,4100
김범수,6500,6500
김민우,4200,9000
강재민,2700,7900
정우람,80000,80000
